date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate
2021-09-08,329,660471,307,651085,1,3889,5497,0.58,1.3,98.57,97.45
2021-09-09,315,660786,340,651425,2,3891,5470,0.58,1.3,98.58,97.45
2021-09-10,220,661006,338,651763,1,3892,5351,0.58,1.3,98.6,97.46
2021-09-11,296,661302,322,652085,1,3893,5324,0.58,1.3,98.6,97.45
2021-09-12,249,661551,313,652398,2,3895,5258,0.58,1.3,98.61,97.48
2021-09-13,315,661866,318,652716,2,3897,5253,0.58,1.3,98.61,97.51
2021-09-14,336,662202,306,653022,1,3898,5282,0.58,1.3,98.61,97.56
2021-09-15,324,662526,280,653302,1,3899,5325,0.58,1.3,98.6,97.59
2021-09-16,259,662785,301,653603,1,3900,5282,0.58,1.3,98.61,97.61
2021-09-17,241,663026,298,653901,2,3902,5223,0.58,1.3,98.62,97.63
2021-09-18,255,663281,329,654230,1,3903,5148,0.58,1.3,98.63,97.62
2021-09-19,173,663454,315,654545,1,3904,5005,0.58,1.3,98.65,97.65
2021-09-20,208,663662,220,654765,2,3906,4991,0.58,1.3,98.65,97.69
2021-09-21,244,663906,296,655061,1,3907,4938,0.58,1.3,98.66,97.72
2021-09-22,258,664164,249,655310,1,3908,4946,0.58,1.3,98.66,97.74
2021-09-24,239,664650,336,655961,2,3911,4778,0.58,1.3,98.69,97.75
2021-09-25,248,664898,324,656285,1,3912,4701,0.58,1.3,98.7,97.75
2021-09-27,216,665284,241,656785,2,3914,4585,0.58,1.3,98.72,97.76
2021-09-28,220,665504,255,657040,1,3915,4549,0.58,1.3,98.72,97.78
2021-09-29,245,665749,173,657213,1,3916,4620,0.58,1.3,98.71,97.81
2021-09-30,214,665963,208,657421,2,3918,4624,0.58,1.3,98.71,97.82
2021-10-01,220,666183,244,657665,1,3919,4599,0.58,1.3,98.72,97.83
2021-10-02,201,666384,258,657923,1,3920,4541,0.58,1.3,98.73,97.84
2021-10-03,162,666546,247,658170,1,3921,4455,0.58,1.3,98.74,97.85
2021-10-04,207,666753,239,658409,2,3923,4421,0.58,1.3,98.74,97.86
2021-10-05,218,666971,248,658657,1,3924,4390,0.58,1.3,98.75,97.9
2021-10-06,187,667158,170,658827,1,3925,4406,0.58,1.3,98.75,97.92
2021-10-07,176,667334,216,659043,1,3926,4365,0.58,1.3,98.75,97.93
2021-10-08,201,667535,220,659263,1,3927,4345,0.58,1.3,98.76,97.94
2021-10-09,190,667725,245,659508,2,3929,4288,0.58,1.3,98.76,97.95
2021-10-10,162,667887,214,659722,1,3930,4235,0.58,1.3,98.77,97.96
2021-10-11,183,668070,220,659942,2,3932,4196,0.58,1.3,98.78,97.98
2021-10-12,196,668266,201,660143,1,3933,4190,0.58,1.3,98.78,98.01
2021-10-13,184,668450,162,660305,1,3934,4211,0.58,1.3,98.78,98.04
2021-10-14,168,668618,207,660512,1,3935,4171,0.58,1.3,98.78,98.04
2021-10-15,104,668722,218,660730,1,3936,4056,0.58,1.3,98.8,98.05
2021-10-16,111,668833,187,660917,1,3937,3979,0.58,1.3,98.81,98.07
2021-10-17,122,668955,176,661093,1,3938,3924,0.58,1.3,98.82,98.07
2021-10-19,202,669365,190,661484,1,3941,3940,0.58,1.3,98.82,98.11
2021-10-20,191,669556,162,661646,1,3942,3968,0.58,1.3,98.81,98.13
2021-10-21,183,669739,183,661829,1,3943,3967,0.58,1.3,98.81,98.12
2021-10-22,193,669932,196,662025,1,3944,3963,0.58,1.3,98.81,98.13
2021-10-23,207,670139,184,662209,2,3946,3984,0.59,1.3,98.81,98.14
2021-10-25,179,670453,104,662481,2,3949,4023,0.59,1.3,98.81,98.15
2021-10-26,190,670643,111,662592,1,3950,4101,0.58,1.3,98.79,98.17
2021-10-27,186,670829,122,662714,1,3951,4164,0.58,1.3,98.79,98.17
2021-10-28,171,671000,208,662922,1,3952,4126,0.58,1.3,98.79,98.17
2021-11-13,157,673469,156,665755,1,3973,3741,,0.58,,98.85
2021-11-14,105,673574,106,665861,0,3973,3740,,0.58,,98.85
2021-11-15,148,673722,151,666012,2,3975,3735,,,,98.85
2021-11-16,167,673889,164,666176,1,3976,3737,,,,98.85
2021-11-18,144,674181,161,666509,1,3978,3694,,,,98.86
2021-11-19,137,674318,173,666682,1,3979,3657,,,,98.86
2021-11-20,134,674452,164,666846,1,3980,3626,,,,98.87
2021-11-21,103,674555,153,666999,1,3981,3575,,,,98.87
2021-11-22,137,674692,172,667171,2,3983,3538,,,,98.88
2021-11-23,153,674845,157,667328,2,3984,3533,,,,98.88
2021-11-24,156,675001,155,667483,1,3985,3533,,,,98.88
2021-11-25,147,675148,148,667631,1,3986,3531,,,,98.88
2021-11-26,171,675319,167,667798,1,3987,3534,,,,98.88
2021-11-27,160,675479,148,667946,1,3988,3545,,,,98.88
2021-11-28,135,675614,144,668090,1,3989,3535,,,,98.88
2021-11-29,184,675798,137,668227,1,3990,3581,,,,98.87
2021-12-01,193,676187,153,668564,1,3993,3630,,,,98.87
2021-12-02,189,676376,137,668701,2,3995,3680,,,,98.86
2021-12-06,195,677138,171,669328,1,4000,3810,,0.59,,98.84
2021-12-07,203,677341,160,669488,1,4001,3852,,0.59,,98.84
2021-12-08,205,677546,185,669673,1,4002,3871,,0.59,,98.83
2021-12-09,201,677747,184,669857,1,4003,3887,,0.59,,98.83
2021-12-10,207,677954,196,670053,1,4004,3897,,0.59,,98.83
2021-12-11,188,678142,193,670246,1,4005,3891,,0.59,,98.83
2021-12-12,146,678288,189,670435,2,4007,3846,,0.59,,98.84
2021-12-13,190,678478,198,670633,1,4008,3837,,0.59,,98.84
2021-12-14,210,678688,213,670846,1,4009,3833,,0.59,,98.84
2021-12-15,186,678874,206,671052,1,4010,3812,,0.59,,98.84
2021-12-16,190,679064,195,671247,2,4012,3805,,0.59,,98.84
2021-12-17,181,679245,203,671450,1,4013,3782,,0.59,,98.84
2021-12-18,185,679430,205,671655,1,4014,3761,,0.59,,98.85
2021-12-19,134,679564,201,671856,1,4015,3693,,0.59,,98.86
2021-12-20,156,679720,207,672063,0,4015,3642,,0.59,,98.87
2021-12-21,172,679892,188,672251,1,4016,3625,,0.59,,98.87
2021-12-22,182,680074,196,672447,1,4017,3610,,0.59,,98.87
2021-12-23,177,680251,190,672637,1,4018,3596,,0.59,,98.88
2021-12-24,162,680413,210,672847,1,4019,3547,,0.59,,98.83
2021-12-25,140,680553,186,673033,2,4021,3499,,0.59,,98.89
