date,district,LSG,Wards
2021-10-06,Palakkad,7.0,15.0
2021-10-06,Pathanamthitta,27.0,55.0
2021-10-06,Thiruvananthapuram,23.0,38.0
2021-10-06,Thrissur,53.0,147.0
2021-10-06,Wayanad,17.0,28.0
2021-10-06,total,,
2021-10-07,Alappuzha,16.0,22.0
2021-10-07,Ernakulam,44.0,72.0
2021-10-07,Idukki,21.0,37.0
2021-10-07,Kannur,6.0,6.0
2021-10-07,Kasaragod,4.0,5.0
2021-10-07,Kollam,11.0,12.0
2021-10-07,Kottayam,27.0,39.0
2021-10-07,Kozhikode,13.0,17.0
2021-10-07,Malappuram,1.0,1.0
2021-10-07,Palakkad,5.0,8.0
2021-10-07,Pathanamthitta,21.0,25.0
2021-10-07,Thiruvananthapuram,18.0,22.0
2021-10-07,Thrissur,28.0,52.0
2021-10-07,Wayanad,12.0,14.0
2021-10-07,total,,
2021-10-08,Alappuzha,16.0,22.0
2021-10-08,Ernakulam,44.0,72.0
2021-10-08,Idukki,21.0,37.0
2021-10-08,Kannur,6.0,6.0
2021-10-08,Kasaragod,4.0,5.0
2021-10-08,Kollam,11.0,12.0
2021-10-08,Kottayam,27.0,39.0
2021-10-08,Kozhikode,13.0,17.0
2021-10-08,Malappuram,1.0,1.0
2021-10-08,Palakkad,5.0,8.0
2021-10-08,Pathanamthitta,21.0,25.0
2021-10-08,Thiruvananthapuram,18.0,22.0
2021-10-08,Thrissur,28.0,52.0
2021-10-08,Wayanad,12.0,14.0
2021-10-08,total,,
2021-10-09,Alappuzha,16.0,22.0
2021-10-09,Ernakulam,44.0,72.0
2021-10-09,Idukki,21.0,37.0
2021-10-09,Kannur,6.0,6.0
2021-10-09,Kasaragod,4.0,5.0
2021-10-09,Kollam,11.0,12.0
2021-10-09,Kottayam,27.0,39.0
2021-10-09,Kozhikode,13.0,17.0
2021-10-09,Malappuram,1.0,1.0
2021-10-09,Palakkad,5.0,8.0
2021-10-09,Pathanamthitta,21.0,25.0
2021-10-09,Thiruvananthapuram,18.0,22.0
2021-10-09,Thrissur,28.0,52.0
2021-10-09,Wayanad,12.0,14.0
2021-10-09,total,,
2021-10-11,Alappuzha,16.0,22.0
2021-10-11,Ernakulam,44.0,72.0
2021-10-11,Idukki,21.0,37.0
2021-10-11,Kannur,6.0,6.0
2021-10-11,Kasaragod,4.0,5.0
2021-10-11,Kollam,11.0,12.0
2021-10-11,Kottayam,27.0,39.0
2021-10-11,Kozhikode,13.0,17.0
2021-10-11,Malappuram,1.0,1.0
2021-10-11,Palakkad,5.0,8.0
2021-10-11,Pathanamthitta,21.0,25.0
2021-10-11,Thiruvananthapuram,18.0,22.0
2021-10-11,Thrissur,28.0,52.0
2021-10-11,Wayanad,12.0,14.0
2021-10-11,total,,
2021-10-12,Alappuzha,16.0,22.0
2021-10-12,Ernakulam,44.0,72.0
2021-10-12,Idukki,21.0,37.0
2021-10-12,Kannur,6.0,6.0
2021-10-12,Kasaragod,4.0,5.0
2021-10-12,Kollam,11.0,12.0
2021-10-12,Kottayam,27.0,39.0
2021-10-12,Kozhikode,13.0,17.0
2021-10-12,Malappuram,1.0,1.0
2021-10-12,Palakkad,5.0,8.0
2021-10-12,Pathanamthitta,21.0,25.0
2021-10-12,Thiruvananthapuram,18.0,22.0
2021-10-12,Thrissur,28.0,52.0
2021-10-12,Wayanad,12.0,14.0
2021-10-12,total,,
2021-10-13,Alappuzha,7.0,9.0
2021-10-13,Ernakulam,42.0,58.0
2021-10-13,Idukki,14.0,19.0
2021-10-13,Kannur,6.0,6.0
2021-10-13,Kasaragod,2.0,2.0
2021-10-13,Kollam,4.0,5.0
2021-10-13,Kottayam,27.0,39.0
2021-10-13,Kozhikode,9.0,10.0
2021-10-13,Malappuram,0.0,0.0
2021-10-13,Palakkad,3.0,3.0
2021-10-13,Pathanamthitta,8.0,14.0
2021-10-13,Thiruvananthapuram,12.0,15.0
2021-10-13,Thrissur,17.0,23.0
2021-10-13,Wayanad,7.0,8.0
2021-10-13,total,,
2021-10-14,Alappuzha,7.0,9.0
2021-10-14,Ernakulam,42.0,58.0
2021-10-14,Idukki,14.0,19.0
2021-10-14,Kannur,6.0,6.0
2021-10-14,Kasaragod,2.0,2.0
2021-10-14,Kollam,4.0,5.0
2021-10-14,Kottayam,27.0,39.0
2021-10-14,Kozhikode,9.0,10.0
2021-10-14,Malappuram,0.0,0.0
2021-10-14,Palakkad,3.0,3.0
2021-10-14,Pathanamthitta,8.0,14.0
2021-10-14,Thiruvananthapuram,12.0,15.0
2021-10-14,Thrissur,17.0,23.0
2021-10-14,Wayanad,7.0,8.0
2021-10-14,total,,
2021-10-15,Alappuzha,7.0,9.0
2021-10-15,Ernakulam,42.0,58.0
2021-10-15,Idukki,14.0,19.0
2021-10-15,Kannur,6.0,6.0
2021-10-15,Kasaragod,2.0,2.0
2021-10-15,Kollam,4.0,5.0
2021-10-15,Kottayam,27.0,39.0
2021-10-15,Kozhikode,9.0,10.0
2021-10-15,Malappuram,0.0,0.0
2021-10-15,Palakkad,3.0,3.0
2021-10-15,Pathanamthitta,8.0,14.0
2021-10-15,Thiruvananthapuram,12.0,15.0
2021-10-15,Thrissur,17.0,23.0
2021-10-15,Wayanad,7.0,8.0
2021-10-15,total,,
2021-10-16,Alappuzha,7.0,9.0
2021-10-16,Ernakulam,42.0,58.0
2021-10-16,Idukki,14.0,19.0
2021-10-16,Kannur,6.0,6.0
2021-10-16,Kasaragod,2.0,2.0
2021-10-16,Kollam,4.0,5.0
2021-10-16,Kottayam,27.0,39.0
2021-10-16,Kozhikode,9.0,10.0
2021-10-16,Malappuram,0.0,0.0
2021-10-16,Palakkad,3.0,3.0
2021-10-16,Pathanamthitta,8.0,14.0
2021-10-16,Thiruvananthapuram,12.0,15.0
2021-10-16,Thrissur,17.0,23.0
2021-10-16,Wayanad,7.0,8.0
2021-10-16,total,,
2021-10-17,Alappuzha,7.0,9.0
2021-10-17,Ernakulam,42.0,58.0
2021-10-17,Idukki,14.0,19.0
2021-10-17,Kannur,6.0,6.0
2021-10-17,Kasaragod,2.0,2.0
2021-10-17,Kollam,4.0,5.0
2021-10-17,Kottayam,27.0,39.0
2021-10-17,Kozhikode,9.0,10.0
2021-10-17,Malappuram,0.0,0.0
2021-10-17,Palakkad,3.0,3.0
2021-10-17,Pathanamthitta,8.0,14.0
2021-10-17,Thiruvananthapuram,12.0,15.0
2021-10-17,Thrissur,17.0,23.0
2021-10-17,Wayanad,7.0,8.0
2021-10-17,total,,
2021-10-18,Alappuzha,7.0,9.0
2021-10-18,Ernakulam,42.0,58.0
2021-10-18,Idukki,14.0,19.0
2021-10-18,Kannur,6.0,6.0
2021-10-18,Kasaragod,2.0,2.0
2021-10-18,Kollam,4.0,5.0
2021-10-18,Kottayam,27.0,39.0
2021-10-18,Kozhikode,9.0,10.0
2021-10-18,Malappuram,0.0,0.0
2021-10-18,Palakkad,3.0,3.0
2021-10-18,Pathanamthitta,8.0,14.0
2021-10-18,Thiruvananthapuram,12.0,15.0
2021-10-18,Thrissur,17.0,23.0
2021-10-18,Wayanad,7.0,8.0
2021-10-18,total,,
2021-10-19,Alappuzha,7.0,9.0
2021-10-19,Ernakulam,42.0,58.0
2021-10-19,Idukki,14.0,19.0
2021-10-19,Kannur,6.0,6.0
2021-10-19,Kasaragod,2.0,2.0
2021-10-19,Kollam,4.0,5.0
2021-10-19,Kottayam,27.0,39.0
2021-10-19,Kozhikode,9.0,10.0
2021-10-19,Malappuram,0.0,0.0
2021-10-19,Palakkad,3.0,3.0
2021-10-19,Pathanamthitta,8.0,14.0
2021-10-19,Thiruvananthapuram,12.0,15.0
2021-10-19,Thrissur,17.0,23.0
2021-10-19,Wayanad,7.0,8.0
2021-10-19,total,,
2021-10-20,Alappuzha,7.0,9.0
2021-10-20,Ernakulam,42.0,58.0
2021-10-20,Idukki,14.0,19.0
2021-10-20,Kannur,6.0,6.0
2021-10-20,Kasaragod,2.0,2.0
2021-10-20,Kollam,4.0,5.0
2021-10-20,Kottayam,27.0,39.0
2021-10-20,Kozhikode,9.0,10.0
2021-10-20,Malappuram,0.0,0.0
2021-10-20,Palakkad,3.0,3.0
2021-10-20,Pathanamthitta,8.0,14.0
2021-10-20,Thiruvananthapuram,12.0,15.0
2021-10-20,Thrissur,17.0,23.0
2021-10-20,Wayanad,7.0,8.0
2021-10-20,total,,
2021-10-21,Alappuzha,7.0,9.0
2021-10-21,Ernakulam,42.0,58.0
2021-10-21,Idukki,14.0,19.0
2021-10-21,Kannur,6.0,6.0
2021-10-21,Kasaragod,2.0,2.0
2021-10-21,Kollam,4.0,5.0
2021-10-21,Kottayam,27.0,39.0
2021-10-21,Kozhikode,9.0,10.0
2021-10-21,Malappuram,0.0,0.0
2021-10-21,Palakkad,3.0,3.0
2021-10-21,Pathanamthitta,8.0,14.0
2021-10-21,Thiruvananthapuram,12.0,15.0
2021-10-21,Thrissur,17.0,23.0
2021-10-21,Wayanad,7.0,8.0
2021-10-21,total,,
2021-10-22,Alappuzha,7.0,9.0
2021-10-22,Ernakulam,42.0,58.0
2021-10-22,Idukki,14.0,19.0
2021-10-22,Kannur,6.0,6.0
2021-10-22,Kasaragod,2.0,2.0
2021-10-22,Kollam,4.0,5.0
2021-10-22,Kottayam,27.0,39.0
2021-10-22,Kozhikode,9.0,10.0
2021-10-22,Malappuram,0.0,0.0
2021-10-22,Palakkad,3.0,3.0
2021-10-22,Pathanamthitta,8.0,14.0
2021-10-22,Thiruvananthapuram,12.0,15.0
2021-10-22,Thrissur,17.0,23.0
2021-10-22,Wayanad,7.0,8.0
2021-10-22,total,,
2021-10-23,Alappuzha,7.0,9.0
2021-10-23,Ernakulam,42.0,58.0
2021-10-23,Idukki,14.0,19.0
2021-10-23,Kannur,6.0,6.0
2021-10-23,Kasaragod,2.0,2.0
2021-10-23,Kollam,4.0,5.0
2021-10-23,Kottayam,27.0,39.0
2021-10-23,Kozhikode,9.0,10.0
2021-10-23,Malappuram,0.0,0.0
2021-10-23,Palakkad,3.0,3.0
2021-10-23,Pathanamthitta,8.0,14.0
2021-10-23,Thiruvananthapuram,12.0,15.0
2021-10-23,Thrissur,17.0,23.0
2021-10-23,Wayanad,7.0,8.0
2021-10-23,total,,
2021-10-24,Alappuzha,7.0,9.0
2021-10-24,Ernakulam,42.0,58.0
2021-10-24,Idukki,14.0,19.0
2021-10-24,Kannur,6.0,6.0
2021-10-24,Kasaragod,2.0,2.0
2021-10-24,Kollam,4.0,5.0
2021-10-24,Kottayam,27.0,39.0
2021-10-24,Kozhikode,9.0,10.0
2021-10-24,Malappuram,0.0,0.0
2021-10-24,Palakkad,3.0,3.0
2021-10-24,Pathanamthitta,8.0,14.0
2021-10-24,Thiruvananthapuram,12.0,15.0
2021-10-24,Thrissur,17.0,23.0
2021-10-24,Wayanad,7.0,8.0
2021-10-24,total,,
2021-10-25,Alappuzha,7.0,9.0
2021-10-25,Ernakulam,42.0,58.0
2021-10-25,Idukki,14.0,19.0
2021-10-25,Kannur,6.0,6.0
2021-10-25,Kasaragod,2.0,2.0
2021-10-25,Kollam,4.0,5.0
2021-10-25,Kottayam,27.0,39.0
2021-10-25,Kozhikode,9.0,10.0
2021-10-25,Malappuram,0.0,0.0
2021-10-25,Palakkad,3.0,3.0
2021-10-25,Pathanamthitta,8.0,14.0
2021-10-25,Thiruvananthapuram,12.0,15.0
2021-10-25,Thrissur,17.0,23.0
2021-10-25,Wayanad,7.0,8.0
2021-10-25,total,,
2021-10-26,Alappuzha,7.0,9.0
2021-10-26,Ernakulam,42.0,58.0
2021-10-26,Idukki,14.0,19.0
2021-10-26,Kannur,6.0,6.0
2021-10-26,Kasaragod,2.0,2.0
2021-10-26,Kollam,4.0,5.0
2021-10-26,Kottayam,27.0,39.0
2021-10-26,Kozhikode,9.0,10.0
2021-10-26,Malappuram,0.0,0.0
2021-10-26,Palakkad,3.0,3.0
2021-10-26,Pathanamthitta,8.0,14.0
2021-10-26,Thiruvananthapuram,12.0,15.0
2021-10-26,Thrissur,17.0,23.0
2021-10-26,Wayanad,7.0,8.0
2021-10-26,total,,
2021-10-27,Alappuzha,7.0,9.0
2021-10-27,Ernakulam,42.0,58.0
2021-10-27,Idukki,14.0,19.0
2021-10-27,Kannur,6.0,6.0
2021-10-27,Kasaragod,2.0,2.0
2021-10-27,Kollam,4.0,5.0
2021-10-27,Kottayam,27.0,39.0
2021-10-27,Kozhikode,9.0,10.0
2021-10-27,Malappuram,0.0,0.0
2021-10-27,Palakkad,3.0,3.0
2021-10-27,Pathanamthitta,8.0,14.0
2021-10-27,Thiruvananthapuram,12.0,15.0
2021-10-27,Thrissur,17.0,23.0
2021-10-27,Wayanad,7.0,8.0
2021-10-27,total,,
2021-10-28,Alappuzha,7.0,9.0
2021-10-28,Ernakulam,42.0,58.0
2021-10-28,Idukki,14.0,19.0
2021-10-28,Kannur,6.0,6.0
2021-10-28,Kasaragod,2.0,2.0
2021-10-28,Kollam,4.0,5.0
2021-10-28,Kottayam,27.0,39.0
2021-10-28,Kozhikode,9.0,10.0
2021-10-28,Malappuram,0.0,0.0
2021-10-28,Palakkad,3.0,3.0
2021-10-28,Pathanamthitta,8.0,14.0
2021-10-28,Thiruvananthapuram,12.0,15.0
2021-10-28,Thrissur,17.0,23.0
2021-10-28,Wayanad,7.0,8.0
2021-10-28,total,,
2021-10-29,Alappuzha,0.0,0.0
2021-10-29,Ernakulam,28.0,50.0
2021-10-29,Idukki,9.0,16.0
2021-10-29,Kannur,0.0,0.0
2021-10-29,Kasaragod,2.0,2.0
2021-10-29,Kollam,5.0,5.0
2021-10-29,Kottayam,0.0,0.0
2021-10-29,Kozhikode,4.0,5.0
2021-10-29,Malappuram,0.0,0.0
2021-10-29,Palakkad,0.0,0.0
2021-10-29,Pathanamthitta,8.0,8.0
2021-10-29,Thiruvananthapuram,8.0,8.0
2021-10-29,Thrissur,8.0,16.0
2021-10-29,Wayanad,5.0,5.0
2021-10-29,total,,
2021-10-30,Alappuzha,0.0,0.0
2021-10-30,Ernakulam,28.0,50.0
2021-10-30,Idukki,9.0,16.0
2021-10-30,Kannur,0.0,0.0
2021-10-30,Kasaragod,2.0,2.0
2021-10-30,Kollam,5.0,5.0
2021-10-30,Kottayam,0.0,0.0
2021-10-30,Kozhikode,4.0,5.0
2021-10-30,Malappuram,0.0,0.0
2021-10-30,Palakkad,0.0,0.0
2021-10-30,Pathanamthitta,8.0,8.0
2021-10-30,Thiruvananthapuram,8.0,8.0
2021-10-30,Thrissur,8.0,16.0
2021-10-30,Wayanad,5.0,5.0
2021-10-30,total,,
2021-10-31,Alappuzha,0.0,0.0
2021-10-31,Ernakulam,28.0,50.0
2021-10-31,Idukki,9.0,16.0
2021-10-31,Kannur,0.0,0.0
2021-10-31,Kasaragod,2.0,2.0
2021-10-31,Kollam,5.0,5.0
2021-10-31,Kottayam,0.0,0.0
