date,total_positive_cases,active_cases,total_recovered,total_persons_in_surveillance,total_persons_in_home_ins_isolation,total_persons_in_hospital_isolation,total_deaths,total_deaths_declared_as_per_appeal,total_pending_deaths
2021-11-09,5027318,71020,4921312,227732,221995,5737,34362,2219.0,3779.0
2021-11-10,5034858,70459,4922834,221733,216046,5687,34621,2430.0,3779.0
2021-11-12,5048756,68805,4943813,218871,213293,5578,35511,3214.0,3779.0
2021-11-13,5055224,68630,4950281,225227,219885,5342,35685,3365.0,3779.0
2021-11-14,5061072,67185,4957509,226642,221139,5503,35750,3384.0,3779.0
2021-11-15,5065619,64738,4964375,222466,217083,5383,35877,3454.0,3779.0
2021-11-16,5071135,63338,4971080,212925,207664,5261,36087,3625.0,3779.0
2021-11-17,5077984,63752,4977126,208004,202837,5167,36475,3952.0,3779.0
2021-11-18,5084095,62288,4984328,205822,200635,5187,36847,4273.0,3779.0
2021-11-19,5089849,61348,4990817,204266,199044,5222,37051,4428.0,3779.0
2021-11-20,5095924,61114,4996878,192854,187692,5162,37299,4644.0,3779.0
2021-11-21,5101004,58088,5004786,192768,187604,5164,37495,4800.0,3779.0
2021-11-22,5104702,54091,5012301,188979,183929,5050,37675,4905.0,3779.0
2021-11-23,5109674,52710,5018279,184581,179531,5050,38045,5218.0,3779.0
2021-11-24,5113954,51302,5023658,180316,175361,4955,38353,5491.0,3779.0
2021-11-25,5119941,51804,5028752,174319,169469,4850,38737,5819.0,3779.0
2021-11-26,5124618,49459,5035384,169347,164542,4805,39125,6174.0,3779.0
2021-11-27,5129359,48501,5040528,164088,159297,4791,39679,6700.0,3779.0
2021-11-29,5137091,44487,5051998,156786,152086,4700,39955,6899.0,3779.0
2021-11-30,5141814,43663,5057368,153221,148515,4706,40132,7057.0,3779.0
2021-12-01,5147219,44124,5061906,150435,145733,4702,40535,7364.0,3779.0
2021-12-02,5151919,44376,5066034,155639,150837,4802,40855,7618.0,3779.0
2021-12-03,5156914,44637,5070497,159899,155157,4742,41124,7843.0,3779.0
2021-12-04,5161471,43771,5075605,164747,160333,4414,41439,8106.0,3779.0
2021-12-05,5165921,43454,5080211,167693,163323,4370,41600,8244.0,3779.0
2021-12-06,5169198,40730,5086044,166787,162029,4758,41768,8382.0,3779.0
2021-12-07,5173854,40072,5091224,164650,159936,4714,41902,8488.0,3779.0
2021-12-08,5178892,40959,5095263,163682,158990,4692,42014,8565.0,3779.0
2021-12-09,5183061,40546,5099620,163498,158897,4601,42239,8738.0,3779.0
2021-12-10,5187033,39341,5104456,161893,157300,4593,42579,9047.0,3779.0
2021-12-11,5190828,38583,5108764,161939,157425,4514,42824,9242.0,3779.0
2021-12-12,5194605,38361,5112620,161911,157577,4334,42967,9351.0,3779.0
2021-12-13,5197039,36281,5116928,160033,155720,4313,43170,9516.0,3779.0
2021-12-14,5200416,35410,5121001,153474,149245,4229,43344,9662.0,3779.0
2021-12-15,5204422,35234,5124899,149628,145536,4092,43626,9819.0,3779.0
2021-12-16,5207826,34171,5129044,147204,143110,4094,43946,10103.0,3779.0
2021-12-17,5211297,32433,5134010,143337,139318,4019,44189,10324.0,3779.0
2021-12-18,5214594,31901,5137619,141586,137745,3841,44407,10499.0,3779.0
2021-12-19,5217589,30639,5141779,140333,136127,4206,44503,10584.0,3779.0
2021-12-20,5219819,28724,5145501,139438,135200,4238,44922,10989.0,3779.0
2021-12-21,5222567,28035,5148703,136864,132731,4133,45155,11189.0,3779.0
2021-12-22,5225772,27842,5151715,134146,130126,4020,45538,11536.0,3779.0
2021-12-23,5228286,26605,5155142,131345,127397,3948,45861,11805.0,3779.0
2021-12-24,5230891,25586,5158423,129501,125605,3896,46203,12116.0,3779.0
2021-12-25,5233298,24501,5161800,124904,121046,3858,46318,12220.0,3779.0
2021-12-26,5235122,22691,5165164,121509,117637,3872,46586,12472.0,3779.0
2021-12-27,5236758,21224,5168028,119025,115182,3843,46822,12685.0,3779.0
2021-12-28,5239232,20400,5171080,116378,112641,3737,47066,12891.0,3779.0
2021-12-29,5242078,20456,5173656,112284,108593,3691,47277,13090.0,3779.0
2021-12-30,5244501,19835,5176535,110680,107074,3606,47441,13239.0,3779.0
