date,hospital_beds_total,hospital_beds_occupied,hospital_beds_vacant,covid_care_center_beds_total,covid_care_center_beds_occupied,covid_care_center_beds_vacant,covid_health_center_beds_total,covid_health_center_beds_occupied,covid_health_center_beds_vacant,home_isolation_count
2020-09-20,15621.0,7040.0,8581.0,8137.0,1937.0,,601.0,398.0,203.0,18910.0
2020-09-21,15681.0,6990.0,8691.0,8137.0,1805.0,,601.0,385.0,216.0,19213.0
2020-09-22,15804.0,7051.0,8753.0,8137.0,1906.0,,601.0,386.0,215.0,18464.0
2020-09-23,15810.0,6998.0,8812.0,8137.0,1913.0,4841.0,601.0,377.0,224.0,17834.0
2020-09-24,15810.0,7026.0,8784.0,,,,601.0,344.0,257.0,17995.0
2020-09-25,15812.0,6990.0,8822.0,,,,527.0,358.0,169.0,18096.0
2020-09-26,,,,,,,,,,17600.0
2020-09-27,,,,,,,,,,17291.0
2020-09-28,15833.0,6659.0,9174.0,,,,527.0,337.0,190.0,16679.0
2020-09-29,15839.0,6515.0,9324.0,,,,527.0,321.0,206.0,16049.0
2020-09-30,15834.0,6283.0,9551.0,8137.0,1266.0,5705.0,527.0,312.0,215.0,15657.0
2020-10-01,15843.0,6146.0,9697.0,8137.0,1327.0,5898.0,527.0,329.0,198.0,15899.0
2020-10-02,15844.0,6071.0,9773.0,8137.0,1291.0,5937.0,527.0,316.0,211.0,15852.0
2020-10-03,15840.0,5989.0,9851.0,8137.0,1226.0,6128.0,527.0,312.0,215.0,15449.0
2020-10-04,15833.0,5896.0,9937.0,8137.0,1176.0,6084.0,527.0,298.0,229.0,14700.0
2020-10-05,15832.0,5802.0,10030.0,8137.0,1126.0,6237.0,527.0,300.0,227.0,13905.0
2020-10-07,15830.0,5387.0,10443.0,8137.0,974.0,6221.0,527.0,263.0,264.0,12691.0
2020-10-08,15833.0,5270.0,10563.0,8137.0,1073.0,6085.0,527.0,273.0,254.0,12890.0
2020-10-09,15833.0,5235.0,10598.0,8137.0,986.0,6129.0,527.0,265.0,262.0,12609.0
2020-10-10,16114.0,5303.0,10811.0,8137.0,958.0,6158.0,527.0,266.0,261.0,12614.0
2020-10-11,16118.0,5229.0,10889.0,8137.0,935.0,6239.0,527.0,287.0,240.0,12470.0
2020-10-12,16118.0,5151.0,10967.0,8137.0,877.0,6297.0,527.0,273.0,254.0,12385.0
2020-10-13,16117.0,5109.0,11008.0,8137.0,891.0,6290.0,527.0,278.0,249.0,12176.0
2020-10-14,,,,,,,,,,12360.0
2020-10-15,16109.0,5109.0,11000.0,8137.0,913.0,6499.0,527.0,290.0,237.0,12810.0
2020-10-16,,,,,,,,,,13152.0
2020-10-17,,,,,,,,,,13436.0
2020-10-18,,,,,,,,,,13742.0
2020-10-19,15704.0,5064.0,10640.0,8137.0,891.0,6342.0,527.0,297.0,230.0,14164.0
2020-10-20,15717.0,5149.0,10568.0,8107.0,862.0,6286.0,527.0,286.0,241.0,14046.0
2020-10-21,15713.0,5081.0,10632.0,8107.0,845.0,6301.0,527.0,278.0,249.0,14227.0
2020-10-22,15742.0,5116.0,10626.0,8107.0,960.0,6219.0,527.0,300.0,227.0,14979.0
2020-10-23,15739.0,5182.0,10557.0,8107.0,935.0,6566.0,527.0,315.0,212.0,15483.0
2020-10-24,,,,,,,,,,15808.0
2020-10-25,,,,,,,,,,16115.0
2020-10-26,15757.0,5404.0,10353.0,7887.0,858.0,6513.0,527.0,296.0,231.0,16396.0
2020-10-27,15765.0,5453.0,10312.0,,,,527.0,305.0,222.0,16415.0
2020-10-28,15765.0,5665.0,10100.0,7887.0,894.0,6496.0,527.0,324.0,203.0,16822.0
2020-10-29,15749.0,5854.0,9895.0,,,,527.0,337.0,190.0,18069.0
2020-10-30,15759.0,6114.0,9645.0,7887.0,968.0,6482.0,527.0,326.0,201.0,19064.0
2020-10-31,15764.0,6259.0,9505.0,7887.0,970.0,6455.0,527.0,335.0,192.0,20093.0
2020-11-01,,,,,,,,,,20732.0
2020-11-02,15789.0,6676.0,9113.0,7887.0,949.0,6385.0,527.0,318.0,209.0,21364.0
2020-11-03,15823.0,6798.0,9025.0,7887.0,973.0,6349.0,527.0,358.0,169.0,21521.0
2020-11-04,15782.0,6945.0,8837.0,7887.0,983.0,6334.0,527.0,351.0,176.0,22248.0
2020-11-05,15803.0,7231.0,8572.0,7887.0,1028.0,6263.0,527.0,344.0,183.0,23411.0
2020-11-07,15904.0,7858.0,8046.0,8107.0,1020.0,6571.0,527.0,327.0,200.0,24100.0
2020-11-08,16027.0,8072.0,7955.0,8107.0,1002.0,6688.0,527.0,315.0,212.0,24723.0
2020-11-09,16195.0,8180.0,8015.0,8217.0,971.0,6950.0,527.0,300.0,227.0,25321.0
2020-11-10,16324.0,8262.0,8062.0,8217.0,836.0,7112.0,527.0,279.0,248.0,24178.0
2020-11-11,16511.0,8497.0,8014.0,8217.0,825.0,7198.0,527.0,279.0,248.0,24435.0
2020-11-12,16590.0,8588.0,8002.0,8217.0,929.0,7135.0,527.0,294.0,233.0,26252.0
2020-11-13,,,,,,,,,,26741.0
2020-11-14,,,,,,,,,,27428.0
2020-11-16,,,,,,,,,,26533.0
2020-11-17,16814.0,9215.0,7599.0,,,,562.0,217.0,345.0,25585.0
2020-11-18,16884.0,9343.0,7541.0,8217.0,568.0,7146.0,562.0,219.0,343.0,24842.0
2020-11-19,16965.0,9494.0,7471.0,8217.0,593.0,7082.0,562.0,221.0,341.0,25367.0
2020-11-20,,,,,,,,,,24042.0
2020-11-21,,,,,,,,,,23587.0
2020-11-22,17365.0,9418.0,7947.0,8217.0,550.0,7356.0,562.0,197.0,365.0,23301.0
2020-11-23,17553.0,9464.0,8089.0,8217.0,527.0,7509.0,562.0,184.0,378.0,22700.0
2020-11-24,17958.0,9367.0,8591.0,8217.0,476.0,7610.0,562.0,188.0,374.0,22246.0
2020-11-25,18196.0,9268.0,8928.0,8217.0,489.0,7637.0,562.0,182.0,380.0,23102.0
2020-11-26,18252.0,9109.0,9143.0,8217.0,497.0,7682.0,562.0,174.0,388.0,23479.0
2020-11-27,18287.0,8915.0,9372.0,8217.0,488.0,7707.0,562.0,162.0,400.0,23134.0
2020-11-28,18389.0,8596.0,9793.0,7942.0,484.0,7337.0,562.0,151.0,411.0,22349.0
2020-11-30,18694.0,8098.0,10596.0,7942.0,465.0,7306.0,562.0,140.0,422.0,20456.0
2020-12-01,18688.0,7777.0,10911.0,7942.0,457.0,6999.0,562.0,129.0,433.0,19400.0
2020-12-02,18693.0,7366.0,11327.0,7942.0,442.0,7009.0,562.0,127.0,435.0,18423.0
2020-12-03,18719.0,6985.0,11734.0,7942.0,484.0,6962.0,562.0,127.0,435.0,17790.0
2020-12-05,18843.0,6458.0,12385.0,7942.0,429.0,6874.0,562.0,141.0,421.0,16231.0
2020-12-06,18814.0,6145.0,12669.0,7942.0,429.0,6939.0,562.0,137.0,425.0,15276.0
2020-12-07,18813.0,6023.0,12790.0,7942.0,388.0,6974.0,562.0,122.0,440.0,14279.0
2020-12-08,18852.0,5193.0,13659.0,7942.0,338.0,7344.0,562.0,106.0,456.0,11541.0
2020-12-09,18806.0,5417.0,13389.0,7942.0,364.0,7315.0,562.0,116.0,446.0,12186.0
2020-12-10,18852.0,5193.0,13659.0,7942.0,338.0,7344.0,562.0,106.0,456.0,11541.0
2020-12-11,18853.0,4954.0,13899.0,,,,562.0,113.0,449.0,10886.0
2020-12-12,18814.0,4631.0,14183.0,7792.0,330.0,7368.0,562.0,95.0,467.0,10382.0
2020-12-13,18807.0,4446.0,14361.0,7792.0,302.0,7426.0,562.0,89.0,473.0,9964.0
2020-12-14,18807.0,4246.0,14561.0,7792.0,277.0,7454.0,562.0,74.0,488.0,9274.0
2020-12-16,18804.0,3716.0,15088.0,7792.0,204.0,7548.0,562.0,49.0,513.0,7745.0
2020-12-17,18815.0,3464.0,15351.0,7792.0,161.0,7601.0,562.0,42.0,520.0,7168.0
2020-12-18,18817.0,3239.0,15578.0,7792.0,121.0,7460.0,562.0,36.0,526.0,6605.0
2020-12-19,18770.0,3115.0,15655.0,7792.0,126.0,7399.0,562.0,35.0,527.0,5943.0
2020-12-20,18770.0,2997.0,15773.0,7792.0,118.0,7398.0,562.0,35.0,527.0,5907.0
2020-12-21,18786.0,2909.0,15877.0,7792.0,112.0,7399.0,562.0,26.0,536.0,5405.0
2020-12-22,18786.0,2884.0,15902.0,7792.0,100.0,7409.0,562.0,22.0,540.0,4790.0
2020-12-23,18779.0,2866.0,15913.0,7792.0,92.0,7415.0,562.0,19.0,543.0,4155.0
2020-12-24,18779.0,2813.0,15966.0,7792.0,76.0,7448.0,562.0,19.0,543.0,3938.0
2020-12-25,,,,,,,,,,3762.0
2020-12-26,,,,,,,,,,3544.0
2020-12-27,,,,,,,,,,3335.0
2020-12-28,18774.0,2499.0,16275.0,7942.0,62.0,7808.0,562.0,19.0,543.0,3153.0
2020-12-29,18727.0,2360.0,16367.0,7922.0,65.0,7788.0,562.0,18.0,544.0,2976.0
2020-12-30,18718.0,2285.0,16433.0,7922.0,70.0,7777.0,562.0,18.0,544.0,2788.0
2020-12-31,18718.0,2096.0,16622.0,7922.0,58.0,7756.0,562.0,22.0,540.0,2761.0
2021-01-01,17943.0,2072.0,15871.0,7992.0,61.0,7737.0,562.0,24.0,538.0,2616.0
2021-01-02,,,,,,,,,,2752.0
2021-01-03,,,,,,,,,,2600.0
2021-01-04,14013.0,1805.0,12208.0,7922.0,47.0,7749.0,562.0,27.0,535.0,2426.0
2021-01-05,13954.0,1770.0,12184.0,7422.0,38.0,7230.0,562.0,27.0,535.0,2285.0
2021-01-06,14076.0,1705.0,12371.0,7422.0,31.0,7247.0,562.0,24.0,538.0,2067.0
2021-01-07,13838.0,1610.0,12228.0,7422.0,33.0,7274.0,562.0,24.0,538.0,2015.0
2021-01-08,12380.0,1471.0,10909.0,7422.0,33.0,7298.0,407.0,24.0,383.0,1807.0
2021-01-09,,,,,,,,,,1652.0
2021-01-10,,,,,,,,,,1585.0
2021-01-11,12110.0,1508.0,10602.0,7422.0,34.0,7314.0,307.0,15.0,292.0,1491.0
2021-01-13,11984.0,1235.0,10749.0,7392.0,38.0,7156.0,307.0,16.0,291.0,1345.0
2021-01-14,11976.0,1233.0,10743.0,7392.0,41.0,7158.0,307.0,12.0,295.0,1311.0
2021-01-15,11950.0,1171.0,10779.0,7392.0,43.0,7147.0,307.0,11.0,296.0,1275.0
2021-01-16,,,,,,,,,,1234.0
2021-01-17,,,,,,,,,,1154.0
2021-01-18,10128.0,1055.0,9073.0,7392.0,34.0,7123.0,307.0,6.0,301.0,1079.0
2021-01-19,9244.0,1041.0,8253.0,7392.0,29.0,7090.0,307.0,6.0,301.0,1027.0
2021-01-20,9200.0,968.0,8232.0,7392.0,29.0,7228.0,307.0,6.0,301.0,916.0
2021-01-21,9103.0,1004.0,8099.0,7392.0,20.0,7223.0,307.0,5.0,302.0,864.0
2021-01-22,9068.0,943.0,8125.0,7392.0,21.0,7246.0,307.0,5.0,302.0,825.0
2021-01-23,9053.0,854.0,8199.0,7392.0,20.0,7237.0,307.0,3.0,304.0,806.0
2021-01-24,9054.0,787.0,8267.0,7392.0,18.0,7246.0,307.0,3.0,304.0,748.0
2021-01-25,9054.0,797.0,8257.0,7392.0,17.0,7242.0,307.0,3.0,304.0,729.0
2021-01-26,8949.0,746.0,8203.0,7392.0,17.0,7273.0,307.0,3.0,304.0,703.0
2021-01-27,8744.0,721.0,8023.0,7392.0,12.0,7281.0,307.0,2.0,305.0,670.0
2021-01-28,8729.0,711.0,8018.0,7392.0,20.0,7291.0,307.0,0.0,307.0,645.0
2021-01-29,8701.0,702.0,7999.0,7392.0,17.0,7296.0,307.0,0.0,307.0,583.0
2021-01-30,8621.0,693.0,7928.0,7392.0,16.0,7313.0,307.0,1.0,306.0,543.0
2021-01-31,7892.0,657.0,7235.0,7392.0,15.0,7307.0,307.0,1.0,306.0,548.0
2021-02-01,6306.0,624.0,5682.0,7392.0,15.0,7312.0,307.0,1.0,306.0,504.0
2021-02-02,6305.0,621.0,5684.0,7392.0,15.0,7314.0,307.0,1.0,306.0,466.0
2021-02-03,6302.0,599.0,5703.0,7392.0,18.0,7304.0,307.0,1.0,306.0,440.0
2021-02-04,6265.0,621.0,5644.0,7392.0,16.0,7314.0,307.0,2.0,305.0,397.0
2021-02-05,6265.0,581.0,5684.0,7392.0,17.0,7318.0,307.0,2.0,305.0,452.0
2021-02-06,6149.0,562.0,5587.0,7392.0,15.0,7318.0,307.0,3.0,304.0,471.0
2021-02-09,6050.0,496.0,5554.0,7392.0,13.0,7244.0,307.0,2.0,305.0,441.0
2021-02-10,5835.0,481.0,5354.0,7392.0,11.0,7072.0,307.0,1.0,306.0,426.0
2021-02-11,5777.0,484.0,5293.0,7392.0,9.0,7067.0,307.0,1.0,306.0,415.0
2021-02-12,5770.0,481.0,5289.0,7392.0,10.0,7070.0,307.0,1.0,306.0,420.0
2021-02-13,5777.0,468.0,5309.0,7392.0,35.0,7113.0,307.0,1.0,306.0,411.0
2021-02-14,5775.0,452.0,5323.0,7392.0,35.0,7112.0,307.0,0.0,307.0,394.0
2021-02-15,5765.0,465.0,5300.0,7392.0,39.0,7112.0,307.0,0.0,307.0,391.0
2021-02-16,5765.0,470.0,5295.0,7392.0,39.0,7189.0,307.0,0.0,307.0,416.0
2021-02-17,5765.0,468.0,5297.0,7392.0,36.0,7168.0,307.0,0.0,307.0,440.0
2021-02-18,5747.0,454.0,5293.0,7392.0,35.0,7173.0,307.0,0.0,307.0,434.0
2021-02-19,5751.0,431.0,5320.0,7392.0,34.0,7177.0,307.0,0.0,307.0,430.0
2021-02-20,5751.0,407.0,5344.0,7392.0,36.0,7190.0,307.0,0.0,307.0,430.0
2021-02-21,5751.0,422.0,5329.0,7392.0,37.0,7182.0,307.0,0.0,307.0,467.0
2021-02-22,5751.0,405.0,5346.0,7392.0,37.0,7175.0,307.0,0.0,307.0,471.0
2021-02-23,5751.0,405.0,5346.0,7392.0,32.0,7176.0,307.0,0.0,307.0,472.0
2021-02-24,5751.0,437.0,5314.0,7392.0,1.0,7314.0,307.0,0.0,307.0,499.0
2021-02-25,5752.0,412.0,5340.0,5525.0,1.0,5460.0,97.0,0.0,97.0,536.0
2021-02-26,5752.0,400.0,5352.0,5525.0,1.0,5459.0,97.0,0.0,97.0,574.0
2021-02-27,5751.0,436.0,5315.0,5525.0,1.0,5467.0,97.0,0.0,97.0,627.0
2021-03-01,5721.0,489.0,5232.0,5525.0,1.0,5493.0,97.0,0.0,97.0,739.0
2021-03-02,5721.0,544.0,5177.0,5525.0,5.0,5511.0,97.0,0.0,97.0,777.0
2021-03-03,5711.0,513.0,5198.0,5525.0,5.0,5511.0,97.0,0.0,97.0,826.0
2021-03-04,5709.0,565.0,5144.0,5525.0,5.0,5506.0,97.0,0.0,97.0,870.0
2021-03-05,5709.0,599.0,5110.0,5525.0,5.0,5506.0,97.0,0.0,97.0,863.0
2021-03-06,5709.0,573.0,5136.0,5525.0,6.0,5505.0,97.0,0.0,97.0,879.0
2021-03-08,5709.0,539.0,5170.0,5525.0,5.0,5509.0,97.0,0.0,97.0,947.0
2021-03-09,5709.0,536.0,5173.0,5525.0,4.0,5511.0,97.0,0.0,97.0,952.0
2021-03-10,5709.0,544.0,5165.0,5525.0,4.0,5512.0,97.0,0.0,97.0,982.0
2021-03-11,5711.0,579.0,5132.0,5525.0,4.0,5517.0,97.0,0.0,97.0,1028.0
2021-03-12,5711.0,564.0,5147.0,5525.0,1.0,5520.0,97.0,0.0,97.0,1097.0
2021-03-13,5711.0,582.0,5129.0,5525.0,2.0,5519.0,97.0,0.0,97.0,1204.0
2021-03-14,5711.0,582.0,5129.0,5525.0,3.0,5519.0,97.0,0.0,97.0,1270.0
2021-03-15,5711.0,607.0,5104.0,5525.0,4.0,5518.0,97.0,0.0,97.0,1342.0
2021-03-16,5711.0,659.0,5052.0,5525.0,3.0,5520.0,97.0,0.0,97.0,1401.0
2021-03-17,5711.0,725.0,4986.0,5525.0,3.0,5516.0,97.0,0.0,97.0,1438.0
2021-03-18,5711.0,794.0,4917.0,5525.0,4.0,5517.0,97.0,0.0,97.0,1519.0
2021-03-19,5711.0,794.0,4917.0,5525.0,4.0,5517.0,97.0,0.0,97.0,1519.0
2021-03-20,5703.0,868.0,4835.0,5525.0,6.0,5515.0,97.0,0.0,97.0,1722.0
2021-03-21,5710.0,892.0,4818.0,5525.0,10.0,5511.0,67.0,0.0,67.0,1893.0
2021-03-22,5728.0,967.0,4761.0,5525.0,12.0,5510.0,97.0,0.0,97.0,2067.0
2021-03-23,5740.0,980.0,4760.0,5525.0,14.0,5507.0,97.0,0.0,97.0,2316.0
2021-03-24,5740.0,1063.0,4677.0,5525.0,13.0,5512.0,97.0,0.0,97.0,2560.0
2021-03-25,5740.0,1094.0,4646.0,5525.0,17.0,5508.0,97.0,0.0,97.0,2871.0
2021-03-26,5742.0,1187.0,4555.0,5525.0,18.0,5505.0,97.0,0.0,97.0,3312.0
2021-03-27,5748.0,1338.0,4410.0,5525.0,21.0,5501.0,97.0,0.0,97.0,3708.0
2021-03-28,5759.0,1398.0,4361.0,5525.0,29.0,5484.0,97.0,0.0,97.0,4237.0
2021-03-29,5765.0,1468.0,4297.0,5525.0,21.0,5492.0,97.0,0.0,97.0,4639.0
2021-03-30,5784.0,1584.0,4200.0,5525.0,21.0,5492.0,97.0,0.0,97.0,4832.0
2021-03-31,5815.0,1799.0,4016.0,5525.0,24.0,5489.0,97.0,0.0,97.0,5196.0
2021-04-01,6032.0,1971.0,4061.0,5525.0,23.0,5488.0,97.0,16.0,81.0,5698.0
2021-04-02,5938.0,2255.0,3683.0,5525.0,24.0,5487.0,82.0,15.0,67.0,6106.0
2021-04-03,5947.0,2441.0,3506.0,5525.0,29.0,5482.0,82.0,41.0,41.0,6569.0
2021-04-04,6131.0,2727.0,3404.0,5525.0,32.0,5488.0,82.0,46.0,36.0,7144.0
2021-04-05,6203.0,2975.0,3228.0,5525.0,34.0,5486.0,82.0,49.0,33.0,7983.0
2021-04-06,7067.0,3266.0,3801.0,5525.0,44.0,5473.0,82.0,51.0,31.0,8871.0
2021-04-07,8219.0,3763.0,4456.0,5525.0,84.0,5433.0,82.0,54.0,28.0,10048.0
2021-04-08,8813.0,4212.0,4601.0,5525.0,100.0,5417.0,82.0,65.0,17.0,11367.0
2021-04-09,9342.0,4732.0,4610.0,5525.0,122.0,5398.0,82.0,68.0,14.0,13188.0
2021-04-10,11106.0,5398.0,5708.0,5525.0,150.0,5370.0,82.0,62.0,20.0,15266.0
2021-04-11,11675.0,6216.0,5459.0,5525.0,190.0,5330.0,82.0,68.0,14.0,17093.0
2021-04-12,12008.0,6940.0,5068.0,5525.0,241.0,5279.0,82.0,69.0,13.0,19354.0
2021-04-13,12667.0,7731.0,4936.0,5525.0,286.0,5239.0,82.0,71.0,11.0,21954.0
