date,facility_name,patients_on_oxygen_support,patients_ventilator,total_patients
2020-07-30,artemis hospital gurugram,2,2,4
2020-07-30,kalyani hospital gurugram,1,1,2
2020-07-30,metro hospital gurugram,1,1,2
2020-07-30,"metro hospital, faridabad",11,0,11
2020-07-30,"qrg central, faridabad",8,0,8
2020-07-30,"qrg medicare, faridabad",7,1,8
2020-07-30,"sarvoday sec 8, faridabad",19,0,19
2020-07-30,"park hospital, faridabad",3,0,3
2020-07-30,"escorts fortis, faridabad",2,0,2
2020-07-30,"asian hospital, faridabad",4,0,4
2020-07-30,total,117,14,131
2020-07-31,pt bd sharma pgims rohtak,7,1,8
2020-07-31,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-31,"kcgmc, karnal",2,0,2
2020-07-31,"mamc, agroha, hisar",7,0,7
2020-07-31,"esic medical college and hospital, faridabad",13,5,18
2020-07-31,al-falah medical college faridabad,2,0,2
2020-07-31,"mm institute of medical sciences & research, mulana",12,1,13
2020-07-31,"world college of medical sciences, jhajjar",1,0,1
2020-07-31,mederor hospital   manesar gurugram,1,1,2
2020-07-31,medanta the medicity  gurugram,1,1,2
2020-07-31,artemis hospital gurugram,2,2,4
2020-07-31,kalyani hospital gurugram,1,1,2
2020-07-31,metro hospital gurugram,1,1,2
2020-07-31,"metro hospital, faridabad",12,0,12
2020-07-31,"qrg central, faridabad",6,0,6
2020-07-31,"qrg medicare, faridabad",7,1,8
2020-07-31,"sarvoday sec 8, faridabad",21,0,21
2020-07-31,"park hospital, faridabad",4,0,4
2020-07-31,"escorts fortis, faridabad",4,0,4
2020-07-31,"asian hospital, faridabad",4,2,6
2020-07-31,total,116,17,133
2020-08-01,pt bd sharma pgims rohtak,8,1,9
2020-08-01,"bpsgmc, khanpur kalan, sonepat",11,1,12
2020-08-01,"kcgmc, karnal",2,0,2
2020-08-01,"mamc, agroha, hisar",7,0,7
2020-08-01,"esic medical college and hospital, faridabad",16,4,20
2020-08-01,al-falah medical college faridabad,2,0,2
2020-08-01,"mm institute of medical sciences & research, mulana",10,3,13
2020-08-01,"world college of medical sciences, jhajjar",1,0,1
2020-08-01,signature hospital gurugram,2,2,4
2020-08-01,medanta the medicity  gurugram,1,1,2
2020-08-01,"metro hospital, faridabad",8,0,8
2020-08-01,"qrg central, faridabad",3,0,3
2020-08-01,"qrg medicare, faridabad",8,1,9
2020-08-01,"sarvoday sec 8, faridabad",16,1,17
2020-08-01,"park hospital, faridabad",4,0,4
2020-08-01,"escorts fortis, faridabad",5,0,5
2020-08-01,"asian hospital, faridabad",7,2,9
2020-08-01,total,111,16,127
2020-08-02,pt bd sharma pgims rohtak,7,1,8
2020-08-02,"bpsgmc, khanpur kalan, sonepat",8,0,8
2020-08-02,"kcgmc, karnal",4,0,4
2020-08-02,"mamc, agroha, hisar",7,0,7
2020-08-02,"esic medical college and hospital, faridabad",18,5,23
2020-08-02,al-falah medical college faridabad,2,0,2
2020-08-02,"mm institute of medical sciences & research, mulana",10,6,16
2020-08-02,signature hospital gurugram,2,2,4
2020-08-02,medanta the medicity  gurugram,1,1,2
2020-08-02,"metro hospital, faridabad",10,0,10
2020-08-02,"qrg central, faridabad",3,0,3
2020-08-02,"qrg medicare, faridabad",7,1,8
2020-08-02,"sarvoday sec 8, faridabad",18,1,19
2020-08-02,"park hospital, faridabad",2,1,3
2020-08-02,"escorts fortis, faridabad",5,0,5
2020-08-02,"asian hospital, faridabad",0,2,2
2020-08-02,total,104,20,124
2020-08-03,"pt bd sharma pgims, rohtak",11,2,13
2020-08-03,"bpsgmc, khanpur kalan, sonepat",7,0,7
2020-08-03,"kcgmc, karnal",4,0,4
2020-08-03,"mamc, agroha, hisar",2,0,2
2020-08-03,"esic medical college and hospital, faridabad",20,4,24
2020-08-03,"al-falah medical college, faridabad",2,0,2
2020-08-03,"mm institute of medical sciences & research, mulana",12,6,18
2020-08-03,"signature hospital, gurugram",2,2,4
2020-08-03,"medanta hospital,  gurugram",1,1,2
2020-08-03,"metro hospital, faridabad",8,0,8
2020-08-03,"qrg central, faridabad",2,0,2
2020-08-03,"qrg medicare, faridabad",8,1,9
2020-08-03,"sarvoday, faridabad",17,1,18
2020-08-03,"park hospital, faridabad",3,1,4
2020-08-03,"escorts fortis, faridabad",5,0,5
2020-08-03,"asian hospital, faridabad",6,2,8
2020-08-03,total,110,20,130
2020-08-04,"pt bd sharma pgims, rohtak",9,3,12
2020-08-04,"bpsgmc, khanpur kalan, sonepat",10,1,11
2020-08-04,"kcgmc, karnal",5,2,7
2020-08-04,"mamc, agroha, hisar",3,0,3
2020-08-04,"esic medical college and hospital, faridabad",22,3,25
2020-08-04,"al-falah medical college, faridabad",1,0,1
2020-08-04,"mm institute of medical sciences & research, mulana",10,5,15
2020-08-04,"signature hospital, gurugram",2,2,4
2020-08-04,"medanta hospital,  gurugram",1,1,2
2020-08-04,"metro hospital, faridabad",20,0,20
2020-08-04,"qrg central, faridabad",3,0,3
2020-08-04,"qrg medicare, faridabad",7,0,7
2020-08-04,"sarvoday, faridabad",15,2,17
2020-08-04,"park hospital, faridabad",1,0,1
2020-08-04,"escorts fortis, faridabad",4,1,5
2020-08-04,"asian hospital, faridabad",5,3,8
2020-08-04,total,118,23,141
2020-08-05,"pt bd sharma pgims, rohtak",8,3,11
2020-08-05,"bpsgmc, khanpur kalan, sonepat",9,3,12
2020-08-05,"kcgmc, karnal",4,2,6
2020-08-05,"mamc, agroha, hisar",2,0,2
2020-08-05,"esic medical college and hospital, faridabad",23,2,25
2020-08-05,"al-falah medical college, faridabad",1,0,1
2020-08-05,"mm institute of medical sciences & research, mulana",10,5,15
2020-08-05,"signature hospital, gurugram",2,2,4
2020-08-05,"medanta hospital,  gurugram",1,1,2
2020-08-05,"metro hospital, faridabad",19,1,20
2020-08-05,"qrg central, faridabad",3,0,3
2020-08-05,"qrg medicare, faridabad",8,1,9
2020-08-05,"sarvoday hospital, faridabad",15,2,17
2020-08-05,"park hospital, faridabad",1,0,1
2020-08-05,"escorts fortis, faridabad",4,0,4
2020-08-05,"asian hospital, faridabad",5,3,8
2020-08-05,total,115,25,140
2020-08-06,"pt bd sharma pgims, rohtak",9,2,11
2020-08-06,"bpsgmc, khanpur kalan, sonepat",8,0,8
2020-08-06,"kcgmc, karnal",3,1,4
2020-08-06,"mamc, agroha, hisar",8,0,8
2020-08-06,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-06,"esic medical college and hospital, faridabad",20,4,24
2020-08-06,"al-falah medical college, faridabad",1,0,1
2020-08-06,"mm institute of medical sciences & research, mulana",4,0,4
2020-08-06,"artemis hospital, gurugram",1,1,2
2020-08-06,"narayana hospital, gurugram",1,1,2
2020-08-06,"metro hospital, faridabad",16,1,17
2020-08-06,"qrg central, faridabad",3,0,3
2020-08-06,"qrg medicare, faridabad",6,0,6
2020-08-06,"sarvoday hospital, faridabad",16,1,17
2020-08-06,"park hospital, faridabad",1,0,1
2020-08-06,"escorts fortis, faridabad",5,0,5
2020-08-06,"asian hospital, faridabad",10,3,13
2020-08-06,total,113,14,127
2020-08-07,"pt bd sharma pgims, rohtak",8,2,10
2020-08-07,"adesh medial college & hospital, mohri kurukshetra",2,0,2
2020-08-07,"bpsgmc, khanpur kalan, sonepat",12,2,14
2020-08-07,"shkm govt. medical college nalhar, nuh",1,0,1
2020-08-07,"kcgmc, karnal",3,1,4
2020-08-07,"mamc, agroha, hisar",5,0,5
2020-08-07,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-07,"esic medical college and hospital, faridabad",21,4,25
2020-08-07,"mm institute of medical sciences & research, mulana",4,0,4
2020-08-07,world college of medical sciences & research jhajjar,2,0,2
2020-08-07,"artemis hospital, gurugram",1,1,2
2020-08-07,"narayana hospital, gurugram",1,1,2
2020-08-07,"metro hospital, faridabad",13,1,14
2020-08-07,"qrg central, faridabad",3,0,3
2020-08-07,"qrg medicare, faridabad",7,0,7
2020-08-07,"sarvoday hospital, faridabad",12,1,13
2020-08-07,"park hospital, faridabad",2,0,2
2020-08-07,"escorts fortis, faridabad",7,0,7
2020-08-07,"asian hospital, faridabad",5,3,8
2020-08-07,total,110,16,126
2020-08-08,"pt bd sharma pgims, rohtak",8,2,10
2020-08-08,"adesh medial college & hospital, mohri kurukshetra",2,0,2
2020-08-08,"bpsgmc, khanpur kalan, sonepat",10,1,11
2020-08-08,"shkm govt. medical college nalhar, nuh",2,0,2
2020-08-08,"kcgmc, karnal",3,1,4
2020-08-08,"mamc, agroha, hisar",6,0,6
2020-08-08,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-08,"esic medical college and hospital, faridabad",19,6,25
2020-08-08,"mm institute of medical sciences & research, mulana",1,3,4
2020-08-08,world college of medical sciences & research jhajjar,2,0,2
2020-08-08,"artemis hospital, gurugram",1,1,2
2020-08-08,"narayana hospital, gurugram",1,1,2
2020-08-08,"metro hospital, faridabad",14,1,15
2020-08-08,"qrg central, faridabad",3,0,3
2020-08-08,"qrg medicare, faridabad",9,0,9
2020-08-08,"sarvoday hospital, faridabad",8,2,10
2020-08-08,"escorts fortis, faridabad",6,0,6
2020-08-08,"asian hospital, faridabad",7,4,11
2020-08-08,total,103,22,125
2020-08-09,"pt bd sharma pgims, rohtak",12,2,14
2020-08-09,"bpsgmc, khanpur kalan, sonepat",12,0,12
2020-08-09,"shkm govt. medical college nalhar, nuh",0,2,2
2020-08-09,"kcgmc, karnal",4,2,6
2020-08-09,"mamc, agroha, hisar",10,0,10
2020-08-09,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-09,"esic medical college and hospital, faridabad",23,6,29
2020-08-09,"mm institute of medical sciences & research, mulana",7,2,9
2020-08-09,world college of medical sciences & research jhajjar,1,0,1
2020-08-09,"artemis hospital, gurugram",1,1,2
2020-08-09,"metro hospital, faridabad",12,1,13
2020-08-09,"qrg central, faridabad",5,0,5
2020-08-09,"qrg medicare, faridabad",8,0,8
2020-08-09,"sarvoday hospital, faridabad",13,3,16
2020-08-09,"escorts fortis, faridabad",6,0,6
2020-08-09,"asian hospital, faridabad",7,6,13
2020-08-09,total,122,25,147
2020-08-10,"pt bd sharma pgims, rohtak",15,1,16
2020-08-10,"bpsgmc, khanpur kalan, sonepat",13,0,13
2020-08-10,"shkm govt. medical college nalhar, nuh",1,2,3
2020-08-10,"kcgmc, karnal",4,2,6
2020-08-10,"mamc, agroha, hisar",7,0,7
2020-08-10,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-10,"esic medical college and hospital, faridabad",22,5,27
2020-08-10,"mm institute of medical sciences & research, mulana",9,2,11
2020-08-10,world college of medical sciences & research jhajjar,2,0,2
2020-08-10,"artemis hospital, gurugram",1,1,2
2020-08-10,"metro hospital, faridabad",10,0,10
2020-08-10,"qrg central, faridabad",6,1,7
2020-08-10,"qrg medicare, faridabad",7,0,7
2020-08-10,"sarvoday hospital, faridabad",6,2,8
2020-08-10,"escorts fortis, faridabad",4,0,4
2020-08-10,"asian hospital, faridabad",6,6,12
2020-08-10,total,114,22,136
2020-08-11,"pt bd sharma pgims, rohtak",13,1,14
2020-08-11,"bpsgmc, khanpur kalan, sonepat",11,0,11
2020-08-11,"shkm govt. medical college nalhar, nuh",1,3,4
2020-08-11,"kcgmc, karnal",5,2,7
2020-08-11,"mamc, agroha, hisar",7,0,7
2020-08-11,"sgt medical college and hospital, budhera, gurugram",1,1,2
2020-08-11,"esic medical college and hospital, faridabad",24,3,27
2020-08-11,"adesh medical college, kurukshetra",2,0,2
2020-08-11,"mm institute of medical sciences & research, mulana",10,4,14
2020-08-11,"artemis hospital, gurugram",1,1,2
2020-08-11,"metro hospital, faridabad",12,1,13
2020-08-11,"qrg central, faridabad",4,0,4
2020-08-11,"qrg medicare, faridabad",4,0,4
2020-08-11,"sarvoday hospital, faridabad",8,1,9
2020-08-11,"escorts fortis, faridabad",4,0,4
2020-08-11,"asian hospital, faridabad",6,5,11
2020-08-11,total,113,22,135
2020-08-12,"pt bd sharma pgims, rohtak",16,0,16
2020-08-12,"bpsgmc, khanpur kalan, sonepat",12,1,13
2020-08-12,"shkm govt. medical college nalhar, nuh",3,1,4
2020-08-12,"kcgmc, karnal",5,2,7
2020-08-12,"mamc, agroha, hisar",11,0,11
2020-08-12,"sgt medical college and hospital, budhera, gurugram",1,1,2
2020-08-12,"esic medical college and hospital, faridabad",25,4,29
2020-08-12,"adesh medical college, kurukshetra",2,0,2
2020-08-12,"mm institute of medical sciences & research, mulana",14,5,19
2020-08-12,"artemis hospital, gurugram",1,1,2
2020-08-12,"metro hospital, faridabad",16,2,18
2020-08-12,"qrg central, faridabad",3,0,3
2020-08-12,"qrg medicare, faridabad",5,0,5
2020-08-12,"sarvoday hospital, faridabad",8,1,9
2020-08-12,"escorts fortis, faridabad",4,1,5
2020-08-12,"asian hospital, faridabad",6,5,11
2020-08-12,total,132,24,156
2020-08-13,"pt bd sharma pgims, rohtak",17,0,17
2020-08-13,"bpsgmc, khanpur kalan, sonepat",14,2,16
2020-08-13,"shkm govt. medical college nalhar, nuh",2,2,4
2020-08-13,"kcgmc, karnal",5,2,7
2020-08-13,"mamc, agroha, hisar",10,1,11
2020-08-13,"sgt medical college and hospital, budhera, gurugram",1,1,2
2020-08-13,"esic medical college and hospital, faridabad",20,6,26
2020-08-13,"adesh medical college, kurukshetra",2,0,2
2020-08-13,"mm institute of medical sciences & research, mulana",12,3,15
2020-08-13,"artemis hospital, gurugram",1,1,2
2020-08-13,"metro hospital, faridabad",12,2,14
2020-08-13,"qrg central, faridabad",3,0,3
2020-08-13,"qrg medicare, faridabad",4,0,4
2020-08-13,"sarvoday hospital, faridabad",11,1,12
