date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_other_government_institutions,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total
2021-10-19,5.0,2.0,4.0,,14.0,1,0,1,,2
2021-10-20,6.0,2.0,5.0,,17.0,2,0,0,,3
2021-10-21,14.0,0.0,5.0,,20.0,0,0,0,,0
2021-10-22,11.0,0.0,4.0,,17.0,1,0,0,,2
2021-10-23,11.0,1.0,4.0,,16.0,1,0,0,,1
2021-10-24,7.0,0.0,5.0,,14.0,1,0,0,,1
2021-10-25,9.0,0.0,5.0,,14.0,0,0,0,,0
2021-10-26,9.0,0.0,5.0,,14.0,0,0,0,,1
2021-10-27,5.0,0.0,4.0,,11.0,1,0,0,,1
2021-10-28,6.0,0.0,2.0,,9.0,1,0,1,,3
2021-10-29,6.0,0.0,4.0,,10.0,0,0,1,,1
2021-10-30,8.0,0.0,5.0,,13.0,0,0,0,,1
2021-10-31,11.0,0.0,4.0,,16.0,1,1,1,,3
2021-11-01,12.0,4.0,3.0,,19.0,1,0,0,,1
2021-11-02,15.0,1.0,5.0,,21.0,0,0,0,,0
2021-11-03,11.0,0.0,5.0,,17.0,1,0,1,,2
2021-11-04,7.0,1.0,4.0,,12.0,2,0,1,,3
2021-11-05,5.0,0.0,6.0,,11.0,2,0,0,,2
2021-11-06,3.0,0.0,6.0,,9.0,0,0,1,,1
2021-11-07,2.0,0.0,4.0,,6.0,0,0,0,,0
2021-11-08,1.0,1.0,3.0,,5.0,1,0,0,,1
2021-11-09,7.0,0.0,4.0,,12.0,0,0,0,,0
2021-11-10,5.0,0.0,3.0,,8.0,1,0,0,,1
2021-11-11,4.0,0.0,0.0,,4.0,0,0,0,,0
2021-11-12,6.0,0.0,2.0,,8.0,0,0,0,,0
2021-11-13,7.0,0.0,5.0,,14.0,0,0,0,,0
2021-11-14,5.0,0.0,6.0,,11.0,0,0,0,,0
2021-11-15,4.0,0.0,7.0,,11.0,1,0,0,,1
2021-11-16,7.0,0.0,7.0,,14.0,1,0,0,,1
2021-11-17,7.0,0.0,5.0,,12.0,0,0,0,,1
2021-11-18,6.0,0.0,2.0,,10.0,2,0,0,,2
2021-11-19,5.0,0.0,7.0,,12.0,1,0,0,,1
2021-11-20,4.0,0.0,7.0,,12.0,0,0,0,,0
2021-11-21,7.0,0.0,6.0,,13.0,0,0,1,,1
2021-11-22,7.0,0.0,4.0,,11.0,1,0,1,,2
2021-11-23,4.0,0.0,6.0,,11.0,0,1,1,,2
2021-11-24,9.0,0.0,5.0,,14.0,0,0,0,,0
2021-11-25,6.0,1.0,7.0,,16.0,1,0,0,,1
2021-11-26,6.0,1.0,1.0,,9.0,1,0,1,,2
2021-11-27,7.0,0.0,4.0,,11.0,0,0,0,,0
2021-11-28,6.0,0.0,2.0,,9.0,0,0,0,,0
2021-11-29,5.0,0.0,4.0,,9.0,0,0,0,,0
2021-11-30,4.0,1.0,4.0,,9.0,0,0,0,,0
2021-12-01,5.0,1.0,4.0,,10.0,1,0,0,,1
2021-12-02,7.0,0.0,5.0,,12.0,0,0,0,,0
2021-12-03,5.0,0.0,4.0,,9.0,0,0,0,,0
2021-12-04,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-05,4.0,0.0,5.0,,9.0,1,0,0,,1
2021-12-06,7.0,0.0,3.0,,10.0,0,0,0,,0
2021-12-07,6.0,0.0,3.0,,9.0,0,0,1,,1
2021-12-08,3.0,0.0,4.0,,10.0,1,0,0,,1
2021-12-09,6.0,2.0,6.0,,15.0,0,0,0,,0
2021-12-10,4.0,0.0,5.0,,11.0,0,0,0,,0
2021-12-11,5.0,0.0,5.0,,10.0,1,0,2,,3
2021-12-13,5.0,2.0,5.0,,12.0,0,0,0,,0
2021-12-14,6.0,0.0,3.0,,9.0,0,0,0,,0
2021-12-15,9.0,0.0,2.0,,11.0,0,0,0,,0
2021-12-16,5.0,0.0,4.0,,10.0,2,0,0,,2
2021-12-17,6.0,0.0,4.0,,10.0,1,0,0,,1
2021-12-18,6.0,0.0,3.0,,9.0,0,0,0,,0
2021-12-19,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-20,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-21,1.0,0.0,2.0,,5.0,0,0,0,,0
2021-12-22,3.0,0.0,3.0,,8.0,0,0,0,,0
2021-12-23,5.0,0.0,3.0,,8.0,0,0,0,,0
2021-12-24,4.0,0.0,3.0,,7.0,0,0,0,,0
2021-12-25,5.0,1.0,4.0,,11.0,0,0,0,,0
2021-12-26,5.0,0.0,5.0,,10.0,0,0,0,,0
2021-12-27,4.0,0.0,5.0,,9.0,0,0,0,,0
2021-12-28,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-29,3.0,0.0,3.0,,7.0,1,0,0,,1
2021-12-30,5.0,0.0,2.0,,7.0,0,0,0,,0
2021-12-31,6.0,0.0,3.0,,11.0,0,0,0,,0
2022-01-01,3.0,0.0,4.0,,7.0,1,0,0,,1
2022-01-02,2.0,0.0,2.0,,4.0,2,0,0,,2
2022-01-03,4.0,0.0,1.0,,6.0,0,0,0,,0
2022-01-04,4.0,1.0,4.0,,9.0,0,0,0,,0
2022-01-05,3.0,0.0,5.0,,9.0,0,0,0,,0
2022-01-06,4.0,0.0,7.0,,11.0,0,0,0,,0
2022-01-07,2.0,0.0,5.0,,8.0,0,0,0,,0
