date,airport,flights_arrived,passengers,positive_cases
2021-03-21,coimbatore,3631,385915,365
2021-03-21,madurai,2336,241963,156
2021-03-21,trichy,1333,100886,106
2021-03-21,total,29915,2928431,1047
2021-03-20,chennai,22497,2189339,420
2021-03-20,coimbatore,3614,383802,365
2021-03-20,madurai,2327,240947,156
2021-03-20,trichy,1328,100886,106
2021-03-20,total,29766,2914974,1047
2021-03-18,chennai,22265,2166162,419
2021-03-18,coimbatore,3580,380261,364
2021-03-18,madurai,2308,238973,156
2021-03-18,trichy,1318,100886,106
2021-03-18,total,29471,2886282,1045
2021-03-17,chennai,22148,2154306,419
2021-03-17,coimbatore,3562,378434,364
2021-03-17,madurai,2299,238059,156
2021-03-17,trichy,1313,100886,106
2021-03-17,total,29322,2871685,1045
2021-03-16,chennai,22032,2142944,419
2021-03-16,coimbatore,3548,376906,364
2021-03-16,madurai,2290,237101,156
2021-03-16,trichy,1308,100886,106
2021-03-16,total,29178,2857837,1045
2021-03-15,chennai,21908,2129903,418
2021-03-15,coimbatore,3530,374767,364
2021-03-15,madurai,2280,236139,156
2021-03-15,trichy,1303,100886,106
2021-03-15,total,29021,2841695,1044
2021-03-14,chennai,21789,2116863,418
2021-03-14,coimbatore,3514,372862,364
2021-03-14,madurai,2271,235022,156
2021-03-14,trichy,1298,100886,106
2021-03-14,total,28872,2825633,1044
2021-03-13,chennai,21682,2106184,418
2021-03-13,coimbatore,3497,370770,364
2021-03-13,madurai,2262,233778,156
2021-03-13,trichy,1293,100886,106
2021-03-13,total,28734,2811618,1044
2021-03-12,chennai,21562,2095157,418
2021-03-12,coimbatore,3479,368809,364
2021-03-12,madurai,2252,232663,156
2021-03-12,trichy,1293,100886,106
2021-03-12,total,28586,2797515,1044
2021-03-11,chennai,21444,2086060,418
2021-03-11,coimbatore,3462,366683,364
2021-03-11,madurai,2243,231328,156
2021-03-11,trichy,1283,100886,106
2021-03-11,total,28432,2784957,1044
2021-03-10,chennai,21321,2074698,418
2021-03-10,coimbatore,3444,364425,364
2021-03-10,madurai,2234,230161,156
2021-03-10,trichy,1278,100886,106
2021-03-10,total,28277,2770170,1044
2021-03-08,chennai,21081,2053800,418
2021-03-08,coimbatore,3412,361080,364
2021-03-08,madurai,2216,228210,156
2021-03-08,trichy,1268,100886,106
2021-03-08,total,27977,2743976,1044
2021-03-07,chennai,20963,2042010,418
2021-03-07,coimbatore,3398,359290,364
2021-03-07,madurai,2207,227035,156
2021-03-07,trichy,1263,100886,106
2021-03-07,total,27831,2729221,1044
2021-03-06,chennai,20846,2030861,418
2021-03-06,coimbatore,3380,357087,364
2021-03-06,madurai,2198,225981,156
2021-03-06,trichy,1258,100886,106
2021-03-06,total,27682,2714815,1044
2021-03-05,chennai,20728,2019695,418
2021-03-05,coimbatore,3363,355159,364
2021-03-05,madurai,2188,224909,156
2021-03-05,trichy,1253,100886,106
2021-03-05,total,27532,2700649,1044
2021-03-04,chennai,20614,2009256,418
2021-03-04,coimbatore,3346,352988,364
2021-03-04,madurai,2179,223884,156
2021-03-04,trichy,1248,100886,105
2021-03-04,total,27387,2687014,1043
2021-03-03,chennai,20489,1997537,418
2021-03-03,coimbatore,3328,350931,364
2021-03-03,madurai,2170,222899,156
2021-03-03,trichy,1243,100886,105
2021-03-03,total,27230,2672253,1043
2021-03-02,chennai,20375,1986734,418
2021-03-02,coimbatore,3314,349281,364
2021-03-02,madurai,2161,221893,156
2021-03-02,trichy,1238,100886,105
2021-03-02,total,27088,2658794,1043
2021-03-01,chennai,20247,1973819,418
2021-03-01,coimbatore,3297,347260,364
2021-03-01,madurai,2151,220874,156
2021-03-01,trichy,1233,100886,105
2021-03-01,total,26928,2642839,1043
2021-02-28,chennai,20125,1958505,418
2021-02-28,coimbatore,3281,345127,364
2021-02-28,madurai,2142,219657,156
2021-02-28,trichy,1228,100886,105
2021-02-28,total,26776,2624175,1043
2021-02-27,chennai,20005,1947831,418
2021-02-27,coimbatore,3264,343398,364
2021-02-27,madurai,2133,218477,156
2021-02-27,trichy,1223,100886,105
2021-02-27,total,26625,2610592,1043
2021-02-25,chennai,19759,1922069,418
2021-02-25,coimbatore,3230,339488,364
2021-02-25,madurai,2114,216089,156
2021-02-25,trichy,1213,100886,105
2021-02-25,total,26316,2578532,1043
2021-02-21,chennai,19272,1869801,418
2021-02-21,coimbatore,3162,330453,364
2021-02-21,madurai,2077,210764,156
2021-02-21,trichy,1197,100886,105
2021-02-21,total,25708,2511904,1043
2021-02-20,chennai,19160,1858982,418
2021-02-20,coimbatore,3146,328265,364
2021-02-20,madurai,2068,209425,156
2021-02-20,trichy,1193,100886,105
2021-02-20,total,25567,2497558,1043
2021-02-19,chennai,19039,1847432,418
2021-02-19,coimbatore,3128,325910,364
2021-02-19,madurai,2059,208351,156
2021-02-19,trichy,1119,100886,105
2021-02-19,total,25345,2482579,1043
2021-02-17,chennai,18788,1820277,418
2021-02-17,coimbatore,3092,321750,364
2021-02-17,madurai,2040,206133,154
2021-02-17,trichy,1119,100886,105
2021-02-17,total,25039,2449046,1041
2021-02-16,chennai,18672,1809268,417
2021-02-16,coimbatore,3075,319892,364
2021-02-16,madurai,2031,205241,154
2021-02-16,trichy,1119,100886,105
2021-02-16,total,24897,2435287,1040
2021-02-14,chennai,18434,1782171,417
2021-02-14,coimbatore,3041,315427,364
2021-02-14,madurai,2012,202651,154
2021-02-14,trichy,1119,100886,105
2021-02-14,total,24606,2401135,1040
2021-02-13,chennai,18317,1770576,417
2021-02-13,coimbatore,3021,312702,364
2021-02-13,madurai,2003,201244,154
2021-02-13,trichy,1119,100886,105
2021-02-13,total,24460,2385408,1040
2021-02-12,chennai,18183,1757206,417
2021-02-12,coimbatore,3003,310422,364
2021-02-12,madurai,1993,199944,154
2021-02-12,trichy,1119,100886,105
2021-02-12,total,24298,2368458,1040
2021-02-10,chennai,17938,1734560,416
2021-02-10,coimbatore,2966,305923,364
2021-02-10,madurai,1973,197779,154
2021-02-10,trichy,1119,100886,105
2021-02-10,total,23996,2339148,1039
2021-02-09,chennai,17819,1723929,416
2021-02-09,coimbatore,2949,303913,364
2021-02-09,madurai,1964,196740,154
2021-02-09,trichy,1119,100886,105
2021-02-09,total,23851,2325468,1039
2021-02-08,chennai,17703,1711401,416
2021-02-08,coimbatore,2933,302000,364
2021-02-08,madurai,1955,195823,154
2021-02-08,trichy,1119,100886,105
2021-02-08,total,23710,2310110,1039
2021-02-07,chennai,17587,1701213,416
2021-02-07,coimbatore,2917,299991,364
2021-02-07,madurai,1946,194586,154
2021-02-07,trichy,1119,100886,105
2021-02-07,total,23569,2296676,1039
2021-02-05,chennai,17355,1678905,416
2021-02-05,coimbatore,2883,295828,364
2021-02-05,madurai,1928,192225,154
2021-02-05,trichy,1119,100886,105
2021-02-05,total,23285,2267844,1039
2021-02-04,chennai,17234,1668105,416
2021-02-04,coimbatore,2865,293873,364
2021-02-04,madurai,1919,191196,154
2021-02-04,trichy,1119,100886,104
2021-02-04,total,23137,2254060,1038
2021-02-02,chennai,16985,1644143,416
2021-02-02,coimbatore,2829,290094,364
2021-02-02,madurai,1901,189037,154
2021-02-02,trichy,1119,100886,104
2021-02-02,total,22834,2224160,1038
2021-01-31,chennai,16746,1618103,416
2021-01-31,coimbatore,2794,286105,364
2021-01-31,madurai,1883,186905,154
2021-01-31,trichy,1119,100886,104
2021-01-31,total,22542,2191999,1038
2021-01-30,chennai,16631,1608709,416
2021-01-30,coimbatore,2778,284189,364
2021-01-30,madurai,1874,185658,154
2021-01-30,trichy,1119,100886,104
2021-01-30,total,22402,2179442,1038
2021-01-29,chennai,16505,1597284,416
2021-01-29,coimbatore,2759,282524,364
2021-01-29,madurai,1864,184660,154
2021-01-29,trichy,1119,100886,104
2021-01-29,total,22247,2165354,1038
2021-01-28,chennai,16379,1586736,414
2021-01-28,coimbatore,2739,280449,364
2021-01-28,madurai,1855,183701,154
2021-01-28,trichy,1119,100886,104
2021-01-28,total,22092,2151772,1036
2021-01-27,chennai,16253,1574505,414
2021-01-27,coimbatore,2720,278414,364
2021-01-27,madurai,1845,182731,154
2021-01-27,trichy,1119,100886,104
2021-01-27,total,21937,2136536,1036
2021-01-26,chennai,16133,1563503,412
2021-01-26,coimbatore,2703,276647,364
2021-01-26,madurai,1837,181489,154
2021-01-26,trichy,1119,100886,104
2021-01-26,total,21792,2122525,1034
2021-01-25,chennai,16009,1552561,412
2021-01-25,coimbatore,2685,274644,364
2021-01-25,madurai,1827,180237,154
2021-01-25,trichy,1119,100886,104
2021-01-25,total,21640,2108328,1034
2021-01-24,chennai,15892,1539375,412
2021-01-24,coimbatore,2668,272326,363
2021-01-24,madurai,1818,178828,154
2021-01-24,trichy,1119,100886,104
2021-01-24,total,21497,2091415,1033
2021-01-23,chennai,15775,1526274,412
2021-01-23,coimbatore,2648,269783,363
2021-01-23,madurai,1809,177420,154
2021-01-23,trichy,1119,100886,104
2021-01-23,total,21351,2074363,1033
2021-01-22,chennai,15645,1513616,412
2021-01-22,coimbatore,2631,267591,363
2021-01-22,madurai,1799,176117,154
2021-01-22,trichy,1119,100886,104
2021-01-22,total,21194,2058210,1033
2021-01-18,chennai,15149,1462292,410
2021-01-18,coimbatore,2565,259525,363
2021-01-18,madurai,1761,171911,154
2021-01-18,trichy,1119,100886,104
2021-01-18,total,20594,1994614,1031
2021-01-17,chennai,15028,1444867,410
2021-01-17,coimbatore,2548,257270,363
2021-01-17,madurai,1752,170630,154
2021-01-17,trichy,1119,100886,104
2021-01-17,total,20447,1973653,1031
2021-01-16,chennai,14911,1432421,410
2021-01-16,coimbatore,2528,255056,363
2021-01-16,madurai,1743,169472,154
2021-01-16,trichy,1119,100886,104
2021-01-16,total,20301,1957835,1031
2021-01-14,chennai,14668,1413601,410
2021-01-14,coimbatore,2489,251282,363
2021-01-14,madurai,1724,166953,154
2021-01-14,trichy,1119,100886,104
2021-01-14,total,20000,1932722,1031
2021-01-11,chennai,14291,1378977,409
2021-01-11,coimbatore,2439,245541,363
2021-01-11,madurai,1695,162484,154
2021-01-11,trichy,1119,100886,103
2021-01-11,total,19544,1887888,1029
2021-01-10,chennai,14176,1366717,407
2021-01-10,coimbatore,2424,243531,363
2021-01-10,madurai,1686,161081,154
2021-01-10,trichy,1119,100886,103
2021-01-10,total,19405,1872215,1027
2021-01-09,chennai,14062,1354464,407
2021-01-09,coimbatore,2405,241203,363
2021-01-09,madurai,1677,159750,154
2021-01-09,trichy,1119,100886,103
2021-01-09,total,19263,1856303,1027
2021-01-04,chennai,13492,1295065,406
2021-01-04,coimbatore,2320,232621,363
2021-01-04,madurai,1629,154591,154
2021-01-04,trichy,1119,100886,103
2021-01-04,total,18560,1783163,1026
2021-01-03,chennai,13378,1280824,406
2021-01-03,coimbatore,2305,230740,363
2021-01-03,madurai,1620,153420,154
2021-01-03,trichy,1119,100886,103
2021-01-03,total,18422,1765870,1026
2020-12-29,chennai,12798,1231469,405
2020-12-29,coimbatore,2219,222652,363
2020-12-29,madurai,1573,148306,154
2020-12-29,trichy,1119,100886,102
2020-12-29,total,17709,1703313,1024
2020-12-28,chennai,12673,1220368,405
2020-12-28,coimbatore,2202,220629,363
2020-12-28,madurai,1563,147303,154
2020-12-28,trichy,1119,100886,102
2020-12-28,total,17557,1689186,1024
2020-12-27,chennai,12587,1207399,405
2020-12-27,coimbatore,2187,218662,363
2020-12-27,madurai,1554,146292,154
2020-12-27,trichy,1119,100886,102
2020-12-27,total,17447,1673239,1024
2020-12-26,chennai,12479,1198055,405
2020-12-26,coimbatore,2170,216901,363
2020-12-26,madurai,1546,145409,154
2020-12-26,trichy,1119,100886,102
2020-12-26,total,17314,1661251,1024
2020-12-24,chennai,12243,1176785,405
2020-12-24,coimbatore,2134,212130,363
2020-12-24,madurai,1527,142537,154
2020-12-24,trichy,1119,100886,102
2020-12-24,total,17023,1632338,1024
2020-12-23,chennai,12123,1166357,405
2020-12-23,coimbatore,2117,209981,363
2020-12-23,madurai,1517,141240,154
2020-12-23,trichy,1119,100886,102
2020-12-23,total,16876,1618464,1024
2020-12-18,chennai,11556,1112822,402
2020-12-18,coimbatore,2044,201321,362
2020-12-18,madurai,1467,135505,154
2020-12-18,trichy,1119,100886,102
2020-12-18,total,16186,1550534,1020
2020-12-17,chennai,11448,1103274,401
2020-12-17,coimbatore,2028,199654,362
2020-12-17,madurai,1458,134596,153
2020-12-17,trichy,1119,100886,101
2020-12-17,total,16053,1538410,1017
2020-12-13,chennai,11017,1059421,399
2020-12-13,coimbatore,1972,192786,360
2020-12-13,madurai,1423,130742,152
2020-12-13,trichy,1119,100886,101
2020-12-13,total,15531,1483835,1012
2020-12-11,chennai,10801,1036399,399
2020-12-11,coimbatore,1942,189188,361
2020-12-11,madurai,1403,128508,152
2020-12-11,trichy,1119,100886,101
2020-12-11,total,15265,1454981,1013
2020-12-10,chennai,10694,1025524,399
2020-12-10,coimbatore,1927,187289,360
2020-12-10,madurai,1394,127367,152
2020-12-10,trichy,1119,100886,101
2020-12-10,total,15134,1441066,1012
2020-12-09,chennai,10581,1017007,399
2020-12-09,coimbatore,1910,185597,357
2020-12-09,madurai,1383,122709,152
2020-12-09,trichy,1119,100886,101
2020-12-09,total,14993,1426199,1009
2020-12-07,chennai,10360,996502,396
2020-12-07,coimbatore,1882,182569,356
2020-12-07,madurai,1364,122709,152
2020-12-07,trichy,1119,100886,101
2020-12-07,total,14725,1402666,1005
2020-12-02,chennai,9847,946042,394
2020-12-02,coimbatore,1810,175051,355
2020-12-02,madurai,1312,119737,152
2020-12-02,trichy,1119,100886,99
2020-12-02,total,14088,1341716,1000
2020-11-29,chennai,9550,914491,394
2020-11-29,coimbatore,1770,170452,354
2020-11-29,madurai,1281,117721,152
2020-11-29,trichy,1119,100886,99
2020-11-29,total,13720,1303550,999
2020-11-27,chennai,9346,895668,394
2020-11-27,coimbatore,1742,167032,354
2020-11-27,madurai,1260,115680,152
2020-11-27,trichy,1119,100886,99
2020-11-27,total,13467,1279266,999
2020-11-26,chennai,9291,889693,394
2020-11-26,coimbatore,1728,165571,354
2020-11-26,madurai,1251,114701,152
2020-11-26,trichy,1119,100886,99
2020-11-26,total,13389,1270851,999
2020-11-24,chennai,9139,874899,394
2020-11-24,coimbatore,1700,162460,353
2020-11-24,madurai,1232,112411,152
2020-11-24,trichy,1119,100886,99
2020-11-24,total,13190,1250656,998
2020-11-23,chennai,9037,864648,394
2020-11-23,coimbatore,1685,160846,352
2020-11-23,madurai,1221,111453,152
2020-11-23,trichy,1119,100886,99
2020-11-23,total,13062,1237833,997
2020-11-17,chennai,8460,813680,391
2020-11-17,coimbatore,1605,153570,347
2020-11-17,madurai,1158,105266,150
2020-11-17,trichy,1119,100886,98
2020-11-17,total,12342,1173402,986
2020-11-16,chennai,8357,803635,391
2020-11-16,coimbatore,1589,152255,347
2020-11-16,madurai,1148,104465,150
2020-11-16,trichy,1119,100886,98
2020-11-16,total,12213,1161241,986
2020-11-10,chennai,7798,758053,387
2020-11-10,coimbatore,1506,143763,347
2020-11-10,madurai,1088,96672,150
2020-11-10,trichy,742,44374,98
2020-11-10,total,11134,1042862,982
2020-11-07,chennai,7518,733024,387
2020-11-07,coimbatore,1465,139717,347
2020-11-07,madurai,1056,93172,150
2020-11-07,trichy,727,43187,98
2020-11-07,total,10766,1009100,982
2020-11-02,chennai,7069,693607,387
2020-11-02,coimbatore,1393,133492,347
2020-11-02,madurai,1008,88721,150
2020-11-02,trichy,702,41689,98
2020-11-02,total,10172,957509,982
2020-11-01,chennai,6977,683700,387
2020-11-01,coimbatore,1380,132233,347
2020-11-01,madurai,999,87572,150
2020-11-01,trichy,697,41336,98
2020-11-01,total,10053,944841,982
2020-10-29,chennai,6716,660450,387
2020-10-29,coimbatore,1335,129710,347
2020-10-29,madurai,968,84400,150
2020-10-29,trichy,682,40411,98
2020-10-29,total,9701,914971,982
2020-10-28,chennai,6629,652712,387
2020-10-28,coimbatore,1318,129010,347
2020-10-28,madurai,958,83302,150
2020-10-28,trichy,677,40104,98
2020-10-28,total,9582,905128,982
2020-10-27,chennai,6553,646226,387
2020-10-27,coimbatore,1306,128205,347
2020-10-27,madurai,948,82217,150
2020-10-27,trichy,672,39847,98
2020-10-27,total,9479,896495,982
2020-10-26,chennai,6465,637387,387
2020-10-26,coimbatore,1292,127950,347
2020-10-26,madurai,938,81328,150
2020-10-26,trichy,667,39534,98
2020-10-26,total,9362,886199,982
2020-10-25,chennai,6379,629423,387
2020-10-25,coimbatore,1279,127200,347
2020-10-25,madurai,928,79061,150
2020-10-25,trichy,662,39231,98
2020-10-25,total,9248,874915,982
2020-10-24,chennai,6301,622823,387
2020-10-24,coimbatore,1269,126820,347
2020-10-24,madurai,917,78593,150
2020-10-24,trichy,657,38835,98
2020-10-24,total,9144,867071,982
2020-10-23,chennai,6215,615066,387
2020-10-23,coimbatore,1253,126208,347
2020-10-23,madurai,907,77536,150
2020-10-23,trichy,651,38414,98
2020-10-23,total,9026,857224,982
2020-10-22,chennai,6133,607748,387
2020-10-22,coimbatore,1240,126008,347
2020-10-22,madurai,896,76430,150
2020-10-22,trichy,643,38090,98
2020-10-22,total,8912,848276,982
2020-10-20,chennai,5975,593184,387
2020-10-20,coimbatore,1218,122140,347
2020-10-20,madurai,878,74769,150
2020-10-20,trichy,632,37582,98
2020-10-20,total,8703,827675,982
2020-10-19,chennai,5891,584152,387
2020-10-19,coimbatore,1214,121143,347
2020-10-19,madurai,870,74030,150
2020-10-19,trichy,626,37233,98
2020-10-19,total,8601,816558,982
2020-10-18,chennai,5813,574949,387
2020-10-18,coimbatore,1210,120132,347
2020-10-18,madurai,861,72901,150
2020-10-18,trichy,618,36769,98
2020-10-18,total,8502,804751,982
2020-10-17,chennai,5726,566764,387
2020-10-17,coimbatore,1205,119121,347
2020-10-17,madurai,851,71576,150
2020-10-17,trichy,613,36394,98
2020-10-17,total,8395,793855,982
2020-10-16,chennai,5645,557466,387
2020-10-16,coimbatore,1201,117125,347
2020-10-16,madurai,841,70675,150
2020-10-16,trichy,607,36005,98
2020-10-16,total,8294,781271,982
2020-10-15,chennai,5575,549716,387
2020-10-15,coimbatore,1141,109225,347
2020-10-15,madurai,830,69635,150
2020-10-15,trichy,603,35721,98
2020-10-15,total,8149,764297,982
2020-10-14,chennai,5506,541225,387
2020-10-14,coimbatore,1129,107893,347
2020-10-14,madurai,822,68940,150
2020-10-14,trichy,598,35400,98
2020-10-14,total,8055,753458,982
2020-10-12,chennai,5379,526925,387
2020-10-12,coimbatore,1102,105251,347
2020-10-12,madurai,803,67339,150
2020-10-12,trichy,590,34925,98
2020-10-12,total,7874,734440,982
2020-10-11,chennai,5316,519372,387
2020-10-11,coimbatore,1090,103820,346
2020-10-11,madurai,795,66382,150
2020-10-11,trichy,584,34535,98
2020-10-11,total,7785,724109,981
2020-10-08,chennai,5127,497438,386
2020-10-08,coimbatore,1051,99825,346
2020-10-08,madurai,767,63577,149
2020-10-08,trichy,522,33618,98
2020-10-08,total,7467,694458,979
2020-10-06,chennai,5003,483036,377
2020-10-06,coimbatore,1029,97462,344
2020-10-06,madurai,751,62014,149
2020-10-06,trichy,564,33010,98
2020-10-06,total,7347,675522,968
2020-10-05,chennai,4938,474817,377
2020-10-05,coimbatore,1015,96090,344
2020-10-05,madurai,741,61218,149
2020-10-05,trichy,558,32606,98
2020-10-05,total,7252,664731,968
2020-10-03,chennai,4819,461573,371
2020-10-03,coimbatore,991,93248,344
2020-10-03,madurai,723,59304,148
2020-10-03,trichy,548,31922,97
2020-10-03,total,7081,646047,960
2020-10-02,chennai,4750,453248,370
2020-10-02,coimbatore,978,91579,339
2020-10-02,madurai,714,57526,148
2020-10-02,trichy,542,31390,97
2020-10-02,total,6984,633743,954
2020-09-29,chennai,4571,432779,365
2020-09-29,coimbatore,941,87901,334
2020-09-29,madurai,689,55586,148
2020-09-29,trichy,528,30345,97
2020-09-29,total,6729,606611,944
2020-09-28,chennai,4507,425225,364
2020-09-28,coimbatore,925,86183,334
2020-09-28,madurai,679,54746,148
2020-09-28,trichy,522,29956,97
2020-09-28,total,6633,596110,943
2020-09-25,chennai,4318,404187,363
2020-09-25,coimbatore,869,80130,333
2020-09-25,madurai,653,52021,148
2020-09-25,trichy,505,28666,97
2020-09-25,total,6345,565004,941
2020-09-24,chennai,4259,398518,359
2020-09-24,coimbatore,857,78765,330
2020-09-24,madurai,645,51335,148
2020-09-24,trichy,501,28409,97
2020-09-24,total,6262,557027,934
2020-09-21,chennai,4073,379312,351
2020-09-21,coimbatore,835,76366,330
2020-09-21,madurai,620,49147,148
2020-09-21,trichy,485,27541,97
2020-09-21,total,6013,532366,926
2020-09-20,chennai,4014,372671,350
2020-09-20,coimbatore,822,74821,329
2020-09-20,madurai,612,48170,148
2020-09-20,trichy,477,27055,97
2020-09-20,total,5925,522717,924
2020-09-18,chennai,3889,360441,344
2020-09-18,coimbatore,795,72193,320
2020-09-18,madurai,594,46533,148
2020-09-18,trichy,462,26362,97
2020-09-18,total,5740,505529,909
2020-09-15,chennai,3713,342011,336
2020-09-15,coimbatore,764,69262,319
2020-09-15,madurai,573,44361,148
2020-09-15,trichy,441,25427,96
2020-09-15,total,5491,481061,899
2020-09-14,chennai,3648,334816,335
2020-09-14,coimbatore,750,67806,315
2020-09-14,madurai,563,43502,148
2020-09-14,trichy,433,25044,96
2020-09-14,total,5394,471168,894
2020-09-11,chennai,3475,316386,327
2020-09-11,coimbatore,714,64488,313
2020-09-11,madurai,539,41044,147
2020-09-11,trichy,410,23808,95
2020-09-11,total,5138,445726,882
2020-09-10,chennai,3415,309375,327
2020-09-10,coimbatore,704,63521,312
2020-09-10,madurai,533,40410,147
2020-09-10,trichy,403,23512,94
2020-09-10,total,5055,436818,880
2020-09-09,chennai,3362,303590,326
2020-09-09,coimbatore,691,61989,312
2020-09-09,madurai,525,39563,147
2020-09-09,trichy,395,23053,94
2020-09-09,total,4973,428195,879
2020-09-04,chennai,3115,271862,319
2020-09-04,coimbatore,642,56863,310
2020-09-04,madurai,488,35645,146
2020-09-04,trichy,359,20990,93
2020-09-04,total,4604,385360,868
2020-08-26,chennai,2742,225243,284
2020-08-26,coimbatore,579,47797,300
2020-08-26,madurai,428,29884,129
2020-08-26,trichy,310,17986,85
2020-08-26,total,4059,320910,798
2020-08-23,chennai,2621,211782,276
2020-08-23,coimbatore,525,45311,298
2020-08-23,madurai,408,28122,124
2020-08-23,trichy,294,17005,81
2020-08-23,total,3848,302220,779
2020-08-19,chennai,2465,194275,267
2020-08-19,coimbatore,495,42154,293
2020-08-19,madurai,381,25685,116
2020-08-19,trichy,273,15593,79
2020-08-19,total,3614,277707,755
2020-08-18,chennai,2428,190146,267
2020-08-18,coimbatore,489,41577,293
2020-08-18,madurai,375,25114,113
2020-08-18,trichy,268,15351,79
2020-08-18,total,3560,272188,752
2020-08-14,chennai,2275,173503,263
2020-08-14,coimbatore,458,38163,283
2020-08-14,madurai,350,23113,112
2020-08-14,trichy,246,14062,77
2020-08-14,total,3329,248841,735
2020-08-13,chennai,2239,169627,262
2020-08-13,coimbatore,452,37581,276
2020-08-13,madurai,344,22657,112
2020-08-13,trichy,241,13658,76
2020-08-13,total,3276,243523,726
2020-08-11,chennai,2170,161735,256
2020-08-11,coimbatore,438,36292,266
2020-08-11,madurai,334,21808,112
2020-08-11,trichy,231,13202,75
2020-08-11,total,3173,233037,709
2020-08-09,chennai,2100,154094,247
2020-08-09,coimbatore,424,34895,258
2020-08-09,madurai,323,20874,110
2020-08-09,trichy,222,12557,75
2020-08-09,total,3069,222420,690
2020-08-08,chennai,2065,150513,241
2020-08-08,coimbatore,417,34102,257
2020-08-08,madurai,318,20457,110
2020-08-08,trichy,217,12218,75
2020-08-08,total,3017,217290,683
2020-08-07,chennai,2035,147060,238
2020-08-07,coimbatore,408,33166,255
2020-08-07,madurai,312,19868,110
2020-08-07,trichy,213,12013,74
2020-08-07,total,2968,212107,677
2020-07-30,chennai,1802,122750,210
2020-07-30,coimbatore,352,28786,201
2020-07-30,madurai,271,16628,100
2020-07-30,trichy,178,10376,64
2020-07-30,total,2603,178540,575
2020-07-29,chennai,1774,120299,207
2020-07-29,coimbatore,344,28320,194
2020-07-29,madurai,265,16308,84
2020-07-29,trichy,174,10245,64
2020-07-29,total,2557,175172,549
2020-07-26,chennai,1688,112859,201
2020-07-26,coimbatore,323,27152,166
2020-07-26,madurai,249,15345,77
2020-07-26,trichy,165,9712,62
2020-07-26,total,2425,165068,506
2020-07-23,chennai,1601,105364,189
2020-07-23,coimbatore,302,25636,148
2020-07-23,madurai,234,14436,74
2020-07-23,trichy,147,8527,57
2020-07-23,total,2284,153963,468
2021-12-14,chennai,46318,4667701,448
2021-12-14,coimbatore,7242,792499,370
2021-12-14,madurai,4751,461573,159
2021-12-14,trichy,2332,137209,108
2021-12-14,total,60643,6058982,1085
2021-12-15,chennai,46447,4684206,448
2021-12-15,coimbatore,7262,795226,370
2021-12-15,madurai,4765,462857,159
2021-12-15,trichy,2337,137545,108
2021-12-15,total,60811,6079834,1085
2021-12-16,chennai,46574,4701590,448
2021-12-16,coimbatore,7281,798029,370
2021-12-16,madurai,4777,464080,159
2021-12-16,trichy,2342,137857,108
2021-12-16,total,60974,6101556,1085
