date,city,patients,deaths
2021-06-19,central delhi,1,1
2021-06-19,chandigarh,3,0
2021-06-19,dehradun,3,0
2021-06-19,fatehabad,3,0
2021-06-19,ganganagar,1,0
2021-06-19,gautam buddha nagar,1,0
2021-06-19,grand total,58,6
2021-06-19,hanumangarh,1,0
2021-06-19,hisar,1,0
2021-06-19,jammu,5,0
2021-06-19,kaithal,3,0
2021-06-19,karnal,3,0
2021-06-19,kathua,2,0
2021-06-19,kurukshetra,2,0
2021-06-19,mandi,1,0
2021-06-19,meerut,1,0
2021-06-19,nanded,1,0
2021-06-19,new delhi,1,1
2021-06-19,panchkula,1,0
2021-06-19,saharanpur,2,0
2021-06-19,shahjahanpur,2,0
2021-06-19,sirmaur,1,0
2021-06-19,sirsa,11,2
2021-06-19,sonipat,1,1
2021-06-19,west delhi,1,0
2021-06-20,ambala,4,1
2021-06-20,bhiwani,1,0
2021-06-20,bikaner,1,0
2021-06-20,central delhi,1,1
2021-06-20,chandigarh,3,0
2021-06-20,dehradun,3,0
2021-06-20,fatehabad,3,0
2021-06-20,ganganagar,1,0
2021-06-20,gautam buddha nagar,1,0
2021-06-20,grand total,58,6
2021-06-20,hanumangarh,1,0
2021-06-20,hisar,1,0
2021-06-20,jammu,5,0
2021-06-20,kaithal,3,0
2021-06-20,karnal,3,0
2021-06-20,kathua,2,0
2021-06-20,kurukshetra,2,0
2021-06-20,mandi,1,0
2021-06-20,meerut,1,0
2021-06-20,nanded,1,0
2021-06-20,new delhi,1,1
2021-06-20,panchkula,1,0
2021-06-20,saharanpur,2,0
2021-06-20,shahjahanpur,2,0
2021-06-20,sirmaur,1,0
2021-06-20,sirsa,11,2
2021-06-20,sonipat,1,1
2021-06-20,west delhi,1,0
2021-06-21,ambala,4,1
2021-06-21,bhiwani,1,0
2021-06-21,bikaner,1,0
2021-06-21,central,1,1
2021-06-21,chandigarh,3,0
2021-06-21,dehradun,3,0
2021-06-21,fatehabad,3,0
2021-06-21,ganganagar,1,0
2021-06-21,gautam buddha nagar,1,0
2021-06-21,grand total,60,6
2021-06-21,hanumangarh,1,0
2021-06-21,hisar,1,0
2021-06-21,jaipur,1,0
2021-06-21,jammu,5,0
2021-06-21,kaithal,3,0
2021-06-21,karnal,3,0
2021-06-21,kathua,2,0
2021-06-21,kurukshetra,2,0
2021-06-21,mandi,1,0
2021-06-21,meerut,1,0
2021-06-21,nanded,1,0
2021-06-21,new delhi,1,1
2021-06-21,panchkula,1,0
2021-06-21,saharanpur,2,0
2021-06-21,shahjahanpur,2,0
2021-06-21,sirmaur,1,0
2021-06-21,sirsa,12,2
2021-06-21,sonipat,1,1
2021-06-21,west,1,0
2021-06-22,ambala,4,1
2021-06-22,bhiwani,1,0
2021-06-22,bikaner,1,0
2021-06-22,central delhi,1,1
2021-06-22,chandigarh,3,0
2021-06-22,dehradun,3,0
2021-06-22,fatehabad,3,0
2021-06-22,ganganagar,1,0
2021-06-22,gautam buddha nagar,1,0
2021-06-22,grand total,60,6
2021-06-22,hanumangarh,1,0
2021-06-22,hisar,1,0
2021-06-22,jaipur,1,0
2021-06-22,jammu,5,0
2021-06-22,kaithal,3,0
2021-06-22,karnal,3,0
2021-06-22,kathua,2,0
2021-06-22,kurukshetra,2,0
2021-06-22,mandi,1,0
2021-06-22,meerut,1,0
2021-06-22,nanded,1,0
2021-06-22,new delhi,1,1
2021-06-22,panchkula,1,0
2021-06-22,saharanpur,2,0
2021-06-22,shahjahanpur,2,0
2021-06-22,sirmaur,1,0
2021-06-22,sirsa,12,2
2021-06-22,sonipat,1,1
2021-06-22,west delhi,1,0
2021-06-23,ambala,4,1
2021-06-23,bhiwani,1,0
2021-06-23,bikaner,1,0
2021-06-23,central delhi,1,1
2021-06-23,chandigarh,3,0
2021-06-23,dehradun,3,0
2021-06-23,fatehabad,3,0
2021-06-23,ganganagar,1,0
2021-06-23,gautam buddha nagar,1,0
2021-06-23,grand total,60,6
2021-06-23,hanumangarh,1,0
2021-06-23,hisar,1,0
2021-06-23,jaipur,1,0
2021-06-23,jammu,5,0
2021-06-23,kaithal,3,0
2021-06-23,karnal,3,0
2021-06-23,kathua,2,0
2021-06-23,kurukshetra,2,0
2021-06-23,mandi,1,0
2021-06-23,meerut,1,0
2021-06-23,nanded,1,0
2021-06-23,new delhi,1,1
2021-06-23,panchkula,1,0
2021-06-23,saharanpur,2,0
2021-06-23,shahjahanpur,2,0
2021-06-23,sirmaur,1,0
2021-06-23,sirsa,12,2
2021-06-23,sonipat,1,1
2021-06-23,west delhi,1,0
2021-06-24,ambala,4,1
2021-06-24,bhiwani,1,0
2021-06-24,bikaner,1,0
2021-06-24,central delhi,1,1
2021-06-24,chandigarh,3,0
2021-06-24,dehradun,3,0
2021-06-24,fatehabad,3,0
2021-06-24,ganganagar,1,0
2021-06-24,gautam buddha nagar,1,0
2021-06-24,grand total,60,6
2021-06-24,hanumangarh,1,0
2021-06-24,hisar,1,0
2021-06-24,jaipur,1,0
2021-06-24,jammu,5,0
2021-06-24,kaithal,3,0
2021-06-24,karnal,3,0
2021-06-24,kathua,2,0
2021-06-24,kurukshetra,2,0
2021-06-24,mandi,1,0
2021-06-24,meerut,1,0
2021-06-24,nanded,1,0
2021-06-24,new delhi,1,1
2021-06-24,panchkula,1,0
2021-06-24,saharanpur,2,0
2021-06-24,shahjahanpur,2,0
2021-06-24,sirmaur,1,0
2021-06-24,sirsa,12,2
2021-06-24,sonipat,1,1
2021-06-24,west delhi,1,0
2021-06-25,ambala,4,1
2021-06-25,bhiwani,1,0
2021-06-25,bikaner,1,0
2021-06-25,central,1,1
2021-06-25,chandigarh,2,0
2021-06-25,dehradun,3,0
2021-06-25,fatehabad,3,0
2021-06-25,ganganagar,1,0
2021-06-25,gautam buddha nagar,1,0
2021-06-25,grand total,59,6
2021-06-25,hanumangarh,1,0
2021-06-25,hisar,1,0
2021-06-25,jaipur,1,0
2021-06-25,jammu,5,0
2021-06-25,kaithal,3,0
2021-06-25,karnal,3,0
2021-06-25,kathua,2,0
2021-06-25,kurukshetra,2,0
2021-06-25,mandi,1,0
2021-06-25,meerut,1,0
2021-06-25,nanded,1,0
2021-06-25,new delhi,1,1
2021-06-25,panchkula,1,0
2021-06-25,saharanpur,2,0
2021-06-25,shahjahanpur,2,0
2021-06-25,sirmaur,1,0
2021-06-25,sirsa,12,2
2021-06-25,sonipat,1,1
2021-06-25,west,1,0
2021-06-26,ambala,4,1
2021-06-26,bhiwani,1,0
2021-06-26,bikaner,1,0
2021-06-26,central,1,1
2021-06-26,chandigarh,2,0
2021-06-26,dehradun,3,0
2021-06-26,fatehabad,3,0
2021-06-26,ganganagar,1,0
2021-06-26,gautam buddha nagar,1,0
2021-06-26,grand total,60,6
2021-06-26,hanumangarh,1,0
2021-06-26,hisar,1,0
2021-06-26,jaipur,1,0
2021-06-26,jammu,6,0
2021-06-26,kaithal,3,0
2021-06-26,karnal,3,0
2021-06-26,kathua,2,0
2021-06-26,kurukshetra,2,0
2021-06-26,mandi,1,0
2021-06-26,meerut,1,0
2021-06-26,nanded,1,0
2021-06-26,new delhi,1,1
2021-06-26,panchkula,1,0
2021-06-26,saharanpur,2,0
2021-06-26,shahjahanpur,2,0
2021-06-26,sirmaur,1,0
2021-06-26,sirsa,12,2
2021-06-26,sonipat,1,1
2021-06-26,west,1,0
2021-06-27,ambala,4,1
2021-06-27,bhiwani,1,0
2021-06-27,bikaner,1,0
2021-06-27,central,1,1
2021-06-27,chandigarh,2,0
2021-06-27,dehradun,3,0
2021-06-27,fatehabad,3,0
2021-06-27,ganganagar,1,0
2021-06-27,gautam buddha nagar,1,0
2021-06-27,grand total,61,6
2021-06-27,hanumangarh,1,0
2021-06-27,hisar,1,0
2021-06-27,jaipur,1,0
2021-06-27,jammu,6,0
2021-06-27,kaithal,3,0
2021-06-27,karnal,3,0
2021-06-27,kathua,2,0
2021-06-27,kurukshetra,2,0
2021-06-27,mandi,1,0
2021-06-27,meerut,1,0
2021-06-27,nanded,1,0
2021-06-27,new delhi,1,1
2021-06-27,panchkula,1,0
2021-06-27,saharanpur,2,0
2021-06-27,shahjahanpur,2,0
2021-06-27,sirmaur,1,0
2021-06-27,sirsa,13,2
2021-06-27,sonipat,1,1
2021-06-27,west,1,0
2021-06-28,ambala,4,1
2021-06-28,bhiwani,1,0
2021-06-28,bikaner,1,0
2021-06-28,central,1,1
2021-06-28,chandigarh,2,0
2021-06-28,dehradun,3,0
2021-06-28,fatehabad,4,0
2021-06-28,ganganagar,1,0
2021-06-28,gautam buddha nagar,1,0
2021-06-28,grand total,62,6
2021-06-28,hanumangarh,1,0
2021-06-28,hisar,1,0
2021-06-28,jaipur,1,0
2021-06-28,jammu,6,0
2021-06-28,kaithal,3,0
2021-06-28,karnal,3,0
2021-06-28,kathua,2,0
2021-06-28,kurukshetra,2,0
2021-06-28,mandi,1,0
2021-06-28,meerut,1,0
2021-06-28,nanded,1,0
2021-06-28,new delhi,1,1
2021-06-28,panchkula,1,0
2021-06-28,saharanpur,2,0
2021-06-28,shahjahanpur,2,0
2021-06-28,sirmaur,1,0
2021-06-28,sirsa,13,2
2021-06-28,sonipat,1,1
2021-06-28,west,1,0
2021-06-29,ambala,4,1
2021-06-29,bhiwani,1,0
2021-06-29,bikaner,1,0
2021-06-29,central,1,1
2021-06-29,chandigarh,2,0
2021-06-29,dehradun,3,0
2021-06-29,fatehabad,4,0
2021-06-29,ganganagar,1,0
2021-06-29,gautam buddha nagar,1,0
2021-06-29,grand total,63,6
2021-06-29,hanumangarh,1,0
2021-06-29,hisar,1,0
2021-06-29,jaipur,1,0
2021-06-29,jammu,7,0
2021-06-29,kaithal,3,0
2021-06-29,karnal,3,0
2021-06-29,kathua,2,0
2021-06-29,kurukshetra,2,0
2021-06-29,mandi,1,0
2021-06-29,meerut,1,0
2021-06-29,nanded,1,0
2021-06-29,new delhi,1,1
2021-06-29,panchkula,1,0
2021-06-29,saharanpur,2,0
2021-06-29,shahjahanpur,2,0
2021-06-29,sirmaur,1,0
2021-06-29,sirsa,13,2
2021-06-29,sonipat,1,1
2021-06-29,west,1,0
2021-06-30,ambala,4,1
2021-06-30,bhiwani,1,0
2021-06-30,bikaner,1,0
2021-06-30,central,1,1
2021-06-30,chandigarh,2,0
2021-06-30,dehradun,3,0
2021-06-30,fatehabad,4,0
2021-06-30,ganganagar,1,0
2021-06-30,gautam buddha nagar,1,0
2021-06-30,grand total,64,6
2021-06-30,hanumangarh,1,0
2021-06-30,hisar,1,0
2021-06-30,jaipur,1,0
2021-06-30,jammu,7,0
2021-06-30,kaithal,3,0
2021-06-30,karnal,3,0
2021-06-30,kathua,3,0
2021-06-30,kurukshetra,2,0
2021-06-30,mandi,1,0
2021-06-30,meerut,1,0
2021-06-30,nanded,1,0
2021-06-30,new delhi,1,1
2021-06-30,panchkula,1,0
2021-06-30,saharanpur,2,0
2021-06-30,shahjahanpur,2,0
2021-06-30,sirmaur,1,0
2021-06-30,sirsa,13,2
2021-06-30,sonipat,1,1
2021-06-30,west,1,0
2021-07-01,ambala,4,1
2021-07-01,bhiwani,1,0
2021-07-01,bikaner,1,0
2021-07-01,central,1,1
2021-07-01,chandigarh,3,0
2021-07-01,dehradun,3,0
2021-07-01,fatehabad,4,0
2021-07-01,ganganagar,1,0
2021-07-01,gautam buddha nagar,1,0
2021-07-01,grand total,65,6
2021-07-01,hanumangarh,1,0
2021-07-01,hisar,1,0
2021-07-01,jaipur,1,0
2021-07-01,jammu,7,0
2021-07-01,kaithal,3,0
2021-07-01,karnal,3,0
2021-07-01,kathua,3,0
2021-07-01,kurukshetra,2,0
2021-07-01,mandi,1,0
2021-07-01,meerut,1,0
2021-07-01,nanded,1,0
2021-07-01,new delhi,1,1
2021-07-01,panchkula,1,0
2021-07-01,saharanpur,2,0
2021-07-01,shahjahanpur,2,0
2021-07-01,sirmaur,1,0
2021-07-01,sirsa,13,2
2021-07-01,sonipat,1,1
2021-07-01,west,1,0
2021-07-02,ambala,4,1
2021-07-02,bhiwani,1,0
2021-07-02,bikaner,1,0
2021-07-02,central,1,1
2021-07-02,chandigarh,3,0
2021-07-02,dehradun,3,0
2021-07-02,fatehabad,4,0
2021-07-02,ganganagar,1,0
2021-07-02,gautam buddha nagar,1,0
2021-07-02,grand total,65,6
2021-07-02,hanumangarh,1,0
2021-07-02,hisar,1,0
2021-07-02,jaipur,1,0
2021-07-02,jammu,7,0
2021-07-02,kaithal,3,0
2021-07-02,karnal,3,0
2021-07-02,kathua,3,0
2021-07-02,kurukshetra,2,0
2021-07-02,mandi,1,0
