date,icu_patients_today,icu_patients_today_districts,ventilator_patients_today,ventilator_patients_today_districts,discharged_patients_today,discharged_patients_today_districts,deaths_today,deaths_today_districts
2020-09-03,0,,16,"Ludhiana-7, FG Sahib-1, Jalandhar-6, Kapurthala-2)",1529,"Ludhiana-141, Jalandhar-244, Patiala-90, Amritsar-52, SAS Nagar-84, Sangrur-66,  Gurdaspur-68, Ferozepur-32, Moga-142, Hoshiarpur-69, Pathankot-43, Barnala-48, FG Sahib-42, Kapurthala-93, Faridkot-84, Tarn Taran-13, Ropar-77, Fazilka-42, SBS Nagar-17, Muktsar-33, Mansa-49)",73,"Amritsar-4, Bathinda-1, Faridkot-2, FG Sahib-2, Fazilka-1, Ferozepur-5,  Gurdaspur-2, Hoshiarpur-2, Jalandhar-7, Kapurthala-10, Ludhiana-18, SAS Nagar-1, Moga-5, Muktsar-1, SBS Nagar-1, Patiala-5, Ropar-3, Sangrur-2, Tarn Taran-1)"
2020-09-04,0,,16,"Ludhiana-5, FG Sahib-1, Jalandhar-5, Kapurthala-1, Fazilka 1, Hoshiarpur 2, SBS Nagar 1)",1272,"Ludhiana-245, Jalandhar-97, Patiala-195, Amritsar-66, SAS Nagar-44, Sangrur-34,  Bathinda 100, Gurdaspur-218, Ferozepur-11, Hoshiarpur-67, Pathankot-28, Barnala-45, FG Sahib-21, Kapurthala-14, Tarn Taran-5, Fazilka-11, SBS Nagar-21, Muktsar-47, Mansa-3)",49,"Amritsar-5, Bathinda-1, Faridkot-1, FG Sahib-3, Fazilka-1, Ferozepur-1,  Gurdaspur-2, Hoshiarpur-3, Jalandhar-4, , Ludhiana-14, SAS Nagar-6, Moga-1, Patiala-3, Ropar-2, Sangrur-1, Tarn Taran-1)"
2020-09-05,0,,8,Ludhiana-08),1306,"Ludhiana-246, Patiala-311, Amritsar-212, SAS Nagar-91, Sangrur-65,  Bathinda- 36, Ferozepur-21, Hoshiarpur-26, Pathankot-36, Barnala-35, FG Sahib-21, Faridkot-156, Fazilka-02, SBS Nagar-08, Muktsar-29, Mansa-11)",69,"Amritsar-8, Barnala-2, Bathinda-3, Faridkot-2, Ferozepur-10, Gurdaspur-3, Hoshiarpur-2, Jalandhar-8, Kapurthala-1, Ludhiana-12, Moga-2, SAS Nagar-3, SBS Nagar-1, Pathankot-3, Patiala-4, Ropar-3, Sangrur-2)"
2020-09-07,3,"Amritsar-2, Pathankot-1)",4,Patiala-4),1565,"Ludhiana-282, Jalandhar-105, Patiala-161, Amritsar-103, SAS Nagar-326, Sangrur-6, Bathinda- 57, Gurdaspur-82, Moga-121, Hoshiarpur-29, Pathankot-47, Barnala-13, FG Sahib-48,Kapurthala-64, Faridkot-33, TarnTaran-5, Ropar-51, Fazilka-23, Muktsar-9)",61,"Amritsar-2, Barnala-1, Bathinda-1, Faridkot-1, FG Sahib-2, Gurdaspur-1, Hoshiarpur-4, Jalandhar-3, Kapurthala-1, Ludhiana-10, Moga-5, SAS Nagar-15, Muktsar Sahib-1, SBS Nagar-3, Patiala-7, Ropar-3, Tarn Taran 1)"
2020-09-09,16,Jalandhar-16),4,"Ludhiana-1,Barnala-1, FG Sahib-1, Sangrur-1 )",1231,"Ludhiana-314, Jalandhar-160,Patiala-128, Amritsar-131, Sangrur-22, Bathinda-113, Gurdaspur-53,Moga-64, Hoshiarpur-24, Pathankot-11, Barnala-20, FG Sahib-20,Kapurthala-27,Faridkot-35, TarnTaran-2, Ropar-23,Fazilka-32, SBS Nagar-15, Muktsar-37)",71,"Amritsar-3, Bathinda-5, FG Sahib- 4, Fazilka- 1, Ferozepur- 1, Gurdaspur-2, Hoshiarpur-4, Jalandhar-11, Kapurthala-6, Ludhiana-13, Mansa-1, Moga-1,SBS Nagar-4,Pathankot- 1, Patiala-8,Ropar-1, Sangrur-5)"
2020-09-10,5,"Amritsar-4, Pathankot-1)",12,"Ludhiana-6, Amritsar-6)",1348,"Ludhiana-235, Jalandhar-353, Amritsar-154, SAS Nagar-25, Bathinda-62, Gurdaspur-72, Sangrur-22, Hoshiarpur-62, Pathankot-43, Kapurthala-92, Muktsar-53, Barnala-12, FG Sahib-17, Fazilka-61, Tarn Taran-4, Mansa-81)",88,"Amritsar-16, Faridkot-1, FG Sahib-3, Ferozepur-7, Gurdaspur-3, Hoshiarpur-2, Jalandhar-9, Kapurthala-4, Ludhiana-11, Mansa-1, Moga-4, SAS Nagar-14, Muktsar-1, Patiala-4, Ropar-5, Sangrur-2, Tarn Taran-1)"
2020-09-11,17,Jalandhar-17),10,"Barnala-1, Ludhiana-8, Moga-1)",1402,"Ludhiana-190, Patiala-289, Amritsar-151, SAS Nagar-182, Bathinda-31,Sangrur-39, Hoshiarpur-95, Pathankot-47, Faridkot-78, Moga-38, Muktsar-39, Barnala-55, FG Sahib-21, Fazilka-70, Ropar-34, Mansa-10, SBS Nagar-31, Kapurthala-2)",63,"Amritsar-3, Bathinda-7, Faridkot-1, Ferozepur-1, Gurdaspur-3, Hoshiarpur-5, Jalandhar-8, Ludhiana-12, SAS Nagar-1, Muktsar-3, Moga-1, Pathankot-3, Patiala-7, Sangrur-4, Tarn Taran-4)"
2020-09-12,0,,12,"Hoshiarpur-1, Ludhiana-7, Amritsar-1, F.G Sahib-1, Bathinda-1, Sangrur-1)",2077,"Ludhiana-199, Jalandhar-830, Patiala-116, Amritsar-238, SAS Nagar-45, Bathinda-104, Gurdaspur-165, Sangrur-20, Hoshiarpur-78, Pathankot-9, Faridkot-37, Muktsar-19, Barnala-41, FG Sahib-13, Fazilka-60, Ropar-8, Tarn Taran-61, Mansa-17, SBS Nagar-17)",76,"Amritsar-11, Barnala-4, Bathinda-2, F Sahib-3, Gurdaspur-7, Hoshiarpur-5, Jalandhar-10, Kapurthala-4, Ludhiana-14, SAS Nagar-1, Muktsar-1, Moga-1, Pathankot-1, Patiala-4, Ropar-5, Sangrur-2, Tarn Taran-1)"
2020-09-13,20,Jalandhar-20),36,"Ludhiana-12, Moga-1, Bathinda-1, Kapurthala-7, Jalandhar-9, Hoshiarpur-4, Patiala-1, Ferozepur-1)",2151,"Ludhiana-510, Jalandhar-648, Patiala-161, Amritsar-176, Gurdaspur-135, Sangrur-26, Hoshiarpur-69, Pathankot-94, Kapurthala-28, Faridkot-59, Moga-1, Muktsar-38, Barnala-29, FG Sahib-19, Fazilka-75, Ropar-32, Tarn Taran-5, Mansa-45, SBS Nagar-1)",68,"Amritsar-11, Barnala-1, Bathinda-6, Faridkot-1, Fazilka-3, Gurdaspur-1, Hoshiarpur-3, Jalandhar-6, Kapurthala-4, Ludhiana-5, Mansa-2, Moga-2, SAS Nagar-3, SBS Nagar-1, Pathankot-3, Patiala-10, Ropar-2, Sangrur-3, Tarn Taran-1)"
2020-09-14,5,Jalandhar-5),11,"Ludhiana-6, Moga-1, Mansa-1, Amritsar-3)",1463,"Ludhiana-396, Jalandhar-125, Patiala-129, Amritsar-142, Gurdaspur-11, Bathinda-119,  Sangrur-43, Pathankot-76, Kapurthala-87, Faridkot-41, Moga-73, Muktsar-35, Barnala-20, Fazilka-13, FG Sahib-14, Ropar-17, Tarn Taran-38, Mansa-69, SBS Nagar-15)",70,"Amritsar-6, Bathinda-1, Faridkot-1, FG Sahib-3, Ferozepur-14, Gurdaspur-5, Hoshiarpur-6, Jalandhar-5, Kapurthala-5, Ludhiana-11 Moga-1, SAS Nagar-2, Muktsar-1, SBS Nagar-1, Patiala-6,  Sangrur-2)"
2020-09-15,0,,9,"Ludhiana-8, Moga-1)",1815,"Ludhiana-252, Patiala-194, Amritsar-132, SAS Nagar-358, Gurdaspur-140, Bathinda-99,  Hoshiarpur-97, Sangrur-34, Pathankot-73, Kapurthala-83, Faridkot-13, Muktsar-34, Barnala-34, Fazilka-46, FG Sahib-20, Ropar-56, Tarn Taran-55, Mansa-71, SBS Nagar-24)",90,"Ludhiana-19, Jalandhar-12, Amritsar-10, Gurdaspur-8, Kapurthala-8, Hoshiarpur-6, Ferozepur-5, FG Sahib-4, Patiala-4, Muktsar-3, SBS Nagar-2, Pathankot-2, Ropar-2, Barnala-1, Bathinda-1, Faridkot-1, Sangrur-1, Tarn Taran-1)"
2020-09-16,17,"Amritsar-14, Jalandhar-2, Hoshiarpur-1)",26,"Jalandhar-16, Kapurthala-1, SBS Nagar-1, Hoshiarpur-1, FG Sahib-1, Ludhiana-3, Pathankot-1, Moga-1, Gurdaspur-1)",2756,"Ludhiana-661, Jalandhar-527, Patiala-206, Amritsar-183, SAS Nagar-42, Gurdaspur-187, Bathinda-13, Sangrur-27, Ferozepur-610, Pathankot-35, Faridkot-45, Muktsar-74, Barnala-27, Fazilka-28, FG Sahib-10, Ropar-12, Tarn Taran-7, Mansa-48, SBS Nagar-14)",78,"Ludhiana-15, Patiala-11, Jalandhar-10, Amritsar-9, Bathinda-6, Hoshiarpur-5, Sangrur-5, Moga-3, Fazilka-2, Kapurthala-2, Muktsar-2, Ropar-2, Barnala-1, FG Sahib-1, Ferozepur-1, Gurdaspur-1, Mansa-1, Pathankot-1 )"
2020-09-17,0,,41,"Amritsar-2, Sangrur-1, Ludhiana-17, Hoshiarpur-2, Pathankot-1, Jalandhar-13, Kapurthala-1, SAS Nagar-1, SBS Nagar-2, Moga-1)",2248,"Ludhiana-68, Jalandhar-208, Patiala-155, Amritsar-320, SAS Nagar-456, Gurdaspur-4, Bathinda-58, Hoshiarpur-306, Sangrur-42, Ferozepur-50, Pathankot-138, Kapurthala-58, Faridkot-114, Moga-76, Muktsar-45, Barnala-27, Fazilka-28, FG Sahib-27, Ropar-27, Tarn Taran-5, Mansa-10, SBS Nagar-26)",57,"Ludhiana-12, Jalandhar-9, Patiala-7, FG sahib-6, Pathankot-4, Amritsar-3, Ferozepur-3, Sangrur-3, Bathinda-2, Fazilka-2, Gurdaspur-2, Hoshiarpur-2, Moga-2)"
2020-09-18,7,Jalandhar-7),16,"Patiala-2, Faridkot-1, Sangrur-1, Ludhiana-6, Kapurthala-3, Hoshiarpur-1, Pathankot-1, Jalandhar-1)",2645,"Ludhiana-502, Jalandhar-174, Patiala-206, Amritsar-208, SAS Nagar-228, Gurdaspur-382, Bathinda-113, Hoshiarpur-100, Sangrur-31,  Pathankot-49, Kapurthala-223, Faridkot-142, Moga-69, Muktsar-51, Fazilka-44, FG Sahib-41, Barnala-13, Tarn Taran-64, SBS Nagar-5)",62,"Ludhiana-12, Jalandhar-10, Hoshiarpur-7, SAS Nagar-6, Patiala-5, Amritsar-2, Barnala-2, Gurdaspur-2, Kapurthala-2, Muktsar-2, SBS Nagar-2, Sangrur-2, Tarn Taran-2, Bathinda-1, Faridkot-1, FG Sahib-1, Moga-1, Pathankot-1, Ropar-1)"
2020-09-19,12,Jalandhar-12),11,"Ludhiana-2, Jalandhar-8, Pathankot-1 )",1910,"Ludhiana-337, Jalandhar-322, Patiala-183, Amritsar-152, SAS Nagar-255, Gurdaspur-185, Bathinda-56, Sangrur-47,  Pathankot-60, Faridkot-72, Moga-56, Muktsar-55, Fazilka-32, FG Sahib-12, Barnala-54, Ropar-19, Mansa-13)",49,"Ludhiana-12, Amritsar-9, Jalandhar-7, Kapurthala-5, Pathankot-4, Hoshiarpur-4, Patiala-3, Bathinda-2, SAS Nagar-1, Gurdaspur-1, Faridkot-1)"
2020-09-20,0,,21,"Patiala-1, Amritsar-1, Faridkot-2, Kapurthala-2, Ferozepur-1, Jalandhar-7, Sangrur-1, Ludhiana-4, Gurdaspur-2 )",2225,"Ludhiana-423, Jalandhar-312, Patiala-203, Amritsar-162, SAS Nagar-122, Gurdaspur-163, Bathinda-177, Hoshiarpur-251, Sangrur-34,  Pathankot-52, Kapurthala-5, Faridkot-60, Moga-1, Muktsar-43, Fazilka-49, FG Sahib-38, Barnala-16, Ropar-51, Mansa-42, SBS Nagar-21)",56,"Jalandhar-8, Amritsar-6, FG Sahib-6, Ludhiana-5, Hoshiarpur-4, Patiala-4, Ropar-4, Mansa-3, Tarn Taran-3, Faridkot-2, Ferozepur-2, Kapurthala-2, Pathankot-2, Barnala-1, Bathinda-1, Gurdaspur-1, SBS Nagar-1, Sangrur-1)"
2020-09-21,18,"Amritsar-10, Jalandhar-8)",12,"Amritsar-2, SBS Nagar-1, Sangrur-1, Ludhiana-2, Moga-3, FG Sahib-1, Ropar-1, Hoshiarpur-1 )",2811,"Ludhiana-370, Jalandhar-141, Patiala-182, Amritsar-242, SAS Nagar-579, Gurdaspur-154, Bathinda-92, Hoshiarpur-243, Sangrur-62  Pathankot-73, Ferozepur-36, Kapurthala-131, Faridkot-57, Muktsar-75, Fazilka-56, FG Sahib-35, Barnala-12, Tarn taran-111, Mansa-41, SBS Nagar-119)",47,"Amritsar-9, Jalandhar-7, Ludhiana-5, Pathankot-5, Kapurthala-4, Patiala-4, Bathinda-2, Hoshiarpur-2, Moga-2, Sangrur-2, Faridkot-1, FG Sahib-1, Ferozepur-1, Muktsar-1, Ropar-1)"
2020-09-22,0,,15,"Patiala-2, Amritsar-1, Fazilka-1, SBS Nagar-1, Ludhiana-3, Mansa-1, Kapurthala-2, Gurdaspur-1, Jalandhar-3 )",1718,"Ludhiana-29, Jalandhar-252, Patiala-311, SAS Nagar-156, Amritsar-151, Gurdaspur-158, Bathinda-129, Ferozepur-100, Sangrur-52, Pathankot-82, Faridkot-78, Muktsar-42, Moga-60, Fazilka-52, Barnala-24, Tarn Taran-21, Mansa-16, SBS Nagar-5)",66,"Jalandhar-11, Amritsar-9, Ludhiana-9, Patiala-9, Gurdaspur-6, Bathinda-3, Ferozepur-3, Ropar-3, Moga-2, SAS Nagar-2, Faridkot-1, FG Sahib-1, Fazilka-1, Kapurthala-1, Mansa-1, Muktsar-1, Pathankot-1, Sangrur-1, Tarn Taran-1)"
2020-09-23,2,Jalandhar-2),27,"Patiala-2, Amritsar-2, Ludhiana-9, SBS Nagar-1, Barnala-1, Jalandhar-3, Gurdaspur-2, Moga-2, Bathinda-1, Ropar-1, Kapurthala-3)",2117,"Ludhiana-203, Jalandhar-274, Patiala-291,  Amritsar-323, Gurdaspur-68, Bathinda-89, Hoshiarpur-218, SAS Nagar-158, Ferozepur-90, Sangrur-89, Pathankot-20, Kapurthala-108, Faridkot-34, Muktsar-27, Moga-16, Fazilka-20, Barnala-17, Tarn Taran-40, Mansa-11, SBS Nagar-21)",64,"Ludhiana-11, Jalandhar-9, Gurdaspur-6, Ferozepur-4, Mansa-4, Amritsar-3, Hoshiarpur-3, Kapurthala-3, Pathankot-3, Patiala-3, Ropar-3, Tarn Taran-3, Fazilka-2, Moga-2, Muktsar-2, Bathinda-1, FG Sahib-1, SBS Nagar-1)"
2020-09-24,4,Jalandhar-4),29,"Faridkot-2, Sangrur-3, Ludhiana-10, Fazilka-2, SBS Nagar-1, Moga-1, Jalandhar-7, Gurdaspur-3)",2231,"Ludhiana-156, Jalandhar-197, Patiala-206, SAS Nagar-349, Amritsar-191, Gurdaspur-93, Bathinda-89, Ferozepur-318, Sangrur-71, Pathankot-43, Kapurthala-77, Faridkot-65, Muktsar-63, Moga-25, Fazilka-39, FG Sahib-102, Barnala-19, Tarn Taran-8, Mansa-74, SBS Nagar-46)",76,"SAS Nagar-9, Bathinda-8, Jalandhar-8, Kapurthala-8, Ludhiana-7, Amritsar-6, Hoshiarpur-6, Gurdaspur-5, Ropar-5, Patiala-4, Sangrur-4, Faridkot-2, Tarn Taran-2, Mansa-1, SBS Nagar-1)"
2020-09-25,1,Jalandhar-1),16,"Bathinda-1, FG Sahib-1, Moga-2, Ludhiana-3, Jalandhar-5, SBS Nagar-1, Hoshiarpur-1, Kapurthala-2)",2550,"Ludhiana-294, Jalandhar-297, Patiala-226, SAS Nagar-144, Amritsar-312, Gurdaspur-226, Bathinda-30, Hoshiarpur-197, Ferozepur-8, Sangrur-57, Pathankot-152, Kapurthala-48, Faridkot-73, Muktsar-73, Moga-28, Fazilka-41, Ropar-177, FG Sahib-44, Barnala-5, Tarn Taran-55, Mansa-19, SBS Nagar-44)",68,"Amritsar-11, Hoshiarpur-8, Ludhiana-7, Bathinda-6, Jalandhar-6, Patila-5, Fazilka-3, SAS Nagar-3, SBS Nagar-3, Sangrur-3, Ferozepur-2, Moga-2, Muktsar-2, Ropar-2, Tarn Taran-2, FG Sahib-1, Gurdaspur-1, Pathankot-1)"
2020-09-26,8,"Jalandhar-7, Kapurthala-1)",12,"Patiala-4, Amritsar-3, Jalandhar-4, Kapurthala-1)",1988,"Ludhiana-322, Patiala-172, SAS Nagar-393, Amritsar-229, Gurdaspur-92, Bathinda-100, Hoshiarpur-73, Ferozepur-2, Sangrur-42, Pathankot-40, Kapurthala-93, Faridkot-34, Muktsar-40, Moga-48, Fazilka-70, Ropar-42, FG Sahib-26, Barnala-48, Tarn Taran-7, Mansa-75, SBS Nagar-40)",54,"SAS Nagar-10, Jalandhar-8, Amritsar-6, Ludhiana-6, Patiala-5, Sangrur-4, Pathankot-3, Barnala-2, Gurdaspur-2, Faridkot-1, Fazilka-1, Ferozepur-1, Kapurthala-1, Mansa-1, Moga-1, Muktsar-1, Ropar-1)"
2020-09-27,6,Amritsar-6),18,"Faridkot-4, Amritsar-2, Jalandhar-2, Ludhiana-6, Kapurthala-1, Pathankot-1, Barnala-1, Moga-1)",2299,"Ludhiana-217, Jalandhar-494, Patiala-195, SAS Nagar-264, Amritsar-21, Gurdaspur-140, Bathinda-180, Hoshiarpur-154, Ferozepur-4, Sangrur-39, Pathankot-130, Kapurthala-79, Faridkot-64, Muktsar-26, Moga-35, Fazilka-63, Ropar-49, FG Sahib-37, Barnala-19, Tarn Taran-16, Mansa-17, SBS Nagar-56)",50,"Ludhiana-9, Jalandhar-8, Patiala-6, Amritsar-5, Pathankot-5, Hoshiarpur-3, Ropar-3, FG Sahib-2, Gurdaspur-2, SBS Nagar-2, Tarn Taran-2, Mansa-1, Moga-1, Sangrur-1)"
2020-09-28,2,Jalandhar-2),13,"Patiala-3, Jalandhar-1, Ludhiana-8, Hoshiarpur-1)",2033,"Ludhiana-213, Jalandhar-160, Patiala-154, SAS Nagar-273, Amritsar-229, Bathinda-75, Hoshiarpur-120, Ferozepur-211, Sangrur-42, Pathankot-120, Kapurthala-52, Faridkot-60, Muktsar-39, Moga-26, Fazilka-44, Ropar-50, FG Sahib-29, Barnala-13, Tarn Taran-1, Mansa-67, SBS Nagar-55)",46,"Jalandhar-8, SAS Nagar-7, Hoshiarpur-6, Ludhiana-6, Gurdaspur-5, Amritsar-4, Kapurthala-2, Pathankot-2, Tarn Taran-2, Bathinda-1, FG Sahib-1, Mansa-1, Sangrur-1)"
2020-09-29,12,"Jalandhar-8, Amritsar-3, Kapurthala-1)",13,"Amritsar-3, Faridkot-1, Ludhiana-2, Muktsar-1, Mansa-1, Jalandhar-2, Hoshiarpur-2, SBS Nagar-1)",1932,"Ludhiana-115, Jalandhar-266, Patiala-167, Amritsar-338, Bathinda-103, Gurdaspur-264, Hoshiarpur-80, Ferozepur-4, Sangrur-85, Pathankot-73, Kapurthala-26, Faridkot-68, Muktsar-63, Moga-36, Fazilka-54, Ropar-40, FG Sahib-30, Barnala-20, Tarn Taran-36, Mansa-35, SBS Nagar-29)",75,"Ludhiana-12, Amritsar-7, Gurdaspur-7, SAS Nagar-5, SBS Nagar-5, Pathankot-5, Ferozepur-4, Hoshiarpur-4, Jalandhar-4, Barnala-3, Kapurthala-3, Muktsar-3, Bathinda-2, Faridkot-2, Patiala-2, Ropar-2, Tarn Taran-2, FG Sahib-1, Moga-1, Sangrur-1)"
2020-09-30,5,"Jalandhar-3, Kapurthala-2)",8,"Ludhiana-2, Moga-1, Kapurthala-3, Jalandhar-1, Gurdaspur-1)",1389,"Ludhiana-263, Jalandhar-205, Patiala-136, Amritsar-141, Bathinda-141, Gurdaspur-55, Ferozepur-62, Pathankot-55, Sangrur-28, Kapurthala-35, Faridkot-23, Muktsar-41, Fazilka-49, Moga-36, Ropar-28, FG Sahib-25, Barnala-7, Tarn Taran-32, SBS Nagar-27)",47,"Hoshiarpur-7, Ludhiana-6, Jalandhar-5, SAS Nagar-5, Bathinda-4, Gurdaspur-4, Ropar-3, Amritsar-2, Ferozepur-2, Sangrur-2, Barnala-1, FG Sahib-1, Fazilka-1, Moga-1, Muktsar-1, SBS Nagar-1, Patiala-1)"
2020-10-01,0,,9,"Patiala-1, Amritsar-3, Jalandhar-1, Ludhiana-3, Sangrur-1)",2271,"Ludhiana-189, Jalandhar-115, Patiala-151, SAS Nagar-623, Amritsar-201, Bathinda-156, Gurdaspur-48, Hoshiarpur-114, Ferozepur-21, Pathankot-129, Sangrur-34, Kapurthala-102, Faridkot-60, Muktsar-39, Fazilka-26, Moga-26, Ropar-57, FG Sahib-20, Barnala-27, Tarn Taran-25, SBS Nagar-44, Mansa-64)",45,"Pathankot-6, Kapurthala-4, Muktsar-4, Jalandhar-4, Patiala-4, Bathinda-3, Gurdaspur-3, Hoshiarpur-3, Ludhiana-3, Ropar-3, Tarn Taran-3, Amritsar-2, Moga-2, FG Sahib-1)"
2020-10-03,0,,14,"Amritsar-1, Bathinda-1, Ludhiana-2, Moga-1, Jalandhar-6, Hoshiarpur-2, Kapurthala-1)",1691,"Ludhiana-143, Jalandhar-151, Patiala-145, SAS Nagar-90, Amritsar-172, Bathinda-131, Gurdaspur-106, Hoshiarpur-133,Pathankot-72, Sangrur-33, Kapurthala-137, Faridkot-40, Muktsar-34, Fazilka-41, Moga-28, Ropar-50, FG Sahib-23, Barnala-51, Tarn Taran-43, SBS Nagar-46, Mansa-22)",61,"Amritsar-14,Bathinda-2, Faridkot-1, F.G.Sahib-1, Fazilka-3, Ferozepur-2, Gurdaspur-2, Hoshiapur-3, Jalandhar-5, Kapurthala-5, Ludhiana-10, Moga-1,SBS Nagar-2,Patiala-5, Ropar-1, Sangrur-2, Tarn Taran-2)"
2020-10-04,20,"Jalandhar-11, Hoshiarpur-1, Amritsar-8)",10,"Amritsar-3, Ludhiana-3, Jalandhar-2, Hoshiarpur-1, Kapurthala-1)",1509,"Ludhiana-170, Jalandhar-191, Patiala-123, SAS Nagar-136, Amritsar-141, Bathinda-166, Gurdaspur-138, Ferozepur-2, Pathankot-68, Sangrur-35, Kapurthala-51, Faridkot-48, Muktsar-42, Fazilka-49, Moga-9, Ropar-25, FG Sahib-26, Barnala-29, Tarn Taran-20, SBS Nagar-13, Mansa-27)",42,"Bathinda-3, Faridkot-1, F.G.Sahib-1, Gurdaspur-3, Hoshiapur-3, Jalandhar-5, Ludhiana-10, Mukatsar-1, SBS Nagar-2,Pathankot-1, Patiala-9, Ropar-1, Sangrur-1, Tarn Taran-1)"
2020-10-05,0,,8,"Jalandhar-1, Hoshiarpur-1, Bathinda-1, Ludhiana-4, Moga-1)",1671,"Ludhiana-198, Jalandhar-188, Patiala-112, SAS Nagar-325, Amritsar-132, Bathinda-77, Gurdaspur-30, Ferozepur-43, Pathankot-73, Sangrur-25, Kapurthala-63, Faridkot-34, Muktsar-44, Fazilka-10, Moga-4, Ropar-36, FG Sahib-9, Tarn Taran-199, SBS Nagar-32, Mansa-37)",38,"Ludhiana-8, Amritsar-5, Jalandhar-6, FG Sahib-3, Hoshiarpur-3, Ropar-3, Gurdaspur-2, Muktsar-2, SBS Nagar-1, Kapurthala-1, Moga-1, SAS Nagar-1, Patiala-1, Ferozepur-1)"
2020-10-06,4,"Jalandhar-3, SBS Nagar-1)",5,"Amritsar-3, Ludhiana-2)",1707,"Ludhiana-204, Jalandhar-167, Patiala-101, SAS Nagar-176, Amritsar-164, Gurdaspur-106, Bathinda-56, Hoshiarpur-33, Ferozepur-3, Pathankot-212, Sangrur-54, Kapurthala-104, Faridkot-31, Muktsar-31, Fazilka-81, Moga-8, Ropar-39, FG Sahib-33, Barnala-42, SBS Nagar-29, Mansa-33)",38,"Hoshiarpur-5, Jalandhar-5, Ludhiana-4, Amritsar-3, Pathankot-3, Ropar-3, Barnala-2, Bathinda-2, Gurdaspur-2, Mansa-2, Moga-2, Patiala-2, Tarn Taran-2, Ferozepur-1)"
2020-10-07,5,"Jalandhar-4, Kapurthala-1)",12,"Patiala-1, Faridkot-5, Ferozepur-1, Pathankot-1, Ludhiana-3, Hoshiarpur-1)",1230,"Ludhiana-170, Jalandhar-124, Patiala-82, Amritsar-106, Gurdaspur-59, Bathinda-62, Hoshiarpur-35, Ferozepur-221, Pathankot-54, Sangrur-47, Kapurthala-106, Muktsar-14, Fazilka-36, Moga-31, Ropar-37, FG Sahib-11, Barnala-3, SBS Nagar-15, Mansa-17)",33,"Ludhiana-6, Bathinda-5, Jalandhar-5, Amritsar-3, FG Sahib-2, Gurdaspur-2, Muktsar-2, Pathankot-2, Ropar-2, Fazilka-1, Kapurthala-1, SBS Nagar-1, Sangrur-1)"
2020-10-08,12,"Amritsar-3, Jalandhar-8, Kapurthala-1)",11,"Patiala-2, Amritsar-4, Ludhiana-4, SBS Nagar-1)",1615,"Ludhiana-111, Jalandhar-185, Patiala-107, SAS Nagar-310, Amritsar-162, Gurdaspur-103, Bathinda-24, Hoshiarpur-91, Ferozepur-1, Pathankot-127, Sangrur-54, Kapurthala-49, Faridkot-64, Muktsar-58, Fazilka-21, Moga-28, Ropar-34, FG Sahib-18, Barnala-36, SBS Nagar-14, Mansa-18)",29,"Faridkot-5, Gurdaspur-3, Jalandhar-3, Barnala-2, Ferozepur-2, Kapurthala-2, Ludhiana-2, Patiala-2, Ropar-2, Amritsar-1, FG Sahib-1, Fazilka-1, Mansa-1, Pathankot-1, Tarn Taran-1)"
2020-10-09,3,"Amritsar-2, Jalandhar-1)",5,"Ludhiana-3, Kapurthala-1, Hoshiarpur-1)",1333,"Ludhiana-104, Jalandhar-128, Patiala-120, Amritsar-126, Gurdaspur-60, Bathinda-119, Hoshiarpur-80, Ferozepur-56, Pathankot-43, Sangrur-44, Kapurthala-79, Muktsar-41, Fazilka-120, Moga-50, Ropar-70, FG Sahib-18, Barnala-31, SBS Nagar-34, Mansa-10)",35,"Gurdaspur-5, Pathankot-5, Amritsar-4, Jalandhar-4, Kapurthala-3, SAS Nagar-3, Muktsar-3, Patiala-2, Ropar-2, Bathinda-1, FG Sahib-1, Ludhiana-1, Tarn Taran-1)"
2020-10-10,0,,7,"Ludhiana-2, Faridkot-2, Patiala-2, Amritsar-1)",1234,"Ludhiana-141, Jalandhar-112, Patiala-92, SAS Nagar-128, Amritsar-121, Gurdaspur-50, Bathinda-148, Hoshiarpur-34, Ferozepur-1, Pathankot-59, Sangrur-14, Kapurthala-51, Faridkot-66, Muktsar-24, Fazilka-64, Moga-28, Ropar-35, FG Sahib-13, Barnala-17, SBS Nagar-20, Mansa-16)",25,"Jalandhar-4, Amritsar-3, Gurdaspur-3, Ludhiana-3, Patiala-3, Hoshiarpur-2, Sangrur-2, Tarn taran-2, FG Sahib-1, Kapurthala-1, SBS Nagar-1)"
2020-10-11,2,Jalandhar-2),4,"Ludhiana-1, Amritsar-3)",1098,"Ludhiana-85, Jalandhar-140, Patiala-92, SAS Nagar-120, Amritsar-101, Gurdaspur-38, Bathinda-162, Hoshiarpur-121, Ferozepur-1, Pathankot-32, Sangrur-8, Kapurthala-32, Faridkot-17, Muktsar-25, Fazilka-22, Moga-7, Ropar-15, FG Sahib-8, Barnala-15, Tarn Taran-9, SBS Nagar-22, Mansa-26)",35,"Ludhiana-5, Hoshiarpur-4, Jalandhar-4, Amritsar-3, Kapurthala-3, Patiala-3, , Bathinda-2, Gurdaspur-2, Ropar-2, Faridkot-1, Fazilka-1, Ferozepur-1, Moga-1, Muktsar-1, Pathankot-1, Tarn Taran-1)"
