date,district,containment,population_contained
2020-07-09,patiala,"dhiru ki majri, patiala",400
2020-07-09,patiala,top khana mod patiala,116
2020-07-09,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-09,sangrur,defence colony,2666
2020-07-09,sangrur,dr.chhaju wali gali,250
2020-07-09,sangrur,gulshan iqbal colony,385
2020-07-09,sangrur,guru teg bahdur mlk,1005
2020-07-09,sangrur,jujhar nagar+ajit nagar,1715
2020-07-09,sangrur,krbl factory,342
2020-07-09,sangrur,kushal basti,953
2020-07-09,sangrur,mahindru street near pnb,555
2020-07-09,sangrur,sbi street,70
2020-07-09,sangrur,shekhupura basti,120
2020-07-09,sangrur,village chotian,3492
2020-07-09,sangrur,zone 1 gujjran wala muhalla,450
2020-07-09,sangrur,"zone 2, rattan colony ,jamalpura",1200
2020-07-10,amritsar,dai wali gali,500
2020-07-10,amritsar,duburji verka,530
2020-07-10,amritsar,haripura gali no 5,500
2020-07-10,amritsar,"sa rb duni chand, sr",300
2020-07-10,barnala,kc road st no 1-4,600
2020-07-10,faridkot,dhana basti,383
2020-07-10,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-10,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,1378
2020-07-10,jalandhar,atwal house,130
2020-07-10,jalandhar,lamba pind,417
2020-07-10,jalandhar,ram nagar,573
2020-07-10,jalandhar,sanjay gandhi nagar,242
2020-07-10,jalandhar,sant nagar,332
2020-07-10,jalandhar,thakur colony,484
2020-07-10,jalandhar,ucha suraj ganj,108
2020-07-10,kapurthala,housefed complex kapurthala,300
2020-07-10,kapurthala,punjab gramin bank,82
2020-07-10,kapurthala,tarloki nath mohalla,550
2020-07-10,ludhiana,field ganj kucha no5,125
2020-07-10,ludhiana,labor colony,1020
2020-07-10,ludhiana,rajiv gandhi nagar,4620
2020-07-10,ludhiana,suncity colony,126
2020-07-10,ludhiana,vijay nagar,2015
2020-07-10,moga,v. bagha purana,177
2020-07-10,mohali,majat charcoal factory,20
2020-07-10,mohali,sector 91,300
2020-07-10,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-10,pathankot,vill.habita pindi,332
2020-07-10,patiala,anand nagar extension patiala,182
2020-07-10,patiala,"dhiru ki majri, patiala",400
2020-07-10,patiala,top khana mod patiala,116
2020-07-10,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-10,sangrur,defence colony,2666
2020-07-10,sangrur,dr.chhaju wali gali,250
2020-07-10,sangrur,gulshan iqbal colony,385
2020-07-10,sangrur,guru teg bahdur mlk,1005
2020-07-10,sangrur,jujhar nagar+ajit nagar,1715
2020-07-10,sangrur,krbl factory,342
2020-07-10,sangrur,kushal basti,953
2020-07-10,sangrur,mahindru street near pnb,555
2020-07-10,sangrur,sbi street,70
2020-07-10,sangrur,shekhupura basti,120
2020-07-10,sangrur,village chotian,3492
2020-07-10,sangrur,zone 1 gujjran wala muhalla,450
2020-07-10,sangrur,"zone 2, rattan colony ,jamalpura",1200
2020-07-11,amritsar,birla colony,1130
2020-07-11,amritsar,dai wali gali,500
2020-07-11,amritsar,duburji verka,530
2020-07-11,amritsar,haripura gali no 5,500
2020-07-11,amritsar,"sa rb duni chand, sr",300
2020-07-11,amritsar,sanipur,450
2020-07-11,barnala,kc road st no 1-4,600
2020-07-11,faridkot,dhana basti,383
2020-07-11,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-11,ferozepur,talwandi bhai,300
2020-07-11,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,1378
2020-07-11,jalandhar,arora mohala,115
2020-07-11,jalandhar,atwal house,130
2020-07-11,jalandhar,lamba pind,417
2020-07-11,jalandhar,new amar nagar kartarpur,228
2020-07-11,jalandhar,ram nagar,573
2020-07-11,jalandhar,rose park,182
2020-07-11,jalandhar,samrai,297
2020-07-11,jalandhar,sanjay gandhi nagra,242
2020-07-11,jalandhar,sant nagar,332
2020-07-11,jalandhar,thakur colony,484
2020-07-11,jalandhar,ucha suraj ganj,112
2020-07-11,kapurthala,housefed complex kapurthala,300
2020-07-11,kapurthala,punjab gramin bank,82
2020-07-11,kapurthala,tarloki nath mohalla,550
2020-07-11,ludhiana,field ganj kucha no5,125
2020-07-11,ludhiana,labor colony,1020
2020-07-11,ludhiana,rajiv gandhi nagar,4620
2020-07-11,ludhiana,suncity colony,126
2020-07-11,ludhiana,vijay nagar,2015
2020-07-11,moga,"v. bagha purana, ward no 15",177
2020-07-11,mohali,majat charcoal factory,20
2020-07-11,mohali,sector 91,300
2020-07-11,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-11,pathankot,vill.habita pindi,332
2020-07-11,patiala,anand nagar extension patiala,182
2020-07-11,patiala,"dhiru ki majri, patiala",400
2020-07-11,patiala,top khana mod patiala,116
2020-07-11,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-11,sbs nagar,"routan mohalla, rahon",6
2020-07-12,bathinda,birla colony,1130
2020-07-12,faridkot,dhana basti,383
2020-07-12,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-12,ferozepur,lal kurti area,3037
2020-07-12,ferozepur,talwandi bhai,300
2020-07-12,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,2822
2020-07-12,jalandhar,arora mohala,115
2020-07-12,jalandhar,atwal house,130
2020-07-12,jalandhar,dashmesh nagar,16
2020-07-12,jalandhar,lamba pind,417
2020-07-12,jalandhar,new amar nagar kartarpur,228
2020-07-12,jalandhar,ram nagar,573
2020-07-12,jalandhar,rose park,182
2020-07-12,jalandhar,samrai,297
2020-07-12,jalandhar,sanjay gandhi nagra,242
2020-07-12,jalandhar,sant nagar,332
2020-07-12,jalandhar,thakur colony,484
2020-07-12,jalandhar,ucha suraj ganj,112
2020-07-12,kapurthala,housefed complex kapurthala,300
2020-07-12,kapurthala,punjab gramin bank,82
2020-07-12,kapurthala,tarloki nath mohalla,550
2020-07-12,ludhiana,field ganj kucha no5,125
2020-07-12,ludhiana,gk estate,796
2020-07-12,ludhiana,labor colony,1020
2020-07-12,ludhiana,rajiv gandhi nagar,4620
2020-07-12,ludhiana,suncity colony,126
2020-07-12,ludhiana,vijay nagar,2015
2020-07-12,moga,v. bagha purana,177
2020-07-12,moga,ward no 15,4447
2020-07-12,mohali,majat charcoal factory,20
2020-07-12,mohali,sector 91,300
2020-07-12,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-12,pathankot,vill.habita pindi,332
2020-07-12,patiala,anand nagar extension patiala,182
2020-07-12,patiala,"dhiru ki majri, patiala",400
2020-07-12,patiala,top khana mod patiala,116
2020-07-12,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-12,sbs nagar,"routan mohalla, rahon",6
2020-07-13,bathinda,birla colony,1130
2020-07-13,faridkot,dhana basti,383
2020-07-13,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-13,ferozepur,lal kurti area,3037
2020-07-13,ferozepur,talwandi bhai,300
2020-07-13,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,2822
2020-07-13,jalandhar,arora mohala,115
2020-07-13,jalandhar,atwal house,130
2020-07-13,jalandhar,dashmesh nagar,16
2020-07-13,jalandhar,lamba pind,417
2020-07-13,jalandhar,new amar nagar kartarpur,228
2020-07-13,jalandhar,ram nagar,573
2020-07-13,jalandhar,rose park,182
2020-07-13,jalandhar,samrai,297
2020-07-13,jalandhar,sanjay gandhi nagra,242
2020-07-13,jalandhar,sant nagar,332
2020-07-13,jalandhar,thakur colony,484
2020-07-13,jalandhar,ucha suraj ganj,112
2020-07-13,kapurthala,housefed complex kapurthala,300
2020-07-13,kapurthala,punjab gramin bank,82
2020-07-13,kapurthala,tarloki nath mohalla,550
2020-07-13,ludhiana,field ganj kucha no5,125
2020-07-13,ludhiana,gk estate,796
2020-07-13,ludhiana,labor colony,1020
2020-07-13,ludhiana,rajiv gandhi nagar,4620
2020-07-13,ludhiana,suncity colony,126
2020-07-13,ludhiana,vijay nagar,2015
2020-07-13,mansa,"boha, urban area ward no10",1425
2020-07-13,moga,v. bagha purana,177
2020-07-13,moga,ward no 15,4447
2020-07-13,mohali,majat charcoal factory,20
2020-07-13,mohali,sector 91,300
2020-07-13,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-13,pathankot,vill.habita pindi,332
2020-07-13,patiala,anand nagar extension patiala,75
2020-07-13,patiala,"dhiru ki majri, patiala",400
2020-07-13,patiala,macchi hata chowk samana,162
2020-07-13,patiala,peer gouri mohalla,220
2020-07-13,patiala,tej colony samana,64
2020-07-13,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-13,sbs nagar,"routan mohalla, rahon",6
2020-07-14,bathinda,birla colony,1130
2020-07-14,faridkot,dhana basti,383
2020-07-14,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-14,ferozepur,lal kurti area,3037
2020-07-14,ferozepur,talwandi bhai,300
2020-07-14,jalandhar,amar nagar,228
2020-07-14,jalandhar,"arora mohalla , bhogpur",40
2020-07-14,jalandhar,atwal house,130
2020-07-14,jalandhar,dashmesh nagar,20
2020-07-14,jalandhar,gobindgarh,146
2020-07-14,jalandhar,issa nagar,659
2020-07-14,jalandhar,katehra moh.,328
2020-07-14,jalandhar,kazi mohalla,6
2020-07-14,jalandhar,nathewal,13
2020-07-14,jalandhar,ram nagar,185
2020-07-14,jalandhar,rani bagh,139
2020-07-14,jalandhar,rose park,224
2020-07-14,jalandhar,"samrai , jandiala",303
2020-07-14,jalandhar,thakur col.,300
2020-07-14,kapurthala,punjab gramin bank,82
2020-07-14,kapurthala,tarloki nath mohalla,550
2020-07-14,ludhiana,field ganj kucha no5,125
2020-07-14,ludhiana,gk estate,796
2020-07-14,ludhiana,navi abadi khanna,670
2020-07-14,ludhiana,vijay nagar,2015
2020-07-14,mansa,"boha, urban area ward no10",1425
2020-07-14,moga,ward no 15,1205
2020-07-14,mohali,majat charcoal factory,20
2020-07-14,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-14,pathankot,vill.habita pindi,332
2020-07-14,patiala,anand nagar extension patiala,75
2020-07-14,patiala,"dhiru ki majri, patiala",400
2020-07-14,patiala,macchi hata chowk samana,162
2020-07-14,patiala,peer gouri mohalla,220
2020-07-14,patiala,tej colony samana,64
2020-07-14,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-14,sbs nagar,"routan mohalla, rahon",6
2020-07-15,faridkot,dhana basti,383
2020-07-15,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-15,ferozepur,lal kurti area,3037
2020-07-15,ferozepur,talwandi bhai,11305
2020-07-15,jalandhar,amar nagar,228
2020-07-15,jalandhar,"arora mohalla , bhogpur",40
2020-07-15,jalandhar,atwal house,130
2020-07-15,jalandhar,dashmesh nagar,20
2020-07-15,jalandhar,gobindgarh,146
2020-07-15,jalandhar,issa nagar,659
2020-07-15,jalandhar,katehra moh.,328
2020-07-15,jalandhar,kazi mohalla,11
2020-07-15,jalandhar,nathewal,13
2020-07-15,jalandhar,ram nagar,185
2020-07-15,jalandhar,rani bagh,280
2020-07-15,jalandhar,rose park,224
2020-07-15,jalandhar,"samrai , jandiala",303
2020-07-15,jalandhar,thakur col.,300
2020-07-15,kapurthala,punjab gramin bank,82
2020-07-15,kapurthala,tarloki nath mohalla,550
2020-07-15,ludhiana,field ganj kucha no5,125
2020-07-15,ludhiana,gk estate,796
2020-07-15,ludhiana,kidwai nagar,1050
2020-07-15,ludhiana,navi abadi khanna,670
2020-07-15,ludhiana,vijay nagar,2015
2020-07-15,mansa,"boha, urban area ward no10",1425
2020-07-15,moga,ward no 15,350
2020-07-15,mohali,majat charcoal factory,20
2020-07-15,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-15,pathankot,vill.habita pindi,332
2020-07-15,patiala,anand nagar extension patiala,75
2020-07-15,patiala,"dhiru ki majri, patiala",400
2020-07-15,patiala,jattan patti samana,100
2020-07-15,patiala,macchi hata chowk samana,162
2020-07-15,patiala,peer gouri mohalla,220
2020-07-15,patiala,tej colony samana,64
2020-07-15,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-15,sbs nagar,"routan mohalla, rahon",6
2020-07-16,faridkot,dhana basti,383
2020-07-16,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-16,fatehgarh sahib,sanipur,150
2020-07-16,ferozepur,lal kurti area,3037
2020-07-16,ferozepur,talwandi bhai,11305
2020-07-16,jalandhar,amar nagar,212
2020-07-16,jalandhar,"arora mohalla , bhogpur",115
2020-07-16,jalandhar,atwal house,180
2020-07-16,jalandhar,dashmesh nagar,40
2020-07-16,jalandhar,gobindgarh,146
2020-07-16,jalandhar,issa nagar,659
2020-07-16,jalandhar,katehra moh.,328
2020-07-16,jalandhar,kazi mohalla,11
2020-07-16,jalandhar,nathewal,13
2020-07-16,jalandhar,ram nagar,185
2020-07-16,jalandhar,rani bagh,280
2020-07-16,jalandhar,rose park,224
2020-07-16,jalandhar,"samrai , jandiala",303
2020-07-16,jalandhar,sbs nagar,3036
2020-07-16,jalandhar,thakur col.,260
2020-07-16,kapurthala,punjab gramin bank,82
2020-07-16,kapurthala,tarloki nath mohalla,550
2020-07-16,ludhiana,field ganj kucha no5,125
2020-07-16,ludhiana,gk estate,796
2020-07-16,ludhiana,gobind singh nagar,2000
2020-07-16,ludhiana,kidwai nagar,1050
2020-07-16,ludhiana,navi abadi khanna,670
2020-07-16,ludhiana,vijay nagar,2015
2020-07-16,ludhiana,vill bains ayai janpath nagar,305
2020-07-16,mansa,"boha, urban area ward no10",1425
2020-07-16,moga,ward no 15,350
2020-07-16,mohali,majat charcoal factory,20
2020-07-16,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-16,pathankot,vill.habita pindi,332
2020-07-16,patiala,"adarsh colony, patiala",41
2020-07-16,patiala,anand nagar extension patiala,75
2020-07-16,patiala,"dhiru ki majri, patiala",400
2020-07-16,patiala,jattan patti samana,100
2020-07-16,patiala,macchi hata chowk samana,162
2020-07-16,patiala,peer gouri mohalla,220
2020-07-16,patiala,tej colony samana,64
2020-07-16,sbs nagar,bhatti colony nawanshehr,66
2020-07-16,sbs nagar,"routan mohalla, rahon",6
2020-07-17,faridkot,dhana basti,383
2020-07-17,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-17,fatehgarh sahib,humayupur sirhind,450
2020-07-17,fatehgarh sahib,"khushwant enclave, bassi pathana",150
2020-07-17,ferozepur,lal kurti area,3037
2020-07-17,jalandhar,"akbarpur khurd, nakodar",320
2020-07-17,jalandhar,amar nagar,212
2020-07-17,jalandhar,"arora mohalla , bhogpur",115
2020-07-17,jalandhar,atwal house,80
2020-07-17,jalandhar,dashmesh nagar,40
2020-07-17,jalandhar,gobindgarh,146
2020-07-17,jalandhar,golden avenue -,332
2020-07-17,jalandhar,hardyal nagar,339
2020-07-17,jalandhar,issa nagar,659
2020-07-17,jalandhar,katehra moh.,328
2020-07-17,jalandhar,kazi mandi,1019
2020-07-17,jalandhar,kazi mohalla,11
2020-07-17,jalandhar,nathewal,13
2020-07-17,jalandhar,ram nagar,185
2020-07-17,jalandhar,rani bagh,280
2020-07-17,jalandhar,rose park,184
2020-07-17,jalandhar,"samrai , jandiala",304
2020-07-17,jalandhar,sbs nagar,3036
2020-07-17,jalandhar,thakur col.,260
2020-07-17,ludhiana,field ganj kucha no5,125
2020-07-17,ludhiana,gk estate,796
2020-07-17,ludhiana,gobind singh nagar,2000
2020-07-17,ludhiana,kidwai nagar,1050
2020-07-17,ludhiana,navi abadi khanna,670
2020-07-17,ludhiana,vijay nagar industrial area,2015
2020-07-17,ludhiana,vill bains ayai janpath nagar,305
2020-07-17,mansa,"boha, urban area ward no10",1425
2020-07-17,moga,ward no 15,350
2020-07-17,mohali,peermuchalla near dakoli zirakpur,220
2020-07-17,mohali,phase 9 mohali,150
2020-07-17,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-17,pathankot,vill.habita pindi,332
2020-07-17,patiala,"adarsh colony, patiala",41
2020-07-17,patiala,anand nagar extension patiala,75
2020-07-17,patiala,jattan patti samana,100
2020-07-17,patiala,macchi hata chowk samana,162
2020-07-17,patiala,peer gouri mohalla,120
2020-07-17,patiala,tej colony samana,64
2020-07-17,sbs nagar,bhatti colony nawanshehr,66
2020-07-17,sbs nagar,"routan mohalla, rahon",6
2020-07-18,amritsar,ganda singh colony,500
2020-07-18,faridkot,dhana basti,383
2020-07-18,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-18,fatehgarh sahib,humayupur sirhind,450
2020-07-18,fatehgarh sahib,"khushwant enclave, bassi pathana",150
2020-07-18,ferozepur,lal kurti area,3037
2020-07-18,jalandhar,"akbarpur khurd , nakodar",320
2020-07-18,jalandhar,"arora mohalla , bhogpur",115
2020-07-18,jalandhar,atwal house,80
2020-07-18,jalandhar,"dashmesh nagar,",40
2020-07-18,jalandhar,gobindgarh,146
2020-07-18,jalandhar,golden avenue,332
2020-07-18,jalandhar,hardyal nagar,339
2020-07-18,jalandhar,hoshiarpur,171
2020-07-18,jalandhar,imli wala mohalla,231
2020-07-18,jalandhar,issa nagar,659
2020-07-18,jalandhar,katehra moh.,328
2020-07-18,jalandhar,kazi moh.,11
2020-07-18,jalandhar,laj path nagar,202
2020-07-18,jalandhar,"nathewal,",13
2020-07-18,jalandhar,ram nagar,185
2020-07-18,jalandhar,rani bagh,280
2020-07-18,jalandhar,rasta mohalla,720
2020-07-18,jalandhar,"samrai , jandiala",304
2020-07-18,jalandhar,sbs nagar,3036
2020-07-18,jalandhar,"surya vihar , maqsuda",285
2020-07-18,ludhiana,field ganj kucha no5,125
2020-07-18,ludhiana,gk estate,796
2020-07-18,ludhiana,gobind singh nagar,2000
2020-07-18,ludhiana,jeevan nagar gali no18,487
2020-07-18,ludhiana,kidwai nagar,1050
2020-07-18,ludhiana,navi abadi khanna,670
2020-07-18,ludhiana,rajiv gandhi colony focal point,585
2020-07-18,ludhiana,vijay naga industrial area,2015
2020-07-18,ludhiana,vill bains ayai janpath nagar,305
2020-07-18,mansa,"boha, urban area ward no10",1425
2020-07-18,moga,ward no 15,350
2020-07-18,mohali,peermuchalla near dakoli zirakpur,220
2020-07-18,mohali,phase 9 mohali,150
2020-07-18,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-18,pathankot,vill.habita pindi,332
2020-07-18,patiala,"adarsh colony, patiala",41
2020-07-18,patiala,anand nagar extension patiala,75
2020-07-18,patiala,jattan patti samana,100
2020-07-18,patiala,macchi hata chowk samana,162
2020-07-18,patiala,peer gouri mohalla,120
2020-07-18,patiala,tej colony samana,64
2020-07-18,sbs nagar,bhatti colony nawanshehr,66
2020-07-18,sbs nagar,"routan mohalla, rahon",6
2020-07-19,amritsar,ganda singh colony,500
2020-07-19,faridkot,dhana basti,383
2020-07-19,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-19,fatehgarh sahib,humayupur sirhind,450
2020-07-19,fatehgarh sahib,"khushwant enclave, bassi pathana",150
2020-07-19,ferozepur,lal kurti area,3037
2020-07-19,jalandhar,"akbarpur khurd , nakodar",320
2020-07-19,jalandhar,"arora mohalla , bhogpur",115
2020-07-19,jalandhar,atwal house,80
2020-07-19,jalandhar,"dashmesh nagar,",40
2020-07-19,jalandhar,gobindgarh,146
2020-07-19,jalandhar,golden avenue,332
2020-07-19,jalandhar,hardyal nagar,339
2020-07-19,jalandhar,hoshiarpur,171
2020-07-19,jalandhar,imli wala mohalla,231
2020-07-19,jalandhar,issa nagar,659
2020-07-19,jalandhar,katehra moh.,328
2020-07-19,jalandhar,kazi moh.,11
2020-07-19,jalandhar,laj path nagar,202
2020-07-19,jalandhar,"nathewal,",13
2020-07-19,jalandhar,ram nagar,185
2020-07-19,jalandhar,rani bagh,280
2020-07-19,jalandhar,rasta mohalla,720
2020-07-19,jalandhar,"samrai , jandiala",304
2020-07-19,jalandhar,sbs nagar,3036
2020-07-19,jalandhar,"surya vihar , maqsuda",285
2020-07-19,ludhiana,field ganj kucha no5,125
2020-07-19,ludhiana,gk estate,796
2020-07-19,ludhiana,gobind singh nagar,2000
2020-07-19,ludhiana,jeevan nagar gali no18,487
2020-07-19,ludhiana,kidwai nagar,1050
2020-07-19,ludhiana,navi abadi khanna,670
2020-07-19,ludhiana,rajiv gandhi colony focal point,585
2020-07-19,ludhiana,vijay naga industrial area,2015
2020-07-19,ludhiana,vill bains ayai janpath nagar,305
2020-07-19,mansa,"boha, urban area ward no10",1425
2020-07-19,moga,ward no 15,350
2020-07-19,mohali,peermuchalla near dakoli zirakpur,220
2020-07-19,mohali,phase 9 mohali,150
2020-07-19,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-19,pathankot,vill.habita pindi,332
2020-07-19,patiala,"adarsh colony, patiala",41
2020-07-19,patiala,anand nagar extension patiala,75
2020-07-19,patiala,jattan patti samana,100
2020-07-19,patiala,macchi hata chowk samana,162
2020-07-19,patiala,peer gouri mohalla,120
2020-07-19,patiala,tej colony samana,64
2020-07-19,sbs nagar,bhatti colony nawanshehr,66
2020-07-19,sbs nagar,"routan mohalla, rahon",6
2020-07-20,amritsar,ganda singh colony,500
2020-07-20,faridkot,balaji colony st no2,75
2020-07-20,faridkot,dhana basti,383
2020-07-20,fatehgarh sahib,humayupur sirhind,450
2020-07-20,fatehgarh sahib,"khushwant enclave, bassi pathana",150
2020-07-20,ferozepur,lal kurti area,3037
2020-07-20,jalandhar,akaalpur village,116
2020-07-20,jalandhar,"akbarpur khurd , nakodar",320
2020-07-20,jalandhar,amar nagar,212
2020-07-20,jalandhar,"arora mohalla , bhogpur",115
2020-07-20,jalandhar,atwal house,80
2020-07-20,jalandhar,"byant nagar,",172
2020-07-20,jalandhar,"dashmesh nagar,",40
2020-07-20,jalandhar,gobindgarh,146
2020-07-20,jalandhar,golden avenue,332
2020-07-20,jalandhar,hardyal nagar,339
2020-07-20,jalandhar,hoshiarpur,171
2020-07-20,jalandhar,imli wala mohalla,231
2020-07-20,jalandhar,issa nagar,659
2020-07-20,jalandhar,katehra moh.,328
2020-07-20,jalandhar,kazi moh.,11
2020-07-20,jalandhar,laj path nagar,202
