date,district,containment,population_contained
2020-07-17,sbs nagar,"jain street, rahon",108
2020-07-17,ferozepur,talwandi bhai,11305
2020-07-16,patiala,top khana mod patiala,2824
2020-07-16,ludhiana,"ashok nagar, salem tabri 95",3030
2020-07-16,jalandhar,fatehpur,325
2020-07-16,jalandhar,makhdoompura,572
2020-07-16,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-16,mohali,fedral behra derrabassi,3200
2020-07-16,sbs nagar,"jain street, rahon",108
2020-07-15,patiala,top khana mod patiala,2824
2020-07-15,ludhiana,"ashok nagar, salem tabri 95",3030
2020-07-15,jalandhar,fatehpuri,325
2020-07-15,jalandhar,makhdoompura,376
2020-07-15,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-15,mohali,fedral behra derrabassi,3200
2020-07-15,sbs nagar,"jain street, rahon",108
2020-07-14,patiala,top khana mod patiala,2824
2020-07-14,ludhiana,ashok nagar,3030
2020-07-14,jalandhar,fatehpuri,325
2020-07-14,jalandhar,makhdoompura,376
2020-07-14,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-14,mohali,fedral behra derrabassi,3200
2020-07-14,sbs nagar,"jain street, rahon",108
2020-07-13,patiala,top khana mod patiala,2824
2020-07-13,ludhiana,ashok nagar,775
2020-07-13,jalandhar,bhargo camp,1240
2020-07-13,jalandhar,fatehpuri,325
2020-07-13,jalandhar,makhdoompura,360
2020-07-13,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-13,mohali,fedral behra derrabassi,3200
2020-07-13,sbs nagar,"jain street, rahon",108
2020-07-12,ludhiana,ashok nagar,775
2020-07-12,jalandhar,bhargo camp,1240
2020-07-12,jalandhar,fatehpuri,325
2020-07-12,jalandhar,makhdoompura,360
2020-07-12,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-12,mohali,fedral behra derrabassi,3200
2020-07-12,sbs nagar,"jain street, rahon",108
2020-07-11,ludhiana,habibganj sehnsi mohalla,10233
2020-07-11,ludhiana,ashok nagar,775
2020-07-11,jalandhar,bhargo camp,1240
2020-07-11,jalandhar,fatehpuri,325
2020-07-11,jalandhar,makhdoompura,360
2020-07-11,gurdaspur,dera baba nanak,2607
2020-07-11,mohali,fedral behra derrabassi,3200
2020-07-11,sbs nagar,"jain street, rahon",108
2020-07-10,ludhiana,habibganj sehnsi mohalla,10233
2020-07-10,ludhiana,ashok nagar,775
2020-07-10,jalandhar,bhargo camp,1240
2020-07-10,jalandhar,fatehpuri,176
2020-07-10,jalandhar,makhdoompura,348
2020-07-10,sangrur,malerkotla,2708
2020-07-10,gurdaspur,dera baba nanak,2607
2020-07-10,gurdaspur,fedral behra derrabassi,3200
2020-07-09,ludhiana,habibganj sehnsi mohalla,10233
2020-07-09,ludhiana,ashok nagar,775
2020-07-09,jalandhar,bhargo camp,1240
2020-07-09,jalandhar,fatehpuri,176
2020-07-09,jalandhar,makhdoompura,348
2020-07-09,sangrur,malerkotla,2708
2020-07-09,gurdaspur,ward no.10 dera baba nanak,2607
2020-07-09,gurdaspur,fedral behra derrabassi,450
2020-07-08,ludhiana,habibganj sehnsi mohalla,10233
2020-07-08,ludhiana,ashok nagar,775
2020-07-08,jalandhar,bhargo camp,1240
2020-07-08,jalandhar,fatehpuri,130
2020-07-08,sangrur,malerkotla,2708
2020-07-08,gurdaspur,ward no.10 dera baba nanak,2607
2020-07-08,mohali,fedral behra derrabassi,450
2020-07-07,ludhiana,habibganj sehnsi mohalla,10233
2020-07-07,ludhiana,ashok nagar,775
2020-07-07,jalandhar,bhargo camp,1240
2020-07-07,jalandhar,fatehpuri,130
2020-07-07,sangrur,malerkotla,2708
2020-07-07,gurdaspur,ward no.10 dera baba nanak,2607
2020-07-07,mohali,fedral behra derrabassi,450
