date,recovery_rate,recovered_patients,recovery_in_last_24_hrs,home_isolation_cumulative,home_isolation_new,hospitalized_patients_cumulative,hospitalized_patients_new,samples_tested_cumulative,samples_tested_new,tests_per_million,total_cases_cunulative,total_cases_new,deaths_cumulative,deaths_new,active_cases,hospital_discharged
2021-07-20,97.34,165449,157.0,118031,118,28460,14,1010133,4836,692562,169971,132,3113,2,1409,19.0
2021-07-21,97.34,165571,122.0,118138,107,28484,24,1014560,4427,695597,170102,131,3118,5,1413,10.0
2021-07-22,97.36,165700,129.0,118217,79,28502,18,1018313,3753,698170,170199,97,3123,5,1376,13.0
2021-07-23,97.4,165839,139.0,118278,61,28514,12,1021344,3031,700249,170272,73,3126,3,1307,13.0
2021-07-24,97.44,166052,213.0,118411,133,28525,11,1027335,5991,704356,170416,144,3126,0,1238,10.0
2021-07-25,97.48,166201,149.0,118469,58,28542,17,1030783,3448,706720,170491,75,3132,6,1158,16.0
2021-07-26,97.5,166308,107.0,118547,78,28554,12,1034324,3541,709148,170581,90,3136,4,1137,13.0
2021-07-27,97.5,166459,151.0,118682,135,28570,16,1039002,4678,712355,170729,148,3140,4,1130,15.0
2021-07-28,97.53,166586,127.0,118749,67,28584,14,1043212,4210,715242,170810,81,3142,2,1082,24.0
2021-07-29,97.53,166679,93.0,118820,71,28603,19,1047088,3876,717899,170900,90,3144,2,1077,14.0
2021-07-30,97.52,166813,134.0,118953,133,28622,19,1051410,4322,720862,171052,152,3146,2,1093,15.0
2021-07-31,97.54,166941,128.0,119033,80,28636,14,1056184,4774,724135,171146,94,3147,1,1058,11.0
2021-08-01,97.57,167046,105.0,119078,45,28650,14,1059718,3534,726558,171205,59,3148,1,1011,17.0
2021-08-02,97.56,167118,72.0,119162,84,28656,6,1063703,3985,729290,171295,90,3150,2,1027,12.0
2021-08-03,97.58,167245,127.0,119252,90,28667,11,1068173,4470,732355,171396,101,3152,2,999,10.0
2021-08-05,97.56,167423,88.0,119436,85,28695,17,1078876,5932,739693,171608,102,3156,3,1029,11.0
2021-08-06,97.58,167556,133.0,119516,80,28712,17,1083561,4685,742905,171705,97,3157,1,992,11.0
2021-08-07,97.58,167649,93.0,119608,92,28729,17,1089087,5526,746694,171814,109,3159,2,1006,10.0
2021-08-08,97.59,167736,87.0,119669,61,28737,8,1093954,4867,750031,171883,69,3160,1,987,6.0
2021-08-09,97.64,167884,148.0,119711,42,28756,19,1097404,3450,752396,171944,61,3164,4,896,5.0
2021-08-10,97.61,167978,94.0,119837,126,28771,15,1102474,5070,755872,172085,141,3164,0,943,7.0
2021-08-11,97.59,168041,63.0,119926,89,28785,14,1107531,5057,759340,172188,103,3164,0,983,14.0
2021-08-12,97.59,168117,76.0,119997,71,28802,17,1112760,5229,762925,172276,88,3166,2,993,11.0
2021-08-13,97.61,168218,101.0,120051,54,28815,13,1118448,5688,766824,172343,67,3168,2,957,6.0
2021-08-14,97.63,168338,120.0,120129,78,28825,10,1123864,5416,770538,172431,88,3168,0,925,6.0
2021-08-15,97.63,168423,85.0,120191,62,28838,13,1128724,4860,773870,172506,75,3171,3,912,5.0
2021-08-16,97.65,168519,96.0,120246,55,28845,7,1132949,4225,776767,172568,62,3176,5,873,4.0
2021-08-17,97.65,168622,103.0,120350,104,28856,11,1138788,5839,780770,172683,115,3177,1,884,3.0
2021-08-19,97.64,168764,59.0,120480,70,28889,13,1150269,6220,788641,172846,83,3180,2,902,10.0
2021-08-21,97.63,168989,111.0,120693,110,28918,12,1160150,5483,795416,173088,122,3184,2,915,13.0
2021-08-22,97.64,169080,91.0,120755,62,28932,14,1164004,3854,798058,173164,76,3185,1,899,5.0
2021-08-23,97.66,169160,80.0,120801,46,28943,11,1168151,4147,800902,173221,57,3186,1,875,5.0
2021-08-24,97.62,169239,79.0,120923,122,28957,14,1173071,4920,804275,173357,136,3186,0,932,8.0
2021-08-25,97.62,169314,75.0,120982,59,28975,18,1178040,4969,807682,173434,77,3187,1,933,6.0
2021-08-26,97.61,169385,71.0,121065,83,28984,9,1183530,5490,811446,173526,92,3191,4,950,8.0
2021-08-27,97.62,169480,95.0,121131,66,28998,14,1189172,5642,815314,173606,80,3191,0,935,7.0
2021-08-28,97.61,169572,92.0,121223,92,29017,19,1193853,4681,818523,173717,111,3193,2,952,4.0
2021-08-29,97.62,169651,79.0,121282,59,29032,15,1199547,5694,822427,173791,74,3195,2,945,9.0
2021-08-30,97.65,169769,118.0,121328,46,29045,13,1203513,3966,825146,173850,59,3198,3,883,6.0
2021-08-31,97.66,169877,108.0,121416,88,29062,17,1208817,5304,828783,173955,105,3201,3,877,7.0
2021-09-01,97.65,169959,82.0,121492,76,29081,19,1213926,5109,832286,174050,95,3202,1,889,4.0
2021-09-02,97.64,170031,72.0,121574,82,29095,14,1220683,6757,836918,174146,96,3202,0,913,10.0
2021-09-03,97.65,170151,120.0,121667,93,29106,11,1225474,4791,840203,174250,104,3203,1,896,5.0
2021-09-04,97.63,170222,71.0,121744,77,29126,20,1231435,5961,844290,174347,97,3203,0,922,7.0
2021-09-05,97.64,170311,89.0,121794,50,29148,22,1236809,5374,847975,174419,72,3208,5,900,7.0
2021-09-06,97.65,170391,80.0,121848,54,29161,13,1240754,3945,850679,174486,67,3210,2,885,8.0
2021-09-07,97.67,170496,105.0,121911,63,29172,11,1245528,4774,853952,174560,74,3210,0,854,11.0
2021-09-08,97.67,170578,82.0,121977,66,29192,20,1251255,5727,857879,174646,86,3212,2,856,6.0
2021-09-09,97.66,170635,57.0,122038,61,29210,18,1256768,5513,861659,174725,79,3212,0,878,6.0
2021-09-10,97.68,170716,81.0,122066,28,29227,17,1260789,4021,864416,174770,45,3214,2,840,9.0
2021-09-11,97.72,170808,92.0,122081,15,29241,14,1263736,2947,866436,174799,29,3216,2,775,12.0
2021-09-12,97.74,170882,74.0,122105,24,29255,14,1266413,2677,868271,174837,38,3217,1,738,5.0
2021-09-13,97.76,170972,90.0,122150,45,29264,9,1269754,3341,870562,174891,54,3217,0,702,3.0
2021-09-14,97.75,171064,92.0,122246,96,29277,13,1275971,6217,874825,175000,109,3219,2,717,7.0
2021-09-15,97.72,171099,103.0,122318,72,29293,16,1279588,3617,877304,175088,88,3289,2,700,11.0
2021-09-16,97.72,171195,96.0,122401,83,29305,12,1284660,5072,880782,175183,95,3289,0,699,5.0
2021-09-17,97.71,171270,75.0,122498,97,29316,11,1289799,5139,884305,175291,108,3290,1,731,13.0
2021-09-18,97.68,171351,81.0,122567,69,29328,12,1295428,5629,888165,175414,123,3292,2,771,7.0
2021-09-19,97.68,171430,79.0,122635,68,29344,16,1299606,4178,891029,175498,84,3294,2,774,8.0
2021-09-20,97.66,171478,48.0,122702,67,29362,18,1303331,3725,893583,175583,85,3295,1,810,5.0
2021-09-21,97.62,171507,29.0,122789,87,29382,20,1308020,4689,896798,175690,107,3297,2,886,7.0
2021-09-22,97.58,171545,38.0,122876,87,29397,15,1313965,5945,900874,175792,102,3297,0,950,13.0
2021-09-23,97.57,171599,54.0,122945,69,29408,11,1319979,6014,904997,175872,80,3297,0,976,7.0
2021-09-24,97.58,171692,93.0,123016,71,29421,13,1324081,4102,907809,175956,84,3299,2,965,7.0
2021-09-25,97.59,171776,84.0,123057,41,29445,24,1329457,5376,911495,176021,65,3299,0,946,8.0
2021-09-26,97.6,171874,98.0,123121,64,29455,10,1334309,4852,914822,176095,74,3303,4,918,7.0
2021-09-27,97.64,171980,106.0,123159,38,29467,12,1337966,3657,917329,176145,50,3303,0,862,6.0
2021-09-28,97.65,172094,114.0,123233,74,29483,16,1343105,5139,920853,176235,90,3308,5,833,7.0
2021-09-29,97.65,172176,82.0,123301,68,29498,15,1348354,5249,924451,176318,83,3312,4,830,5.0
2021-09-30,97.64,172261,85.0,123390,89,29522,24,1353489,5135,927972,176431,113,3314,2,856,8.0
2021-10-01,97.65,172360,99.0,123456,66,29540,18,1357968,4479,931043,176515,84,3317,3,838,7.0
2021-10-02,97.66,172463,103.0,123521,65,29554,14,1362664,4696,934263,176594,79,3317,0,814,8.0
2021-10-03,84.6,29527,523.0,16479,287,10002,83,25977,1492,178106,34900,445,450,8,4923,
2021-10-04,85.01,30033,506.0,16741,262,10094,92,260995,1218,178942,35328,428,456,6,4839,
2021-10-05,97.7,172698,66.0,123658,77,29590,9,1373627,4256,941779,176767,86,3322,2,747,7.0
2021-10-06,97.69,172770,72.0,123738,80,29607,17,1378403,4776,945053,176864,97,3322,0,772,8.0
2021-10-07,97.68,172822,52.0,123787,49,29618,11,1382263,3860,947700,176924,60,3323,1,779,4.0
2021-10-08,97.7,172907,85.0,123836,49,29625,7,1386708,4445,950747,176980,56,3325,2,748,3.0
2021-10-09,97.71,172981,74.0,123888,52,29633,8,1391366,4658,953941,177040,60,3326,1,733,6.0
2021-10-10,97.72,173074,93.0,123949,61,29645,12,1396558,5192,957501,177113,73,3329,3,710,12.0
2021-10-11,97.75,173171,97.0,123973,24,29656,11,1400402,3844,960136,177148,35,3330,1,647,6.0
2021-10-12,97.76,173252,81.0,124040,67,29669,13,1403944,3542,962565,177228,80,3332,2,644,7.0
2021-10-13,97.75,173303,51.0,124091,51,29678,9,1407727,3783,965158,177288,60,3333,1,652,3.0
2021-10-14,97.74,173342,39.0,124149,58,29688,10,1411608,3881,967819,177356,68,3335,2,679,6.0
2021-10-16,97.77,173510,87.0,124242,46,29701,6,1419312,4188,973101,177462,52,3342,3,610,7.0
2021-10-17,97.77,173572,62.0,124295,53,29708,7,1423081,3769,975685,177522,60,3346,4,604,9.0
2021-10-18,97.78,173629,57.0,124337,42,29719,11,1426583,3502,978086,177579,57,3350,4,600,6.0
2021-10-19,97.76,173685,56.0,124410,73,29726,7,1430772,4189,980958,177659,80,3354,4,620,8.0
2021-10-20,97.78,173755,70.0,124451,41,29732,6,1435769,4997,984384,177706,47,3354,0,597,6.0
2021-10-21,97.76,173790,35.0,124503,52,29739,7,1439828,4059,987167,177765,59,3357,3,618,3.0
2021-10-22,97.77,173862,72.0,124552,49,29744,5,1443383,3555,989605,177819,54,3357,0,600,7.0
2021-10-23,97.79,173920,58.0,124576,24,29753,9,1446807,3424,991952,177852,33,3358,1,574,3.0
2021-10-24,97.81,173983,63.0,124606,30,29757,4,1449373,2566,993712,177886,34,3358,0,545,2.0
2021-10-25,97.82,174042,59.0,124632,26,29760,3,1452375,3002,995770,177915,29,3358,0,515,1.0
2021-10-26,97.84,174101,59.0,124659,27,29764,4,1455309,2934,997781,177946,31,3362,4,483,3.0
2021-10-27,97.86,174152,51.0,124678,19,29768,4,1458499,3190,999968,177969,23,3363,1,454,5.0
2021-10-28,97.87,174216,64.0,124721,43,29772,4,1460982,2483,1001671,178016,47,3363,0,437,4.0
2021-10-29,97.88,174289,73.0,124760,39,29780,8,1463383,2401,1003317,178063,47,3363,0,411,2.0
2021-10-30,97.9,174339,50.0,124778,18,29784,4,1466038,2655,1005137,178085,22,3364,1,382,2.0
2021-10-31,97.91,174392,53.0,124798,20,29787,3,1468399,2361,1006756,178108,23,3364,0,352,2.0
2021-11-01,97.94,174447,55.0,124809,11,29789,2,1470472,2073,1008177,178121,13,3364,0,310,4.0
2021-11-02,97.93,174485,38.0,124851,42,29792,3,1472989,2517,1009903,178166,45,3366,2,315,2.0
2021-11-03,97.93,174518,33.0,124886,35,29795,3,1475434,2445,1011579,178204,38,3366,0,320,1.0
2021-11-04,97.92,174542,,124926,40,29796,1,1478023,2589,1013354,178245,41,3366,0,337,1.0
2021-11-05,97.93,174578,36.0,124938,12,29799,3,1479728,1705,1014523,178260,15,3366,0,316,1.0
2021-11-06,97.94,174601,23.0,124957,19,29801,2,1483164,3436,1016879,178281,21,3367,1,313,3.0
2021-11-08,97.95,174686,42.0,125007,24,29812,6,1488234,2262,1020355,178342,30,3370,2,286,2.0
2021-11-09,97.95,174712,26.0,125028,21,29816,4,1492139,3905,1023033,178367,25,3370,0,285,1.0
2021-11-10,97.95,174734,22.0,125057,29,29819,3,1495561,3422,1025379,178399,32,3371,1,294,3.0
2021-11-11,97.94,174753,19.0,125077,20,29822,3,1498923,3362,1027684,178422,23,3371,0,298,4.0
2021-11-12,97.95,174794,41.0,125098,21,29824,2,1501496,2573,1029448,178445,23,3372,1,279,3.0
2021-11-13,97.96,174830,36.0,125116,18,29828,4,1504201,2705,1031302,178467,22,3374,2,263,2.0
2021-11-14,97.97,174870,40.0,125129,13,29833,5,1506282,2081,1032729,178485,18,3374,0,241,3.0
2021-11-15,97.97,174885,15.0,125150,21,29837,4,1508457,2175,1034220,178510,25,3375,1,250,1.0
2021-11-16,97.97,174905,20.0,125165,15,29845,8,1511156,2699,1036071,178533,23,3376,1,252,5.0
2021-11-17,97.96,174934,29.0,125196,31,29850,5,1513909,2753,1037958,178569,36,3376,0,259,3.0
2021-11-18,97.97,174965,31.0,125214,18,29857,7,1516544,2635,1039765,178594,25,3377,1,252,2.0
2021-11-19,97.97,174989,,125230,16,29861,4,1519933,3389,1042089,178614,20,3377,0,248,3.0
2021-11-20,97.97,175022,33.0,125258,28,29864,3,1521983,2050,1043494,178645,31,3377,0,246,1.0
2021-11-22,97.98,175068,20.0,125284,13,29870,3,1526248,2127,1046418,178677,16,3378,0,231,1.0
2021-11-23,97.97,175087,19.0,125311,27,29875,5,1528789,2541,1048160,178709,32,3378,0,244,3.0
2021-11-24,97.97,175107,20.0,125330,19,29878,3,1531662,2873,1050130,178731,22,3378,0,246,2.0
2021-11-25,97.97,175130,23.0,125358,28,29884,6,1533783,2121,1051584,178765,34,3380,2,255,2.0
2021-11-26,97.96,175152,22.0,125388,30,29888,4,1536121,2338,1053187,178799,34,3381,1,266,3.0
2021-11-27,97.96,175183,31.0,125425,37,29891,3,1538864,2743,1055068,178839,40,3381,0,275,2.0
2021-11-28,97.96,175211,28.0,125451,26,29892,1,1540655,1791,1056296,178866,27,3382,1,273,4.0
2021-11-29,97.95,175230,19.0,125473,22,29894,2,1542250,1595,1057389,178890,24,3384,2,276,3.0
2021-11-30,97.95,175260,30.0,125509,36,29896,2,1544948,2698,1059239,178928,38,3384,0,284,4.0
2021-12-01,97.93,175279,19.0,125568,59,29899,3,1548048,3100,1061365,178990,62,3384,0,327,1.0
2021-12-02,97.91,175295,16.0,125623,55,29900,1,1550787,2739,1063242,179046,56,3384,0,367,2.0
2021-12-03,97.9,175323,28.0,125663,40,29902,2,1553433,2646,1065057,179088,42,3385,1,380,1.0
2021-12-04,97.89,175344,21.0,125699,36,29903,1,1555755,2322,1066649,179125,37,3387,2,394,0.0
2021-12-05,97.88,175375,31.0,125746,47,29905,2,1558514,2759,1068540,179174,49,3387,0,412,1.0
2021-12-06,97.88,175409,34.0,125774,28,29912,7,1560454,1940,1069870,179209,35,3387,0,413,0.0
2021-12-07,97.88,175450,41.0,125803,29,29916,4,1563570,3116,1072007,179242,33,3388,1,404,0.0
2021-12-08,97.86,175478,28.0,125859,56,29925,9,1567149,3579,1074461,179307,65,3388,0,441,1.0
2021-12-10,97.81,175443,35.0,125921,35,29931,2,1572983,2796,1078460,179375,37,3482,0,450,0.0
2021-12-11,97.82,175501,58.0,125963,42,29933,2,1576114,3131,1080607,179419,44,3482,0,436,2.0
2021-12-12,97.83,175561,60.0,125995,32,29936,3,1578233,2119,1082060,179454,35,3482,0,411,1.0
2021-12-13,97.85,175605,44.0,126009,14,29937,1,1579629,1396,1083017,179469,15,3482,0,382,0.0
2021-12-14,97.84,175641,36.0,126052,43,29938,1,1582515,2886,1084996,179513,44,3482,0,390,2.0
2021-12-15,97.84,175692,51.0,126103,51,29939,1,1586130,3615,1087474,179565,52,3482,0,391,1.0
2021-12-16,97.84,175724,32.0,126136,33,29942,3,1588933,2803,1089396,179601,36,3485,3,392,1.0
2021-12-17,97.83,175757,33.0,126182,46,29946,4,1591560,2627,1091197,179651,50,3485,0,409,2.0
2021-12-18,97.84,175820,63.0,126222,40,29949,3,1595011,3451,1093563,179694,43,3485,0,389,1.0
2021-12-20,97.84,175888,37.0,126291,26,29955,1,1598628,1374,1096043,179769,27,3485,0,396,1.0
2021-12-21,97.83,175898,39.0,126322,31,29956,1,1601291,2663,1097869,179801,32,3515,1,388,3.0
2021-12-22,97.83,175934,36.0,126362,40,29959,3,1603732,2441,1099542,179844,43,3518,3,392,0.0
2021-12-23,97.81,175951,17.0,126414,52,29961,2,1606075,2343,1101149,179898,54,3518,0,429,3.0
2021-12-24,97.79,175994,43.0,126480,66,29962,1,1607977,1902,1102453,179965,67,3518,0,453,2.0
2021-12-25,97.79,176045,51.0,126538,58,29964,2,1610709,2732,1104326,180025,60,3519,1,461,1.0
