date,district,cases_new,cases_total,discharged_new,discharged_total,active_cases_total,deaths_new,deaths_total,non_covid_deaths
2020-07-24,others*,0,36,0,32,1,0,3,0
2020-07-24,raichuru,107,1503,32,751,734,1,18,0
2020-07-24,ramanagara,12,599,0,195,394,0,10,0
2020-07-24,shivamogga,67,1080,0,424,638,3,18,0
2020-07-24,tumakuru,59,912,9,306,571,5,35,0
2020-07-24,udupi,190,3036,88,1918,1104,3,14,0
2020-07-24,uttara kannada,88,1506,53,751,741,1,14,0
2020-07-24,vijayapura,158,1988,85,1387,577,0,24,0
2020-07-24,yadagiri,53,1864,0,1507,356,0,1,0
2020-07-25,bagalakote,57,1225,159,477,712,0,36,0
2020-07-25,ballari,222,3511,80,1540,1902,0,69,0
2020-07-25,belagavi,341,1986,43,469,1477,5,40,0
2020-07-25,bengaluru rural,154,1420,0,247,1164,0,9,0
2020-07-25,bengaluru urban,2036,43503,686,10758,31882,29,862,1
2020-07-25,bidar,62,1789,25,1196,522,0,67,4
2020-07-25,chamarajanagara,22,477,18,250,221,0,6,0
2020-07-25,chikkaballapura,101,1349,29,548,772,2,28,1
2020-07-25,chikkamagaluru,42,618,55,369,232,0,17,0
2020-07-25,chitradurga,16,348,3,134,208,0,6,0
2020-07-25,dakshina kannada,218,4607,140,1911,2597,8,97,2
2020-07-25,davanagere,79,1334,59,810,491,1,33,0
2020-07-25,dharwada,183,3025,193,1166,1770,4,89,0
2020-07-25,gadag,61,943,28,328,595,1,20,0
2020-07-25,hassana,151,1508,54,753,716,2,39,0
2020-07-25,haveri,52,712,64,452,237,2,23,0
2020-07-25,kalaburagi,183,3712,145,2066,1588,4,58,0
2020-07-25,kodagu,9,322,0,236,81,0,5,0
2020-07-25,kolara,68,862,70,350,492,0,20,0
2020-07-25,koppala,31,666,51,430,221,2,15,0
2020-07-25,mysuru,187,2637,59,808,1722,8,107,0
2020-07-25,others*,0,36,0,32,1,0,3,0
2020-07-25,raichuru,68,1571,43,794,759,0,18,0
2020-07-25,ramanagara,20,619,0,195,414,0,10,0
2020-07-25,shivamogga,42,1122,0,424,678,2,20,0
2020-07-25,tumakuru,27,939,6,312,591,1,36,0
2020-07-25,udupi,182,3218,79,1997,1207,0,14,0
2020-07-25,uttara kannada,155,1661,55,806,841,0,14,0
2020-07-25,vijayapura,175,2163,194,1581,558,0,24,0
2020-07-25,yadagiri,68,1932,21,1528,402,1,2,0
2020-07-26,bagalakote,41,1266,153,630,598,2,38,0
2020-07-26,ballari,579,4090,17,1557,2464,0,69,0
2020-07-26,belagavi,163,2149,173,642,1461,6,46,0
2020-07-26,bengaluru rural,213,1633,0,247,1377,0,9,0
2020-07-26,bengaluru urban,1950,45453,647,11405,33156,29,891,1
2020-07-26,bidar,77,1866,32,1228,567,0,67,4
2020-07-26,chamarajanagara,28,505,20,270,229,0,6,0
2020-07-26,chikkaballapura,81,1430,37,585,814,2,30,1
2020-07-26,chikkamagaluru,61,679,5,374,287,1,18,0
2020-07-26,chitradurga,53,401,0,134,261,0,6,0
2020-07-26,dakshina kannada,199,4806,147,2058,2642,7,104,2
2020-07-26,davanagere,89,1423,57,867,520,3,36,0
2020-07-26,dharwada,165,3190,56,1222,1873,6,95,0
2020-07-26,gadag,61,1004,26,354,628,2,22,0
2020-07-26,hassana,164,1672,0,753,877,3,42,0
2020-07-26,haveri,47,759,5,457,279,0,23,0
2020-07-26,kalaburagi,152,3864,132,2198,1602,6,64,0
2020-07-26,kodagu,20,342,10,246,91,0,5,0
2020-07-26,kolara,49,911,8,358,533,0,20,0
2020-07-26,koppala,40,706,29,459,232,0,15,0
2020-07-26,mysuru,230,2867,15,823,1932,5,112,0
2020-07-26,others*,0,36,0,32,1,0,3,0
2020-07-26,raichuru,131,1702,22,816,868,0,18,0
2020-07-26,ramanagara,15,634,0,195,429,0,10,0
2020-07-26,shivamogga,39,1161,67,491,649,1,21,0
2020-07-26,tumakuru,46,985,0,312,632,5,41,0
2020-07-26,udupi,169,3387,125,2122,1251,0,14,0
2020-07-26,uttara kannada,85,1746,91,897,833,2,16,0
2020-07-26,vijayapura,132,2295,143,1724,546,1,25,0
2020-07-26,yadagiri,56,1988,46,1574,412,0,2,0
2020-07-27,bagalakote,27,1293,13,643,610,2,40,0
2020-07-27,ballari,840,4930,43,1600,3258,3,72,0
2020-07-27,belagavi,155,2304,38,680,1572,6,52,0
2020-07-27,bengaluru rural,138,1771,0,247,1514,1,10,0
2020-07-27,bengaluru urban,1470,46923,784,12189,33816,26,917,1
2020-07-27,bidar,42,1908,80,1308,528,1,68,4
2020-07-27,chamarajanagara,16,521,18,288,227,0,6,0
2020-07-27,chikkaballapura,40,1470,29,614,825,0,30,1
2020-07-27,chikkamagaluru,26,705,3,377,309,1,19,0
2020-07-27,chitradurga,51,452,12,146,300,0,6,0
2020-07-27,dakshina kannada,119,4925,80,2138,2672,9,113,2
2020-07-27,davanagere,110,1533,60,927,569,1,37,0
2020-07-27,dharwada,193,3383,55,1277,2003,8,103,0
2020-07-27,gadag,63,1067,28,382,662,1,23,0
2020-07-27,hassana,66,1738,58,811,884,1,43,0
2020-07-27,haveri,27,786,23,480,282,1,24,0
2020-07-27,kalaburagi,631,4495,73,2271,2158,2,66,0
2020-07-27,kodagu,10,352,7,253,94,0,5,0
2020-07-27,kolara,142,1053,0,358,673,2,22,0
2020-07-27,koppala,28,734,48,507,211,1,16,0
2020-07-27,mysuru,296,3163,73,896,2152,3,115,0
2020-07-27,others*,0,36,0,32,1,0,3,0
2020-07-27,raichuru,120,1822,142,958,844,2,20,0
2020-07-27,ramanagara,62,696,0,195,491,0,10,0
2020-07-27,shivamogga,76,1237,0,491,724,1,22,0
2020-07-27,tumakuru,89,1074,15,327,706,0,41,0
2020-07-27,udupi,225,3612,51,2173,1425,0,14,0
2020-07-27,uttara kannada,32,1778,89,986,775,1,17,0
2020-07-27,vijayapura,110,2405,20,1744,634,2,27,0
2020-07-27,yadagiri,64,2052,5,1579,471,0,2,0
2020-07-28,bagalakote,115,1408,87,730,636,2,42,0
2020-07-28,ballari,452,5382,529,2129,3181,0,72,0
2020-07-28,belagavi,228,2532,34,714,1760,6,58,0
2020-07-28,bengaluru rural,107,1878,0,247,1621,0,10,0
2020-07-28,bengaluru urban,1898,48821,572,12761,35102,40,957,1
2020-07-28,bidar,39,1947,49,1357,516,2,70,4
2020-07-28,chamarajanagara,52,573,31,319,248,0,6,0
2020-07-28,chikkaballapura,72,1542,152,766,742,3,33,1
2020-07-28,chikkamagaluru,55,760,10,387,353,1,20,0
2020-07-28,chitradurga,66,518,0,146,366,0,6,0
2020-07-28,dakshina kannada,173,5098,200,2338,2642,3,116,2
2020-07-28,davanagere,135,1668,36,963,664,4,41,0
2020-07-28,dharwada,173,3556,56,1333,2114,6,109,0
2020-07-28,gadag,73,1140,56,438,677,2,25,0
2020-07-28,hassana,108,1846,33,844,954,5,48,0
2020-07-28,haveri,40,826,21,501,301,0,24,0
2020-07-28,kalaburagi,283,4778,39,2310,2396,6,72,0
2020-07-28,kodagu,2,354,13,266,82,1,6,0
2020-07-28,kolara,174,1227,0,358,846,1,23,0
2020-07-28,koppala,144,878,11,518,343,1,17,0
2020-07-28,mysuru,220,3383,115,1011,2249,8,123,0
2020-07-28,others*,0,36,0,32,1,0,3,0
2020-07-28,raichuru,93,1915,131,1089,805,1,21,0
2020-07-28,ramanagara,101,797,117,312,475,0,10,0
2020-07-28,shivamogga,54,1291,61,552,717,0,22,0
2020-07-28,tumakuru,207,1281,57,384,855,1,42,0
2020-07-28,udupi,109,3721,55,2228,1472,7,21,0
2020-07-28,uttara kannada,47,1825,85,1071,736,1,18,0
2020-07-28,vijayapura,153,2558,201,1945,585,1,28,0
2020-07-28,yadagiri,67,2119,12,1591,526,0,2,0
2020-07-29,bagalakote,57,1465,21,751,670,2,44,0
2020-07-29,ballari,338,5720,100,2229,3417,2,74,0
2020-07-29,belagavi,279,2811,67,781,1969,3,61,0
2020-07-29,bengaluru rural,49,1927,0,247,1670,0,10,0
2020-07-29,bengaluru urban,2270,51091,1118,13879,36224,30,987,1
2020-07-29,bidar,91,2038,0,1357,606,1,71,4
2020-07-29,chamarajanagara,20,593,15,334,253,0,6,0
2020-07-29,chikkaballapura,96,1638,95,861,742,1,34,1
2020-07-29,chikkamagaluru,33,793,9,396,377,0,20,0
2020-07-29,chitradurga,52,570,14,160,404,0,6,0
2020-07-29,dakshina kannada,208,5306,118,2456,2725,7,123,2
2020-07-29,davanagere,225,1893,18,981,867,4,45,0
2020-07-29,dharwada,175,3731,180,1513,2102,7,116,0
2020-07-29,gadag,61,1201,10,448,725,3,28,0
2020-07-29,hassana,95,1941,0,844,1045,4,52,0
2020-07-29,haveri,50,876,2,503,349,0,24,0
2020-07-29,kalaburagi,168,4946,119,2429,2435,10,82,0
2020-07-29,kodagu,8,362,0,266,90,0,6,0
2020-07-29,kolara,34,1261,0,358,880,0,23,0
2020-07-29,koppala,84,962,49,567,377,1,18,0
2020-07-29,mysuru,200,3583,134,1145,2310,5,128,0
2020-07-29,others*,0,36,0,32,1,0,3,0
2020-07-29,raichuru,73,1988,31,1120,845,2,23,0
2020-07-29,ramanagara,56,853,0,312,531,0,10,0
2020-07-29,shivamogga,131,1422,30,582,818,0,22,0
2020-07-29,tumakuru,128,1409,11,395,969,3,45,0
2020-07-29,udupi,173,3894,83,2311,1558,4,25,0
2020-07-29,uttara kannada,75,1900,106,1177,703,2,20,0
2020-07-29,vijayapura,90,2648,39,1984,635,1,29,0
2020-07-29,yadagiri,114,2233,28,1619,612,0,2,0
2020-07-30,bagalakote,126,1591,55,806,739,2,46,0
2020-07-30,ballari,343,6063,337,2566,3423,0,74,0
2020-07-30,belagavi,202,3013,50,831,2117,4,65,0
2020-07-30,bengaluru rural,224,2151,0,247,1894,0,10,0
2020-07-30,bengaluru urban,2233,53324,1912,15791,36523,22,1009,1
2020-07-30,bidar,69,2107,44,1401,629,2,73,4
2020-07-30,chamarajanagara,32,625,30,364,255,0,6,0
2020-07-30,chikkaballapura,82,1720,176,1037,648,0,34,1
2020-07-30,chikkamagaluru,126,919,30,426,472,1,21,0
2020-07-30,chitradurga,47,617,0,160,451,0,6,0
2020-07-30,dakshina kannada,198,5504,105,2561,2811,7,130,2
2020-07-30,davanagere,86,1979,85,1066,867,1,46,0
2020-07-30,dharwada,180,3911,152,1665,2122,8,124,0
2020-07-30,gadag,88,1289,19,467,793,1,29,0
2020-07-30,hassana,94,2035,21,865,1112,6,58,0
2020-07-30,haveri,58,934,18,521,388,1,25,0
2020-07-30,kalaburagi,220,5166,124,2553,2524,7,89,0
2020-07-30,kodagu,24,386,0,266,114,0,6,0
2020-07-30,kolara,32,1293,90,448,820,2,25,0
2020-07-30,koppala,78,1040,10,577,444,1,19,0
2020-07-30,mysuru,430,4013,70,1215,2661,9,137,0
2020-07-30,others*,0,36,0,32,1,0,3,0
2020-07-30,raichuru,166,2154,191,1311,820,0,23,0
2020-07-30,ramanagara,106,959,0,312,637,0,10,0
2020-07-30,shivamogga,143,1565,0,582,960,1,23,0
2020-07-30,tumakuru,104,1513,60,455,1012,1,46,0
2020-07-30,udupi,248,4142,61,2372,1741,4,29,0
2020-07-30,uttara kannada,120,2020,50,1227,771,2,22,0
2020-07-30,vijayapura,124,2772,30,2014,729,0,29,0
2020-07-30,yadagiri,58,2291,23,1642,646,1,3,0
2020-07-31,bagalakote,88,1679,0,806,826,1,47,0
2020-07-31,ballari,340,6403,148,2710,3619,0,74,0
2020-07-31,belagavi,217,3230,88,918,2242,5,70,0
2020-07-31,bengaluru rural,105,2256,193,443,1803,0,10,0
2020-07-31,bengaluru urban,2220,55544,1113,16896,37618,20,1029,1
2020-07-31,bidar,104,2211,74,1474,658,2,75,4
2020-07-31,chamarajanagara,44,669,36,400,262,1,7,0
2020-07-31,chikkaballapura,48,1768,46,1078,655,0,34,1
2020-07-31,chikkamagaluru,74,993,5,428,544,0,21,0
2020-07-31,chitradurga,35,652,27,186,460,0,6,0
2020-07-31,dakshina kannada,204,5708,70,2626,2940,10,140,2
2020-07-31,davanagere,122,2101,136,1202,851,2,48,0
2020-07-31,dharwada,180,4091,64,1729,2231,7,131,0
2020-07-31,gadag,92,1381,24,490,859,3,32,0
2020-07-31,hassana,100,2135,20,884,1192,1,59,0
2020-07-31,haveri,57,991,34,553,413,0,25,0
2020-07-31,kalaburagi,144,5310,148,2702,2513,6,95,0
2020-07-31,kodagu,30,416,23,288,119,3,9,0
2020-07-31,kolara,32,1325,42,490,810,0,25,0
2020-07-31,koppala,38,1078,18,595,464,0,19,0
2020-07-31,mysuru,204,4217,302,1517,2558,5,142,0
2020-07-31,others*,0,36,0,33,0,0,3,0
2020-07-31,raichuru,119,2273,46,1356,892,2,25,0
2020-07-31,ramanagara,89,1048,0,312,725,1,11,0
2020-07-31,shivamogga,158,1723,0,575,1121,4,27,0
2020-07-31,tumakuru,95,1608,9,464,1094,4,50,0
2020-07-31,udupi,213,4355,54,2428,1898,0,29,0
2020-07-31,uttara kannada,92,2112,82,1309,780,1,23,0
2020-07-31,vijayapura,118,2890,49,2061,795,5,34,0
2020-07-31,yadagiri,56,2347,237,1879,464,1,4,0
2020-08-01,bagalakote,134,1813,101,907,859,0,47,0
2020-08-01,ballari,269,6672,408,3118,3479,1,75,0
2020-08-01,belagavi,219,3449,51,969,2406,4,74,0
2020-08-01,bengaluru rural,93,2349,89,532,1807,0,10,0
2020-08-01,bengaluru urban,1852,57396,1683,18579,37760,27,1056,1
2020-08-01,bidar,52,2263,61,1535,645,4,79,4
2020-08-01,chamarajanagara,43,712,15,415,290,0,7,0
2020-08-01,chikkaballapura,72,1840,24,1102,702,1,35,1
2020-08-01,chikkamagaluru,57,1050,1,429,600,0,21,0
2020-08-01,chitradurga,60,712,72,258,445,3,9,0
2020-08-01,dakshina kannada,139,5847,54,2680,3017,8,148,2
2020-08-01,davanagere,108,2209,188,1390,767,4,52,0
2020-08-01,dharwada,184,4275,50,1779,2357,8,139,0
2020-08-01,gadag,99,1480,43,533,913,2,34,0
2020-08-01,hassana,146,2281,0,884,1336,2,61,0
2020-08-01,haveri,52,1043,12,565,453,0,25,0
2020-08-01,kalaburagi,219,5529,130,2832,2597,5,100,0
2020-08-01,kodagu,35,451,0,288,154,0,9,0
2020-08-01,kolara,39,1364,0,490,849,0,25,0
2020-08-01,koppala,107,1185,71,666,498,2,21,0
2020-08-01,mysuru,365,4582,74,1591,2840,9,151,0
2020-08-01,others*,0,36,0,33,0,0,3,0
2020-08-01,raichuru,109,2382,115,1471,886,0,25,0
2020-08-01,ramanagara,51,1099,0,312,776,0,11,0
2020-08-01,shivamogga,119,1842,131,706,1105,4,31,0
2020-08-01,tumakuru,99,1707,225,689,966,2,52,0
2020-08-01,udupi,136,4491,100,2528,1928,6,35,0
2020-08-01,uttara kannada,51,2163,65,1374,765,1,24,0
2020-08-01,vijayapura,129,3019,55,2116,868,1,35,0
2020-08-01,yadagiri,39,2386,15,1894,485,3,7,0
2020-08-02,bagalakote,131,1944,60,967,928,2,49,0
2020-08-02,ballari,377,7049,105,3223,3749,2,77,0
2020-08-02,belagavi,172,3621,56,1025,2521,1,75,0
2020-08-02,bengaluru rural,38,2387,0,532,1845,0,10,0
2020-08-02,bengaluru urban,2105,59501,2331,20910,37513,21,1077,1
2020-08-02,bidar,135,2398,45,1580,735,0,79,4
2020-08-02,chamarajanagara,31,743,48,463,271,2,9,0
2020-08-02,chikkaballapura,55,1895,65,1167,691,1,36,1
2020-08-02,chikkamagaluru,40,1090,11,440,628,1,22,0
2020-08-02,chitradurga,46,758,0,258,491,0,9,0
2020-08-02,dakshina kannada,163,6010,45,2725,3125,10,158,2
2020-08-02,davanagere,178,2387,89,1479,853,3,55,0
2020-08-02,dharwada,181,4456,67,1846,2463,8,147,0
2020-08-02,gadag,88,1568,6,539,992,3,37,0
2020-08-02,hassana,142,2423,135,1019,1341,2,63,0
2020-08-02,haveri,146,1189,34,599,565,0,25,0
2020-08-02,kalaburagi,238,5767,117,2949,2712,6,106,0
2020-08-02,kodagu,16,467,0,288,170,0,9,0
2020-08-02,kolara,51,1415,59,549,841,0,25,0
2020-08-02,koppala,87,1272,29,695,554,2,23,0
2020-08-02,mysuru,238,4820,101,1692,2967,10,161,0
2020-08-02,others*,0,36,0,33,0,0,3,0
2020-08-02,raichuru,212,2594,153,1624,943,2,27,0
2020-08-02,ramanagara,71,1170,93,405,754,0,11,0
2020-08-02,shivamogga,99,1941,26,732,1174,4,35,0
2020-08-02,tumakuru,35,1742,150,839,851,0,52,0
2020-08-02,udupi,182,4673,78,2606,2032,0,35,0
2020-08-02,uttara kannada,26,2189,71,1445,720,0,24,0
2020-08-02,vijayapura,113,3132,68,2184,912,1,36,0
2020-08-02,yadagiri,39,2425,9,1903,515,0,7,0
2020-08-03,bagalakote,209,2153,64,1031,1073,0,49,0
2020-08-03,ballari,305,7354,18,3241,4034,2,79,0
2020-08-03,belagavi,60,3681,29,1054,2542,10,85,0
2020-08-03,bengaluru rural,2,2389,116,648,1731,0,10,0
2020-08-03,bengaluru urban,1497,60998,2693,23603,36290,27,1104,1
2020-08-03,bidar,50,2448,90,1670,692,3,82,4
2020-08-03,chamarajanagara,52,795,31,494,291,1,10,0
2020-08-03,chikkaballapura,58,1953,90,1257,657,2,38,1
2020-08-03,chikkamagaluru,46,1136,53,493,621,0,22,0
2020-08-03,chitradurga,33,791,0,258,524,0,9,0
2020-08-03,dakshina kannada,153,6163,124,2849,3147,7,165,2
2020-08-03,davanagere,41,2428,82,1561,810,2,57,0
2020-08-03,dharwada,191,4647,88,1934,2558,8,155,0
2020-08-03,gadag,100,1668,40,578,1051,2,39,0
2020-08-03,hassana,131,2554,0,1019,1467,5,68,0
2020-08-03,haveri,99,1288,53,652,609,2,27,0
2020-08-03,kalaburagi,170,5937,369,3318,2508,5,111,0
2020-08-03,kodagu,39,506,32,320,177,0,9,0
2020-08-03,kolara,40,1455,0,549,881,0,25,0
2020-08-03,koppala,157,1429,18,713,693,0,23,0
2020-08-03,mysuru,372,5192,374,2066,2952,13,174,0
2020-08-03,others*,0,36,0,33,0,0,3,0
2020-08-03,raichuru,115,2709,141,1765,916,1,28,0
2020-08-03,ramanagara,68,1238,0,405,822,0,11,0
2020-08-03,shivamogga,155,2096,0,732,1329,0,35,0
2020-08-03,tumakuru,122,1864,20,859,950,3,55,0
2020-08-03,udupi,126,4799,122,2728,2035,1,36,0
2020-08-03,uttara kannada,31,2220,64,1509,686,1,25,0
2020-08-03,vijayapura,92,3224,9,2193,993,2,38,0
2020-08-03,yadagiri,86,2511,12,1915,588,1,8,0
2020-08-04,bagalakote,144,2297,28,1059,1188,1,50,0
2020-08-04,ballari,284,7638,483,3724,3830,5,84,0
2020-08-04,belagavi,263,3944,28,1082,2776,1,86,0
2020-08-04,bengaluru rural,82,2471,56,704,1757,0,10,0
2020-08-04,bengaluru urban,2035,63033,4274,27877,34021,30,1134,1
2020-08-04,bidar,114,2562,22,1692,781,3,85,4
2020-08-04,chamarajanagara,57,852,23,517,322,3,13,0
2020-08-04,chikkaballapura,171,2124,31,1288,795,2,40,1
2020-08-04,chikkamagaluru,63,1199,23,516,659,2,24,0
2020-08-04,chitradurga,12,803,79,337,454,3,12,0
2020-08-04,dakshina kannada,225,6388,73,2918,3290,13,178,2
2020-08-04,davanagere,191,2619,93,1654,903,5,62,0
2020-08-04,dharwada,188,4835,293,2226,2446,8,163,0
2020-08-04,gadag,96,1764,55,633,1091,1,40,0
2020-08-04,hassana,188,2742,44,1063,1609,2,70,0
2020-08-04,haveri,157,1445,16,668,749,1,28,0
2020-08-04,kalaburagi,285,6222,152,3470,2639,2,113,0
2020-08-04,kodagu,31,537,0,320,208,0,9,0
2020-08-04,kolara,46,1501,38,587,889,0,25,0
2020-08-04,koppala,163,1592,33,746,822,1,24,0
2020-08-04,mysuru,662,5854,164,2230,3441,9,183,0
2020-08-04,others*,0,36,0,33,0,0,3,0
2020-08-04,raichuru,144,2853,116,1881,942,2,30,0
2020-08-04,ramanagara,65,1303,259,664,628,0,11,0
2020-08-04,shivamogga,15,2111,43,775,1297,4,39,0
2020-08-04,tumakuru,78,1942,59,918,968,1,56,0
2020-08-04,udupi,170,4969,161,2889,2038,6,42,0
2020-08-04,uttara kannada,57,2277,0,1509,743,0,25,0
2020-08-04,vijayapura,71,3295,78,2271,985,1,39,0
2020-08-04,yadagiri,76,2587,13,1928,649,2,10,0
2020-08-05,bagalakote,149,2446,42,1101,1295,0,50,0
2020-08-05,ballard,631,8269,152,3876,4309,0,84,0
2020-08-05,belagavi,293,4237,52,1134,3013,4,90,0
2020-08-05,bengaluru rural,110,2581,40,744,1827,0,10,0
2020-08-05,bengaluru urban,1848,64881,3083,30960,32757,29,1163,1
2020-08-05,bidar,52,2614,14,1706,817,2,87,4
2020-08-05,chamarajanagara,38,890,28,545,332,0,13,0
2020-08-05,chikkaballapura,129,2253,62,1350,862,0,40,1
2020-08-05,chikkamagaluru,48,1247,19,535,687,1,25,0
2020-08-05,chitradurga,24,827,42,379,436,0,12,0
2020-08-05,dakshina kannada,149,6537,82,3000,3347,10,188,2
2020-08-05,davanagere,224,2843,91,1745,1030,6,68,0
2020-08-05,dharawada,199,5034,279,2505,2365,1,164,0
2020-08-05,gadaga,78,1842,108,741,1060,1,41,0
2020-08-05,hassana,137,2879,82,1145,1662,2,72,0
2020-08-05,haveri,71,1516,39,707,779,2,30,0
2020-08-05,kalaburagi,197,6419,353,3823,2479,4,117,0
2020-08-05,kodagu,13,550,19,339,201,1,10,0
2020-08-05,kolara,49,1550,150,737,784,4,29,0
2020-08-05,koppala,154,1746,25,771,948,3,27,0
2020-08-05,mysuru,261,6115,112,2342,3579,11,194,0
2020-08-05,others*,0,36,0,33,0,0,3,0
2020-08-05,raichuru,91,2944,110,1991,921,2,32,0
2020-08-05,ramanagara,45,1348,14,678,659,0,11,0
2020-08-05,shivamogga,35,2146,41,816,1285,6,45,0
2020-08-05,tumukuru,31,1973,9,927,986,4,60,0
2020-08-05,udupi,173,5142,89,2978,2120,2,44,0
2020-08-05,uttara kannada,125,2402,78,1587,790,0,25,0
2020-08-05,vijayapura,66,3361,63,2334,988,0,39,0
2020-08-05,yadagiri,76,2663,39,1967,684,2,12,0
2020-08-06,1  bengaluru urban,2544,67425,2972,33932,32314,15,1178,1
2020-08-06,11  dakshina kannada,173,6710,107,3107,3402,11,199,2
2020-08-06,18  chikkaballapura,117,2370,14,1364,964,1,41,1
2020-08-06,21  chamarajanagara,95,985,21,566,405,1,14,0
2020-08-06,22  uttara kannada,77,2479,72,1659,794,1,26,0
2020-08-06,24  chikkamagaluru,59,1306,30,565,716,0,25,0
2020-08-06,30  bengaluru rural,34,2615,32,776,1829,0,10,0
2020-08-06,4  shivamogga,292,2438,99,915,1475,3,48,0
2020-08-06,7  dharawada,212,5246,341,2846,2228,8,172,0
2020-08-06,8  davanagere,197,3040,97,1842,1122,8,76,0
2020-08-06,9  kalaburagi,196,6615,230,4053,2440,5,122,0
2020-08-07,1  bengaluru urban,2147,69572,1131,35063,33308,22,1200,1
2020-08-07,10  dakshina kannada,166,6876,188,3295,3373,7,206,2
2020-08-07,15  uttara kannada,120,2599,78,1737,836,0,26,0
2020-08-07,16  bengaluru rural,119,2734,20,796,1928,0,10,0
2020-08-07,26  chikkamagaluru,65,1371,21,586,758,2,27,0
2020-08-07,27  chikkaballapura,64,2434,49,1413,978,1,42,1
2020-08-07,28  chamarajanagara,63,1048,27,593,440,1,15,0
2020-08-07,4  kalaburagi,271,6886,203,4256,2501,7,129,0
2020-08-07,5  dharawada,266,5512,121,2967,2364,9,181,0
2020-08-08,bagalakote,149,2911,376,1594,1266,0,51,0
2020-08-08,ballari,607,9991,180,5106,4783,9,102,0
2020-08-08,belagavi,302,5158,378,1608,3456,1,94,0
2020-08-08,bengaluru rural,66,2800,14,810,1980,0,10,0
2020-08-08,bengaluru urban,2665,72237,2229,37292,33726,18,1218,1
2020-08-08,bidar,47,2843,18,1850,896,2,93,4
2020-08-08,chamarajanagara,62,1110,40,633,459,3,18,0
2020-08-08,chikkaballapura,66,2500,70,1483,974,0,42,1
2020-08-08,chikkamagaluru,89,1460,35,621,810,2,29,0
2020-08-08,chitradurga,63,1005,21,480,513,0,12,0
2020-08-08,dakshina kannada,194,7070,183,3478,3378,6,212,2
2020-08-08,davanagere,132,3283,61,2109,1094,2,80,0
2020-08-08,dharawada,261,5773,183,3150,2436,6,187,0
2020-08-08,gadaga,94,2165,78,1046,1073,1,46,0
2020-08-08,hassana,133,3308,0,1171,2046,6,91,0
2020-08-08,haveri,95,1765,43,953,778,2,34,0
