date,unit_name,ppe,n95_masks,reusable_masks,disposable_masks,gloves,sanitizer
2021-06-23,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-23,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-23,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-23,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-23,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-23,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-23,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-23,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-23,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-23,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-23,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-23,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-23,malda,26100,23200,26000,87100,97700,7151.0
2021-06-23,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-23,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-23,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-23,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-23,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-23,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-23,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-23,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-23,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-23,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-23,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-23,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-23,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-23,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-23,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-23,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-23,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-23,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-23,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-23,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-23,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-23,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-23,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-23,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-23,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-23,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-23,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-23,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-23,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-23,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-23,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-23,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-23,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-23,stock in hand-in transit,266865,2065034,514313,1565270,1569820,85569.0
2021-06-23,,3118262,5805040,2447359,11630208,11433210,559789.0
2021-06-22,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-22,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-22,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-22,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-22,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-22,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-22,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-22,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-22,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-22,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-22,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-22,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-22,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-22,malda,26100,23200,26000,87100,97700,7151.0
2021-06-22,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-22,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-22,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-22,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-22,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-22,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-22,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-22,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-22,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-22,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-22,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-22,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-22,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-22,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-22,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-22,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-22,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-22,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-22,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-22,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-22,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-22,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-22,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-22,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-22,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-22,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-22,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-22,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-22,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-22,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-22,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-22,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-22,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-22,stock in hand-in transit,264865,2055034,514313,1545270,1549820,84569.0
2021-06-22,,3116262,5795040,2447359,11610208,11413210,558789.0
2021-06-21,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-21,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-21,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-21,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-21,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-21,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-21,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-21,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-21,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-21,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-21,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-21,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-21,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-21,malda,26100,23200,26000,87100,97700,7151.0
2021-06-21,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-21,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-21,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-21,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-21,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-21,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-21,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-21,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-21,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-21,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-21,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-21,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-21,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-21,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-21,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-21,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-21,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-21,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-21,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-21,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-21,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-21,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-21,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-21,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-21,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-21,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-21,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-21,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-21,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-21,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-21,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-21,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-21,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-21,stock in hand-in transit,262865,2045034,514313,1525270,1529820,83569.0
2021-06-21,,3114262,5785040,2447359,11590208,11393210,557789.0
2021-06-20,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-20,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-20,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-20,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-20,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-20,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-20,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-20,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-20,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-20,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-20,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-20,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-20,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-20,malda,26100,23200,26000,87100,97700,7151.0
2021-06-20,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-20,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-20,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-20,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-20,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-20,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-20,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-20,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-20,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-20,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-20,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-20,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-20,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-20,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-20,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-20,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-20,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-20,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-20,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-20,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-20,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-20,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-20,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-20,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-20,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-20,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-20,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-20,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-20,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-20,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-20,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-20,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-20,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-20,stock in hand-in transit,260865,2035034,514313,1505270,1509820,82569.0
2021-06-20,,3112262,5775040,2447359,11570208,11373210,556789.0
2021-06-19,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-19,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-19,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-19,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-19,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-19,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-19,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-19,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-19,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-19,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-19,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-19,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-19,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-19,malda,26100,23200,26000,87100,97700,7151.0
2021-06-19,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-19,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-19,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-19,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-19,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-19,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-19,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-19,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-19,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-19,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-19,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-19,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-19,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-19,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-19,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-19,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-19,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-19,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-19,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-19,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-19,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-19,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-19,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-19,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-19,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-19,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-19,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-19,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-19,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-19,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-19,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-19,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-19,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-19,stock in hand-in transit,258865,2025034,514313,1485270,1489820,81569.0
2021-06-19,,3110262,5765040,2447359,11550208,11353210,555789.0
2021-06-18,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-18,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-18,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-18,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-18,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-18,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-18,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-18,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-18,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-18,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-18,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-18,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-18,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-18,malda,26100,23200,26000,87100,97700,7151.0
2021-06-18,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-18,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-18,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-18,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-18,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-18,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-18,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-18,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-18,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-18,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-18,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-18,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-18,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-18,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-18,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-18,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-18,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-18,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-18,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-18,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-18,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-18,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-18,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-18,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-18,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-18,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-18,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-18,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-18,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-18,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-18,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-18,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-18,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-18,stock in hand-in transit,256865,2015034,514313,1465270,1469820,80569.0
2021-06-18,,3108262,5755040,2447359,11530208,11333210,554789.0
2021-06-17,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-17,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-17,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-17,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-17,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-17,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-17,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-17,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-17,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-17,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-17,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-17,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-17,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-17,malda,26100,23200,26000,87100,97700,7151.0
2021-06-17,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-17,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-17,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-17,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-17,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-17,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-17,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-17,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-17,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-17,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-17,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-17,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-17,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-17,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-17,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-17,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-17,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-17,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-17,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-17,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-17,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-17,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-17,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-17,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-17,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-17,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-17,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-17,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-17,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-17,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-17,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-17,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-17,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-17,stock in hand-in transit,254865,2005034,514313,1445270,1449820,79569.0
2021-06-17,,3106262,5745040,2447359,11510208,11313210,553789.0
2021-06-16,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-16,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-16,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-16,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-16,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-16,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-16,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-16,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-16,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-16,howrah,125265,91432,66580,410165,27842,11339.0
