date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2020-07-04,45.0,1021.0,76878.0,3093.0,2502.0,42.0,522.0,
2020-07-05,31.0,838.0,78306.0,3124.0,2524.0,42.0,530.0,
2020-07-06,37.0,1175.0,79605.0,3161.0,2586.0,42.0,505.0,
2020-07-07,69.0,1632.0,81447.0,3230.0,2621.0,43.0,538.0,
2020-07-08,28.0,1968.0,83900.0,3258.0,2650.0,46.0,534.0,
2020-07-09,47.0,2097.0,86458.0,3305.0,2672.0,46.0,558.0,
2020-07-10,68.0,2114.0,89179.0,3373.0,2706.0,46.0,592.0,
2020-07-11,45.0,2009.0,92198.0,3417.0,2718.0,46.0,623.0,
2020-07-12,120.0,1739.0,94121.0,3537.0,2786.0,47.0,674.0,
2020-07-13,71.0,1867.0,96123.0,3608.0,2856.0,49.0,671.0,
2020-07-14,78.0,2595.0,98878.0,3686.0,2867.0,50.0,736.0,
2020-07-15,104.0,2985.0,102529.0,3785.0,2948.0,50.0,754.0,
2020-07-17,120.0,3617.0,113846.0,4102.0,3021.0,51.0,996.0,
2020-07-18,174.0,2653.0,116694.0,4276.0,3081.0,52.0,1108.0,
2020-07-19,239.0,2573.0,119345.0,4515.0,3116.0,52.0,1311.0,
2020-07-20,127.0,3625.0,123000.0,4642.0,3212.0,55.0,1338.0,
2020-07-21,210.0,3875.0,127098.0,4849.0,3297.0,55.0,1459.0,
2020-07-22,451.0,2966.0,129783.0,5300.0,3349.0,57.0,1856.0,
2020-07-24,272.0,3070.0,135447.0,5717.0,3441.0,62.0,2176.0,
2020-07-25,244.0,3465.0,139229.0,5961.0,3495.0,63.0,2365.0,
2020-07-26,143.0,2379.0,141431.0,6104.0,3566.0,63.0,2437.0,
2020-07-27,224.0,3349.0,145627.0,6328.0,3675.0,66.0,2549.0,
2020-07-28,259.0,3647.0,150065.0,6587.0,3720.0,70.0,2759.0,
2020-07-29,279.0,3780.0,154984.0,6866.0,3811.0,72.0,2945.0,
2020-07-30,199.0,5285.0,163683.0,7065.0,3996.0,76.0,2955.0,
2020-07-31,118.0,3964.0,168113.0,7183.0,4168.0,80.0,2897.0,
2020-08-01,264.0,4134.0,172477.0,7447.0,4330.0,83.0,2996.0,
2020-08-02,146.0,3083.0,175881.0,7593.0,4437.0,86.0,3032.0,
2020-08-03,207.0,2668.0,178595.0,7800.0,4538.0,90.0,3134.0,
2020-08-04,208.0,3964.0,182335.0,8008.0,4847.0,95.0,3028.0,
2020-08-05,246.0,4779.0,186966.0,8254.0,5233.0,98.0,2885.0,
2020-08-06,298.0,3932.0,190898.0,8552.0,5427.0,98.0,2989.0,
2020-08-07,278.0,5279.0,199081.0,8901.0,5731.0,112.0,3020.0,
2020-08-08,501.0,4743.0,205565.0,9402.0,5963.0,117.0,3283.0,
2020-08-09,230.0,4062.0,209627.0,9632.0,6134.0,125.0,3334.0,
2020-08-10,389.0,5140.0,218838.0,10021.0,6301.0,134.0,3547.0,
2020-08-11,411.0,5114.0,225618.0,10432.0,6470.0,136.0,3787.0,
2020-08-12,439.0,5121.0,232259.0,10886.0,6687.0,140.0,4020.0,
2020-08-13,416.0,6491.0,242150.0,11302.0,7014.0,143.0,4103.0,
2020-08-14,313.0,7186.0,251236.0,11615.0,7502.0,147.0,3924.0,
2020-08-15,325.0,4696.0,256008.0,11940.0,7748.0,151.0,3997.0,
2020-08-16,235.0,5038.0,260790.0,12175.0,8100.0,152.0,3879.0,
2020-08-17,319.0,5053.0,265748.0,12493.0,8485.0,158.0,3806.0,
2020-08-18,497.0,7609.0,273357.0,12961.0,8724.0,164.0,4024.0,
2020-08-19,264.0,6604.0,279961.0,13225.0,9132.0,178.0,3865.0,
2020-08-20,411.0,6369.0,286330.0,13636.0,9433.0,187.0,3966.0,
2020-08-21,447.0,7091.0,294279.0,14083.0,9676.0,192.0,4164.0,
2020-08-22,483.0,6952.0,301813.0,14566.0,10021.0,195.0,4296.0,
2020-08-24,412.0,6960.0,316265.0,15529.0,10912.0,207.0,4355.0,
2020-08-25,485.0,8809.0,325384.0,16014.0,11201.0,213.0,4545.0,
2020-08-26,535.0,8794.0,334979.0,16549.0,11524.0,219.0,4749.0,
2020-08-27,728.0,9530.0,348897.0,17277.0,11775.0,228.0,5215.0,
2020-08-28,588.0,10105.0,361389.0,17865.0,12124.0,239.0,5440.0,
2020-08-29,658.0,10796.0,376747.0,18571.0,12524.0,250.0,5735.0,
2020-08-30,664.0,8218.0,384796.0,19235.0,13004.0,257.0,5912.0,
2020-08-31,592.0,8447.0,394015.0,19827.0,13608.0,269.0,5887.0,
2020-09-01,571.0,9940.0,403955.0,20398.0,14012.0,280.0,6042.0,
2020-09-02,836.0,9286.0,413595.0,21234.0,14437.0,291.0,6442.0,
2020-09-03,946.0,9909.0,424156.0,22180.0,14945.0,300.0,6871.0,
2020-09-04,831.0,10821.0,435449.0,23011.0,15447.0,312.0,7187.0,
2020-09-05,950.0,9126.0,445277.0,23961.0,15982.0,330.0,7575.0,
2020-09-06,668.0,8273.0,454027.0,24629.0,16573.0,341.0,7640.0,
2020-09-07,807.0,7721.0,462803.0,25436.0,17046.0,348.0,7965.0,
2020-09-08,658.0,8655.0,472111.0,26094.0,17473.0,360.0,8184.0,
2020-09-09,1061.0,9879.0,482663.0,27211.0,18262.0,372.0,8500.0,
2020-09-10,1015.0,8116.0,491505.0,28226.0,18783.0,377.0,8955.0,
2020-09-11,995.0,8861.0,501880.0,29221.0,19428.0,388.0,9294.0,
2020-09-12,1115.0,8006.0,511129.0,30336.0,20031.0,402.0,9781.0,
2020-09-13,1637.0,7291.0,519869.0,31973.0,21040.0,414.0,10397.0,
2020-09-14,1043.0,7377.0,528897.0,33016.0,22077.0,429.0,10374.0,
2020-09-15,1391.0,9835.0,541910.0,34407.0,23085.0,438.0,10739.0,
2020-09-16,1540.0,9528.0,555071.0,35947.0,24277.0,447.0,11068.0,
2020-09-17,1192.0,9148.0,567169.0,37139.0,24810.0,460.0,11714.0,
2020-09-18,868.0,9805.0,579582.0,38007.0,26095.0,464.0,11293.0,
2020-09-19,2078.0,8778.0,594476.0,40085.0,26973.0,478.0,12465.0,
2020-09-20,878.0,7133.0,605236.0,40963.0,27828.0,491.0,12455.0,
2020-09-21,814.0,8546.0,616986.0,41777.0,29000.0,501.0,12075.0,
2020-09-22,874.0,10891.0,630448.0,42651.0,30107.0,512.0,11831.0,
2020-09-23,1069.0,7698.0,638707.0,43720.0,31123.0,529.0,11867.0,
2020-09-24,684.0,7575.0,648140.0,44404.0,32154.0,542.0,11507.0,
2020-09-25,928.0,8022.0,656974.0,45332.0,33642.0,555.0,10934.0,
2020-09-26,949.0,8082.0,668282.0,46281.0,34649.0,566.0,10856.0,
2020-09-27,764.0,6508.0,679596.0,47045.0,35462.0,574.0,10799.0,
2020-09-28,457.0,7402.0,690421.0,47502.0,36646.0,580.0,10066.0,
2020-09-29,493.0,9330.0,701139.0,47995.0,38059.0,591.0,9122.0,
2020-09-30,1005.0,9985.0,712124.0,49000.0,39035.0,611.0,9111.0,
2020-10-01,365.0,9919.0,721019.0,49248.0,39836.0,625.0,8544.0,
2020-10-02,311.0,8343.0,728436.0,49559.0,40176.0,636.0,8504.0,
2020-10-03,503.0,8630.0,736371.0,50062.0,41095.0,648.0,8076.0,
2020-10-04,1419.0,7373.0,743551.0,51481.0,41487.0,652.0,9089.0,
2020-10-05,510.0,9673.0,753224.0,51991.0,42368.0,669.0,8701.0,
2020-10-06,338.0,10660.0,763884.0,52329.0,42968.0,677.0,8414.0,
2020-10-07,630.0,11509.0,776868.0,52959.0,43631.0,688.0,8367.0,
2020-10-08,400.0,11703.0,789115.0,53359.0,44535.0,702.0,7849.0,
2020-10-09,704.0,10595.0,801966.0,54063.0,45774.0,716.0,7289.0,
2020-10-10,462.0,11272.0,814616.0,54525.0,46186.0,734.0,7321.0,
2020-10-11,526.0,7568.0,822184.0,55051.0,46642.0,747.0,7373.0,
2020-10-12,296.0,9579.0,831812.0,55347.0,47306.0,762.0,6976.0,
2020-10-13,294.0,11866.0,845333.0,55641.0,47971.0,782.0,6576.0,
2020-10-14,429.0,11937.0,858167.0,56070.0,48798.0,796.0,6145.0,
2020-10-15,423.0,11399.0,870458.0,56493.0,49631.0,814.0,5682.0,
2020-10-16,549.0,11692.0,883120.0,57042.0,50155.0,829.0,5692.0,
2020-10-24,359.0,10899.0,979025.0,60155.0,54169.0,984.0,4542.0,
2020-10-25,221.0,8244.0,987364.0,60376.0,54488.0,993.0,4425.0,
2020-10-26,368.0,9161.0,996525.0,60744.0,55188.0,1001.0,4080.0,
2020-10-27,213.0,12233.0,1008758.0,60957.0,55610.0,1007.0,3865.0,
2020-10-28,304.0,13207.0,1021965.0,61261.0,56073.0,1009.0,3696.0,
2020-10-29,305.0,12854.0,1034819.0,61566.0,56529.0,1009.0,3545.0,
2020-10-30,349.0,10844.0,1010617.0,61915.0,56771.0,1011.0,3634.0,
2020-10-31,413.0,10257.0,1022780.0,62328.0,56923.0,1023.0,3883.0,
2020-11-01,222.0,9413.0,1033417.0,62550.0,57101.0,1027.0,3914.0,
2020-11-02,331.0,11090.0,1042666.0,62881.0,57542.0,1029.0,3802.0,
2020-11-03,316.0,11119.0,1055463.0,63197.0,57951.0,1033.0,3705.0,
2020-11-04,388.0,9240.0,1067295.0,63585.0,58221.0,1038.0,3818.0,
2020-11-05,480.0,10598.0,1078499.0,64065.0,58823.0,1047.0,3680.0,
2020-11-06,473.0,11479.0,1090119.0,64538.0,59227.0,1056.0,3736.0,
2020-11-07,498.0,10895.0,1099557.0,65036.0,59564.0,1063.0,3890.0,
2020-11-08,243.0,6571.0,1110511.0,65279.0,59719.0,1065.0,3972.0,
2020-11-09,398.0,11683.0,1120019.0,65677.0,59924.0,1075.0,4149.0,
2020-11-10,328.0,12587.0,1132143.0,66005.0,60429.0,1080.0,3955.0,
2020-11-11,783.0,10887.0,1144534.0,66788.0,60900.0,1086.0,4251.0,
2020-11-12,451.0,9743.0,1155651.0,67239.0,61432.0,1093.0,4156.0,
2020-11-13,467.0,7808.0,1167497.0,67706.0,61732.0,1097.0,4307.0,
2020-11-14,296.0,3198.0,1171730.0,68002.0,61896.0,1102.0,4417.0,
2020-11-15,213.0,3620.0,1175816.0,68215.0,61950.0,1107.0,4565.0,
2020-11-16,243.0,6475.0,1183449.0,68458.0,62555.0,1116.0,4184.0,
2020-11-17,429.0,11162.0,1192023.0,68887.0,62995.0,1119.0,4165.0,
2020-11-18,420.0,11959.0,1202152.0,69307.0,63420.0,1128.0,4147.0,
2020-11-19,386.0,13088.0,1212717.0,69693.0,63808.0,1133.0,4133.0,
2020-11-20,512.0,13048.0,1224223.0,70205.0,64393.0,1138.0,4051.0,
2020-11-21,585.0,12262.0,1236008.0,70790.0,64851.0,1146.0,4166.0,
2020-11-22,466.0,6884.0,1245090.0,71256.0,65102.0,1155.0,4368.0,
2020-11-23,376.0,13176.0,1256524.0,71632.0,65530.0,1162.0,4298.0,
2020-11-24,528.0,13151.0,1267525.0,72160.0,65703.0,1180.0,4631.0,
2020-11-25,482.0,12021.0,1277786.0,72642.0,66147.0,1185.0,4658.0,
2020-11-26,355.0,13470.0,1288946.0,72997.0,66464.0,1196.0,4682.0,
2020-11-27,530.0,14649.0,1301968.0,73527.0,66855.0,1201.0,4812.0,
2020-11-28,424.0,13645.0,1315525.0,73951.0,67197.0,1214.0,4876.0,
2020-11-29,389.0,8523.0,1327314.0,74340.0,67475.0,1222.0,4970.0,
2020-11-30,455.0,10666.0,1340279.0,74795.0,67827.0,1231.0,5059.0,
2020-12-01,473.0,13956.0,1352453.0,75268.0,68365.0,1238.0,4947.0,
2020-12-02,516.0,13587.0,1367575.0,75784.0,68838.0,1251.0,4955.0,
2020-12-03,491.0,12904.0,1380312.0,76275.0,69271.0,1263.0,4967.0,
2020-12-04,618.0,14358.0,1396331.0,76893.0,69831.0,1273.0,4994.0,
2020-12-05,680.0,13727.0,1409056.0,77573.0,70288.0,1281.0,5176.0,
2020-12-06,424.0,7786.0,1424389.0,77997.0,70634.0,1285.0,5223.0,
2020-12-07,512.0,13660.0,1437538.0,78509.0,71105.0,1295.0,5234.0,
2020-12-08,632.0,12816.0,1453671.0,79141.0,71541.0,1307.0,5399.0,
2020-12-09,515.0,14714.0,1464857.0,79656.0,71966.0,1320.0,5456.0,
2020-12-10,830.0,12618.0,1475936.0,80486.0,72479.0,1332.0,5742.0,
2020-12-11,725.0,14975.0,1489651.0,81211.0,72987.0,1341.0,5934.0,
2020-12-12,728.0,12795.0,1503731.0,81939.0,73422.0,1351.0,6207.0,
2020-12-13,490.0,8320.0,1514002.0,82429.0,73818.0,1355.0,6293.0,
2020-12-14,577.0,14154.0,1527416.0,83006.0,74525.0,1361.0,6144.0,
2020-12-15,496.0,14902.0,1540117.0,83502.0,75049.0,1372.0,6089.0,
2020-12-16,567.0,14237.0,1553462.0,84069.0,75547.0,1375.0,6140.0,
2020-12-17,620.0,14427.0,1567251.0,84689.0,76223.0,1384.0,6062.0,
2020-12-18,580.0,15646.0,1586410.0,85269.0,76770.0,1399.0,6067.0,
2020-12-19,584.0,15238.0,1602656.0,85853.0,77326.0,1408.0,6074.0,
2020-12-20,464.0,9112.0,1616842.0,86317.0,77673.0,1413.0,6177.0,
2020-12-21,448.0,13612.0,1633039.0,86765.0,78686.0,1426.0,5584.0,
2020-12-22,611.0,15136.0,1650000.0,87376.0,79341.0,1439.0,5512.0,
2020-12-23,564.0,14742.0,1666855.0,87940.0,79888.0,1447.0,5507.0,
2020-12-24,436.0,12789.0,1681063.0,88376.0,80467.0,1458.0,5331.0,
2020-12-25,468.0,12716.0,1695770.0,88844.0,80738.0,1463.0,5510.0,
2020-12-26,374.0,12770.0,1711094.0,89218.0,81154.0,1476.0,5444.0,
2020-12-27,427.0,9210.0,1722827.0,89645.0,81383.0,1483.0,5625.0,
2020-12-28,205.0,11920.0,1734682.0,89850.0,81688.0,1489.0,5511.0,
2020-12-29,317.0,13541.0,1749909.0,90167.0,82243.0,1495.0,5256.0,
2020-12-30,449.0,13573.0,1764992.0,90616.0,82967.0,1504.0,4963.0,
2020-12-31,304.0,13422.0,1777371.0,90920.0,83506.0,1509.0,4719.0,
2021-01-01,361.0,11965.0,1791371.0,91281.0,83998.0,1515.0,4577.0,
2021-01-02,263.0,10917.0,1805057.0,91544.0,84461.0,1522.0,4364.0,
2021-01-03,267.0,6526.0,1817112.0,91811.0,84705.0,1527.0,4376.0,
2021-01-04,301.0,11476.0,1830267.0,92112.0,85400.0,1535.0,3966.0,
2021-01-05,254.0,11678.0,1842877.0,92366.0,85883.0,1544.0,3717.0,
2021-01-06,227.0,11159.0,1856630.0,92593.0,86298.0,1549.0,3515.0,
2021-01-07,249.0,11374.0,1867428.0,92842.0,86737.0,1555.0,3309.0,
2021-01-08,269.0,12913.0,1881487.0,93111.0,87127.0,1562.0,3179.0,
2021-01-09,287.0,11286.0,1894977.0,93398.0,87370.0,1568.0,3215.0,
2021-01-10,223.0,6623.0,1905558.0,93621.0,87673.0,1573.0,3130.0,
2021-01-11,156.0,11217.0,1915738.0,93777.0,88196.0,1578.0,2753.0,
2021-01-12,184.0,11963.0,1928509.0,93961.0,88472.0,1589.0,2643.0,
2021-01-13,209.0,10442.0,1939315.0,94170.0,88761.0,1593.0,2552.0,
2021-01-14,154.0,8825.0,1947524.0,94324.0,88948.0,1596.0,2510.0,
2021-01-15,141.0,11795.0,1958238.0,94465.0,89182.0,1602.0,2406.0,
2021-01-16,226.0,11424.0,1974851.0,94691.0,89454.0,1606.0,2349.0,
2021-01-17,112.0,5872.0,1983478.0,94803.0,89552.0,1611.0,2354.0,
2021-01-18,120.0,12016.0,1995328.0,94923.0,89882.0,1617.0,2136.0,1961.0
2021-01-19,116.0,13012.0,2005841.0,95039.0,90133.0,1619.0,1992.0,1882.0
2021-01-20,153.0,10852.0,2019442.0,95192.0,90264.0,1622.0,2005.0,
2021-01-21,162.0,12281.0,2030241.0,95354.0,90547.0,1626.0,1876.0,2087.0
2021-01-22,110.0,12985.0,2043087.0,95464.0,90730.0,1629.0,1795.0,2308.0
2021-01-23,122.0,12103.0,2057076.0,95586.0,90942.0,1629.0,1701.0,
2021-01-24,54.0,6508.0,2067575.0,95640.0,90967.0,1631.0,1725.0,
2021-01-25,62.0,12114.0,2078868.0,95702.0,91221.0,1635.0,1523.0,4032.0
2021-01-26,39.0,5544.0,2086012.0,95741.0,91323.0,1636.0,1455.0,
2021-01-27,85.0,9570.0,2095086.0,95826.0,91419.0,1639.0,1439.0,144.0
2021-01-28,82.0,8666.0,2104208.0,95908.0,91597.0,1642.0,1338.0,4827.0
2021-01-29,78.0,8976.0,2116001.0,95986.0,91713.0,1642.0,1289.0,6301.0
2021-01-30,82.0,8830.0,2127358.0,96068.0,91880.0,1643.0,1202.0,2973.0
2021-01-31,61.0,5312.0,2134552.0,96129.0,91966.0,1644.0,1175.0,2437.0
2021-02-01,51.0,7897.0,2142303.0,96180.0,92105.0,1648.0,1081.0,6077.0
2021-02-02,47.0,6775.0,2150398.0,96227.0,92185.0,1651.0,1043.0,5925.0
2021-02-03,54.0,7771.0,2159724.0,96281.0,92280.0,1655.0,997.0,10723.0
2021-02-04,103.0,6605.0,2167413.0,96384.0,92372.0,1659.0,1002.0,8705.0
2021-02-05,47.0,6657.0,2175808.0,96431.0,92469.0,1662.0,945.0,7434.0
2021-02-06,47.0,6455.0,2184998.0,96478.0,92519.0,1664.0,937.0,3470.0
2021-02-07,15.0,3867.0,2190489.0,96493.0,92554.0,1668.0,912.0,845.0
2021-02-08,43.0,7158.0,2195969.0,96536.0,92696.0,1671.0,808.0,4676.0
2021-02-09,54.0,7874.0,2203190.0,96590.0,92763.0,1673.0,790.0,6076.0
2021-02-10,35.0,7783.0,2210318.0,96625.0,92873.0,1674.0,707.0,5124.0
2021-02-11,48.0,8772.0,2220621.0,96673.0,92950.0,1676.0,669.0,7135.0
2021-02-12,49.0,15233.0,2230515.0,96722.0,93013.0,1678.0,648.0,6434.0
2021-02-13,44.0,13093.0,2240181.0,96766.0,93060.0,1680.0,637.0,4922.0
2021-02-14,54.0,4733.0,2247287.0,96820.0,93061.0,1680.0,687.0,1470.0
2021-02-15,47.0,7782.0,2255193.0,96867.0,93160.0,1680.0,615.0,6376.0
2021-02-16,53.0,11595.0,2266583.0,96920.0,93256.0,1682.0,564.0,5024.0
2021-02-17,44.0,18574.0,2286792.0,96964.0,93309.0,1683.0,548.0,5036.0
2021-02-18,41.0,8992.0,2294135.0,97005.0,93339.0,1684.0,549.0,3981.0
2021-02-19,26.0,9403.0,2303686.0,97031.0,93407.0,1686.0,495.0,5487.0
2021-02-20,13.0,7248.0,2312851.0,96657.0,93142.0,1686.0,454.0,2602.0
2021-02-21,30.0,3156.0,2319133.0,96687.0,93158.0,1687.0,457.0,496.0
2021-02-22,32.0,7026.0,2325000.0,96719.0,93230.0,1689.0,411.0,4793.0
2021-02-24,47.0,8317.0,2341175.0,96820.0,93348.0,1690.0,388.0,3503.0
2021-02-25,17.0,8172.0,2359483.0,96837.0,93400.0,1690.0,351.0,3992.0
2021-02-26,53.0,9716.0,2369727.0,96890.0,93438.0,1691.0,364.0,6792.0
2021-02-27,81.0,18581.0,2384737.0,96949.0,93442.0,1692.0,421.0,
2021-02-28,43.0,19194.0,2406703.0,96992.0,93453.0,1692.0,451.0,
2021-03-01,27.0,10017.0,2417419.0,97019.0,93479.0,1692.0,447.0,332.0
2021-03-02,70.0,8574.0,2426085.0,97089.0,93544.0,1692.0,451.0,6350.0
2021-03-03,45.0,8922.0,2436780.0,97134.0,93575.0,1692.0,463.0,7210.0
2021-03-04,100.0,7923.0,2445312.0,97234.0,93594.0,1692.0,542.0,12769.0
2021-03-05,51.0,8391.0,2454398.0,97285.0,93629.0,1694.0,556.0,12470.0
2021-03-06,78.0,8624.0,2463762.0,97363.0,93667.0,1694.0,596.0,12082.0
2021-03-07,59.0,6916.0,2471096.0,97422.0,93689.0,1695.0,632.0,
2021-03-08,58.0,10257.0,2479995.0,97480.0,93715.0,1695.0,662.0,8792.0
2021-03-09,49.0,9886.0,2487980.0,97529.0,93813.0,1695.0,611.0,8120.0
2021-03-10,36.0,10548.0,2500644.0,97565.0,93858.0,1697.0,600.0,4680.0
2021-03-11,69.0,18034.0,2520835.0,97634.0,93884.0,1698.0,642.0,851.0
2021-03-12,66.0,29743.0,2536247.0,97700.0,93952.0,1700.0,638.0,8400.0
2021-03-13,54.0,16768.0,2551295.0,97754.0,94058.0,1702.0,583.0,5608.0
2021-03-14,52.0,9382.0,2560427.0,97806.0,94082.0,1703.0,609.0,749.0
2021-03-15,60.0,9957.0,2569444.0,97866.0,94168.0,1704.0,581.0,6960.0
2021-03-16,65.0,9021.0,2577879.0,97931.0,94215.0,1704.0,599.0,8539.0
2021-03-17,110.0,9730.0,2590074.0,98041.0,94250.0,1704.0,672.0,1442.0
2021-03-18,88.0,10965.0,2599595.0,98129.0,94311.0,1704.0,698.0,8948.0
2021-03-19,99.0,12578.0,2610397.0,98228.0,94380.0,1704.0,728.0,6606.0
2021-03-20,83.0,14603.0,2621706.0,98311.0,94430.0,1704.0,756.0,2992.0
2021-03-21,137.0,10024.0,2631682.0,98448.0,94462.0,1704.0,861.0,298.0
2021-03-22,104.0,11610.0,2643518.0,98552.0,94533.0,1704.0,894.0,7405.0
2021-03-23,94.0,11778.0,2657619.0,98646.0,94585.0,1706.0,930.0,4871.0
2021-03-24,200.0,10608.0,2669701.0,98880.0,94634.0,1706.0,1112.0,2545.0
2021-03-25,192.0,11329.0,2678962.0,99072.0,94755.0,1707.0,1150.0,2700.0
2021-03-26,186.0,12352.0,2692394.0,99258.0,94916.0,1708.0,1162.0,2520.0
2021-03-27,257.0,11477.0,2699095.0,99515.0,94983.0,1709.0,1339.0,2038.0
2021-03-28,366.0,7627.0,2714881.0,99881.0,95025.0,1709.0,1660.0,389.0
2021-03-29,109.0,3100.0,2719648.0,99990.0,95065.0,1711.0,1724.0,
2021-03-30,128.0,8092.0,2728555.0,100118.0,95212.0,1713.0,1696.0,1779.0
2021-03-31,293.0,15743.0,2739909.0,100411.0,95330.0,1717.0,1863.0,2426.0
2021-04-05,547.0,31932.0,2840027.0,102811.0,96296.0,1729.0,3201.0,54386.0
2021-04-06,791.0,34968.0,2888890.0,103602.0,96647.0,1736.0,3607.0,60214.0
2021-04-07,1109.0,33050.0,2920139.0,104711.0,96735.0,1741.0,4526.0,63470.0
2021-04-08,787.0,36325.0,2950213.0,105498.0,97000.0,1744.0,5042.0,107658.0
2021-04-09,748.0,35363.0,2982382.0,106246.0,97327.0,1749.0,5384.0,60841.0
2021-04-10,1233.0,28990.0,3016050.0,107479.0,97644.0,1752.0,6241.0,45684.0
2021-04-11,1333.0,36128.0,3048668.0,108812.0,97887.0,1760.0,7323.0,29719.0
2021-04-12,1334.0,42432.0,3085100.0,110146.0,98492.0,1767.0,7846.0,49242.0
2021-04-13,1925.0,36773.0,3131226.0,112071.0,98897.0,1780.0,9353.0,34299.0
2021-04-14,1953.0,47619.0,3176482.0,114024.0,99380.0,1793.0,10770.0,30600.0
2021-04-15,2220.0,43241.0,3215093.0,116244.0,99777.0,1802.0,12484.0,34552.0
2021-04-16,2402.0,40585.0,3248037.0,118646.0,100857.0,1819.0,13546.0,48448.0
2021-04-17,2757.0,39923.0,3300338.0,121403.0,101659.0,1856.0,15386.0,40309.0
2021-04-18,2630.0,33332.0,3333159.0,124033.0,102367.0,1868.0,17293.0,
2021-04-19,2160.0,36023.0,3363489.0,126193.0,102899.0,1892.0,18864.0,43947.0
2021-04-20,3012.0,26872.0,3391513.0,129205.0,103633.0,1919.0,21014.0,66726.0
2021-04-21,4807.0,36897.0,3428170.0,134012.0,104527.0,1953.0,24893.0,43216.0
2021-04-22,3998.0,29709.0,3464616.0,138010.0,106271.0,1972.0,26980.0,34020.0
2021-04-23,4339.0,31152.0,3500685.0,142349.0,107450.0,2021.0,29949.0,62872.0
2021-04-24,5084.0,40479.0,3536994.0,147433.0,108916.0,2102.0,33330.0,41222.0
