date,district_name,cases_total,recovered_total,active_cases,deaths_total,migrated_total
2020-06-05,Chamoli,27,0,27,0,0
2020-06-05,Champawat,38,7,30,1,0
2020-06-05,Dehradun,339,55,272,7,5
2020-06-05,Haridwar,87,17,70,0,0
2020-06-05,Nainital,310,128,181,1,0
2020-06-05,Pauri Garhwal,43,9,33,1,0
2020-06-05,Pithoragarh,28,1,27,0,0
2020-06-05,Rudraprayag,22,2,20,0,0
2020-06-05,Tehri Garhwal,107,5,102,0,0
2020-06-05,Total,1199,309,874,11,5
2020-06-05,US Nagar,84,46,38,0,0
2020-06-05,Uttarkashi,22,7,15,0,0
2020-06-06,Almora,73,47,25,1,0
2020-06-06,Bageshwar,23,11,12,0,0
2020-06-06,Chamoli,33,11,22,0,0
2020-06-06,Champawat,39,7,31,1,0
2020-06-06,Dehradun,352,70,270,7,5
2020-06-06,Haridwar,87,37,50,0,0
2020-06-06,Nainital,317,133,183,1,0
2020-06-06,Pauri Garhwal,43,15,27,1,0
2020-06-06,Pithoragarh,36,1,35,0,0
2020-06-06,Rudraprayag,22,3,19,0,0
2020-06-06,Tehri Garhwal,112,34,78,0,0
2020-06-06,Total,1245,422,807,11,5
2020-06-06,US Nagar,85,46,39,0,0
2020-06-06,Uttarkashi,23,7,16,0,0
2020-06-07,Almora,73,47,25,1,0
2020-06-07,Bageshwar,33,11,22,0,0
2020-06-07,Chamoli,33,11,22,0,0
2020-06-07,Champawat,46,7,38,1,0
2020-06-07,Dehradun,368,71,283,9,5
2020-06-07,Haridwar,122,37,84,0,1
2020-06-07,Nainital,323,133,189,1,0
2020-06-07,Pauri Garhwal,43,16,26,1,0
2020-06-07,Pithoragarh,44,1,43,0,0
2020-06-07,Rudraprayag,22,3,19,0,0
2020-06-07,Tehri Garhwal,121,98,23,0,0
2020-06-07,Total,1341,498,824,13,6
2020-06-07,US Nagar,90,46,44,0,0
2020-06-07,Uttarkashi,23,17,6,0,0
2020-06-08,Almora,73,62,10,1,0
2020-06-08,Bageshwar,35,18,17,0,0
2020-06-08,Chamoli,34,16,18,0,0
2020-06-08,Champawat,48,27,20,1,0
2020-06-08,Dehradun,370,81,275,9,5
2020-06-08,Haridwar,143,45,96,0,2
2020-06-08,Nainital,324,216,107,1,0
2020-06-08,Pauri Garhwal,47,16,30,1,0
2020-06-08,Pithoragarh,44,1,43,0,0
2020-06-08,Rudraprayag,24,3,21,0,0
2020-06-08,Tehri Garhwal,124,98,26,0,0
2020-06-08,Total,1380,663,697,13,7
2020-06-08,US Nagar,91,63,28,0,0
2020-06-08,Uttarkashi,23,17,6,0,0
2020-06-09,Almora,74,62,11,1,0
2020-06-09,Bageshwar,38,18,20,0,0
2020-06-09,Chamoli,34,23,11,0,0
2020-06-09,Champawat,48,27,20,1,0
2020-06-09,Dehradun,382,139,229,9,5
2020-06-09,Haridwar,148,45,101,0,2
2020-06-09,Nainital,328,216,111,1,0
2020-06-09,Pauri Garhwal,51,16,34,1,0
2020-06-09,Pithoragarh,51,21,30,0,0
2020-06-09,Rudraprayag,28,3,25,0,0
2020-06-09,Tehri Garhwal,192,98,94,0,0
2020-06-09,Total,1488,749,719,13,7
2020-06-09,US Nagar,91,63,28,0,0
2020-06-09,Uttarkashi,23,18,5,0,0
2020-06-17,Almora,99,73,25,1,0
2020-06-17,Bageshwar,42,33,9,0,0
2020-06-17,Chamoli,44,37,7,0,0
2020-06-17,Champawat,48,44,3,1,0
2020-06-17,Dehradun,507,280,200,16,11
2020-06-17,Haridwar,238,95,141,0,2
2020-06-17,Nainital,348,227,119,2,0
2020-06-17,Pauri Garhwal,72,29,40,3,0
2020-06-17,Pithoragarh,60,27,33,0,0
2020-06-17,Rudraprayag,48,23,25,0,0
2020-06-17,Tehri Garhwal,317,254,63,0,0
2020-06-17,Total,1985,1230,717,25,13
2020-06-17,U.S. Nagar,122,86,34,2,0
2020-06-17,Uttarkashi,40,22,18,0,0
2020-06-18,Almora,100,73,26,1,0
2020-06-18,Bageshwar,47,33,13,1,0
2020-06-18,Chamoli,47,37,10,0,0
2020-06-18,Champawat,48,44,3,1,0
2020-06-18,Dehradun,562,289,245,16,12
2020-06-18,Haridwar,246,99,145,0,2
2020-06-18,Nainital,347,228,117,2,0
2020-06-18,Pauri Garhwal,86,45,38,3,0
2020-06-18,Pithoragarh,60,27,33,0,0
2020-06-18,Rudraprayag,52,23,29,0,0
2020-06-18,Tehri Garhwal,318,254,64,0,0
2020-06-18,Total,2079,1262,777,26,14
2020-06-18,U.S. Nagar,125,86,37,2,0
2020-06-18,Uttarkashi,41,24,17,0,0
2020-06-19,Almora,123,73,49,1,0
2020-06-19,Bageshwar,47,42,4,1,0
2020-06-19,Chamoli,47,40,7,0,0
2020-06-19,Champawat,48,44,3,1,0
2020-06-19,Dehradun,566,363,174,16,13
2020-06-19,Haridwar,253,113,138,0,2
2020-06-19,Nainital,353,268,83,2,0
2020-06-19,Pauri Garhwal,91,48,40,3,0
2020-06-19,Pithoragarh,60,27,33,0,0
2020-06-19,Rudraprayag,52,33,19,0,0
2020-06-19,Tehri Garhwal,321,262,59,0,0
2020-06-19,Total,2127,1423,663,26,15
2020-06-19,U.S. Nagar,125,86,37,2,0
2020-06-19,Uttarkashi,41,24,17,0,0
2020-06-20,Almora,132,74,56,2,0
2020-06-20,Bageshwar,54,42,11,1,0
2020-06-20,Chamoli,54,40,14,0,0
2020-06-20,Champawat,48,44,3,1,0
2020-06-20,Dehradun,599,365,205,16,13
2020-06-20,Haridwar,255,113,140,0,2
2020-06-20,Nainital,361,268,91,2,0
2020-06-20,Pauri Garhwal,95,49,43,3,0
2020-06-20,Pithoragarh,64,27,37,0,0
2020-06-20,Rudraprayag,56,39,17,0,0
2020-06-20,Tehri Garhwal,370,262,108,0,0
2020-06-20,Total,2278,1433,803,27,15
2020-06-20,U.S. Nagar,137,86,49,2,0
2020-06-20,Uttarkashi,53,24,29,0,0
2020-06-21,Almora,138,74,62,2,0
2020-06-21,Bageshwar,59,42,16,1,0
2020-06-21,Chamoli,60,40,20,0,0
2020-06-21,Champawat,48,44,3,1,0
2020-06-21,Dehradun,604,373,202,16,13
2020-06-21,Haridwar,259,148,109,0,2
2020-06-21,Nainital,366,268,96,2,0
2020-06-21,Pauri Garhwal,98,49,46,3,0
2020-06-21,Pithoragarh,64,27,37,0,0
2020-06-21,Rudraprayag,59,39,20,0,0
2020-06-21,Tehri Garhwal,376,262,114,0,0
2020-06-21,Total,2324,1486,796,27,15
2020-06-21,U.S. Nagar,137,96,39,2,0
2020-06-21,Uttarkashi,56,24,32,0,0
2020-06-22,Almora,149,75,72,2,0
2020-06-22,Bageshwar,59,46,12,1,0
2020-06-22,Chamoli,63,42,21,0,0
2020-06-22,Champawat,48,44,3,1,0
2020-06-22,Dehradun,607,387,191,16,13
2020-06-22,Haridwar,288,148,138,0,2
2020-06-22,Nainital,368,268,98,2,0
2020-06-22,Pauri Garhwal,109,50,56,3,0
2020-06-22,Pithoragarh,64,27,37,0,0
2020-06-22,Rudraprayag,60,39,21,0,0
2020-06-22,Tehri Garhwal,377,263,114,0,0
2020-06-22,Total,2401,1511,848,27,15
2020-06-22,U.S. Nagar,152,96,54,2,0
2020-06-22,Uttarkashi,57,26,31,0,0
2020-06-23,Almora,160,84,74,2,0
2020-06-23,Bageshwar,63,46,16,1,0
2020-06-23,Chamoli,63,42,21,0,0
2020-06-23,Champawat,49,44,4,1,0
2020-06-23,Dehradun,622,390,203,16,13
2020-06-23,Haridwar,297,166,129,0,2
2020-06-23,Nainital,374,268,104,2,0
2020-06-23,Pauri Garhwal,129,50,76,3,0
2020-06-23,Pithoragarh,64,27,37,0,0
2020-06-23,Rudraprayag,60,39,20,1,0
2020-06-23,Tehri Garhwal,389,263,126,0,0
2020-06-23,Total,2505,1541,920,29,15
2020-06-23,U.S. Nagar,178,96,79,3,0
2020-06-23,Uttarkashi,57,26,31,0,0
2020-06-24,Almora,163,95,66,2,0
2020-06-24,Bageshwar,63,46,16,1,0
2020-06-24,Chamoli,67,44,23,0,0
2020-06-24,Champawat,50,44,5,1,0
2020-06-24,Dehradun,642,414,195,20,13
2020-06-24,Haridwar,298,175,119,0,4
2020-06-24,Nainital,376,268,106,2,0
2020-06-24,Pauri Garhwal,138,50,85,3,0
2020-06-24,Pithoragarh,64,27,37,0,0
2020-06-24,Rudraprayag,62,39,22,1,0
2020-06-24,Tehri Garhwal,399,321,76,2,0
2020-06-24,Total,2568,1653,863,35,17
2020-06-24,U.S. Nagar,184,103,78,3,0
2020-06-24,Uttarkashi,62,27,35,0,0
2020-06-25,Almora,163,98,63,2,0
2020-06-25,Bageshwar,68,50,17,1,0
2020-06-25,Chamoli,67,44,23,0,0
2020-06-25,Champawat,51,44,6,1,0
2020-06-25,Dehradun,651,442,176,20,13
2020-06-25,Haridwar,305,182,119,0,4
2020-06-25,Nainital,383,277,104,2,0
2020-06-25,Pauri Garhwal,140,62,75,3,0
2020-06-25,Pithoragarh,65,50,15,0,0
2020-06-25,Rudraprayag,62,39,22,1,0
2020-06-25,Tehri Garhwal,410,322,86,2,0
2020-06-25,Total,2642,1745,845,35,17
2020-06-25,U.S. Nagar,215,108,104,3,0
2020-06-25,Uttarkashi,62,27,35,0,0
2020-06-26,Almora,165,115,47,2,1
2020-06-26,Bageshwar,74,53,20,1,0
2020-06-26,Chamoli,69,47,22,0,0
2020-06-26,Champawat,52,44,7,1,0
2020-06-26,Dehradun,659,452,173,21,13
2020-06-26,Haridwar,313,182,127,0,4
2020-06-26,Nainital,425,304,119,2,0
2020-06-26,Pauri Garhwal,140,62,75,3,0
2020-06-26,Pithoragarh,65,50,15,0,0
2020-06-26,Rudraprayag,62,39,22,1,0
2020-06-26,Tehri Garhwal,410,322,86,2,0
2020-06-26,Total,2725,1822,848,37,18
2020-06-26,U.S. Nagar,228,116,109,3,0
2020-06-26,Uttarkashi,63,36,26,1,0
2020-06-27,Almora,176,146,27,2,1
2020-06-27,Bageshwar,81,55,25,1,0
2020-06-27,Chamoli,71,52,19,0,0
2020-06-27,Champawat,53,47,5,1,0
2020-06-27,Dehradun,667,486,147,21,13
2020-06-27,Haridwar,313,182,127,0,4
2020-06-27,Nainital,454,304,148,2,0
2020-06-27,Pauri Garhwal,141,64,74,3,0
2020-06-27,Pithoragarh,65,50,15,0,0
2020-06-27,Rudraprayag,65,39,25,1,0
2020-06-27,Tehri Garhwal,412,322,88,2,0
2020-06-27,Total,2791,1912,824,37,18
2020-06-27,U.S. Nagar,229,129,97,3,0
2020-06-27,Uttarkashi,64,36,27,1,0
2020-06-28,Almora,176,148,25,2,1
2020-06-28,Bageshwar,81,55,25,1,0
2020-06-28,Chamoli,73,57,16,0,0
2020-06-28,Champawat,54,47,6,1,0
2020-06-28,Dehradun,677,490,153,21,13
2020-06-28,Haridwar,313,186,123,0,4
2020-06-28,Nainital,468,338,127,3,0
2020-06-28,Pauri Garhwal,141,78,60,3,0
2020-06-28,Pithoragarh,65,50,15,0,0
2020-06-28,Rudraprayag,66,46,19,1,0
2020-06-28,Tehri Garhwal,416,354,60,2,0
2020-06-28,Total,2823,2018,749,38,18
2020-06-28,U.S. Nagar,229,133,93,3,0
2020-06-28,Uttarkashi,64,36,27,1,0
2020-06-29,Almora,176,153,20,2,1
2020-06-29,Bageshwar,81,61,19,1,0
2020-06-29,Chamoli,73,59,14,0,0
2020-06-29,Champawat,54,47,6,1,0
2020-06-29,Dehradun,681,526,117,22,16
2020-06-29,Haridwar,313,186,123,0,4
2020-06-29,Nainital,470,340,126,3,1
2020-06-29,Pauri Garhwal,141,85,53,3,0
2020-06-29,Pithoragarh,65,52,13,0,0
2020-06-29,Rudraprayag,66,56,9,1,0
2020-06-29,Tehri Garhwal,416,355,59,2,0
2020-06-29,Total,2831,2111,659,39,22
2020-06-29,U.S. Nagar,231,147,81,3,0
2020-06-29,Uttarkashi,64,44,19,1,0
2020-06-30,Almora,176,153,20,2,1
2020-06-30,Bageshwar,83,66,16,1,0
2020-06-30,Chamoli,74,62,12,0,0
2020-06-30,Champawat,55,47,7,1,0
2020-06-30,Dehradun,692,551,99,24,18
2020-06-30,Haridwar,313,236,70,0,7
2020-06-30,Nainital,474,340,130,3,1
2020-06-30,Pauri Garhwal,142,91,48,3,0
2020-06-30,Pithoragarh,65,52,13,0,0
2020-06-30,Rudraprayag,66,59,6,1,0
2020-06-30,Tehri Garhwal,416,383,31,2,0
2020-06-30,Total,2881,2231,582,41,27
2020-06-30,U.S. Nagar,259,147,109,3,0
2020-06-30,Uttarkashi,66,44,21,1,0
2020-07-01,Almora,181,158,20,2,1
2020-07-01,Bageshwar,83,67,15,1,0
2020-07-01,Chamoli,74,62,12,0,0
2020-07-01,Champawat,57,47,9,1,0
2020-07-01,Dehradun,712,555,115,24,18
2020-07-01,Haridwar,315,241,67,0,7
2020-07-01,Nainital,496,345,147,3,1
2020-07-01,Pauri Garhwal,142,93,46,3,0
2020-07-01,Pithoragarh,65,60,5,0,0
2020-07-01,Rudraprayag,66,59,6,1,0
2020-07-01,Tehri Garhwal,420,383,35,2,0
2020-07-01,Total,2947,2317,562,41,27
2020-07-01,U.S. Nagar,261,190,68,3,0
2020-07-01,Uttarkashi,75,57,17,1,0
2020-07-02,Almora,182,158,21,2,1
2020-07-02,Bageshwar,83,72,10,1,0
2020-07-02,Chamoli,74,62,12,0,0
2020-07-02,Champawat,57,47,9,1,0
2020-07-02,Dehradun,713,565,105,25,18
2020-07-02,Haridwar,315,268,40,0,7
2020-07-02,Nainital,513,345,164,3,1
2020-07-02,Pauri Garhwal,143,93,47,3,0
2020-07-02,Pithoragarh,66,61,5,0,0
2020-07-02,Rudraprayag,66,60,5,1,0
2020-07-02,Tehri Garhwal,420,402,16,2,0
2020-07-02,Total,2984,2405,510,42,27
2020-07-02,U.S. Nagar,277,213,61,3,0
2020-07-02,Uttarkashi,75,59,15,1,0
2020-07-03,Almora,190,163,24,2,1
2020-07-03,Bageshwar,86,74,11,1,0
2020-07-03,Chamoli,76,65,11,0,0
2020-07-03,Champawat,59,49,9,1,0
2020-07-03,Dehradun,734,579,112,25,18
2020-07-03,Haridwar,317,281,29,0,7
2020-07-03,Nainital,526,345,177,3,1
2020-07-03,Pauri Garhwal,143,107,33,3,0
2020-07-03,Pithoragarh,67,61,6,0,0
2020-07-03,Rudraprayag,66,60,5,1,0
2020-07-03,Tehri Garhwal,420,415,3,2,0
2020-07-03,Total,3048,2481,498,42,27
2020-07-03,U.S. Nagar,289,223,63,3,0
2020-07-03,Uttarkashi,75,59,15,1,0
2020-07-04,Almora,192,164,25,2,1
2020-07-04,Bageshwar,92,74,17,1,0
2020-07-04,Chamoli,76,65,11,0,0
2020-07-04,Champawat,59,49,9,1,0
2020-07-04,Dehradun,742,579,120,25,18
2020-07-04,Haridwar,318,281,30,0,7
2020-07-04,Nainital,530,345,181,3,1
2020-07-04,Pauri Garhwal,144,126,15,3,0
2020-07-04,Pithoragarh,67,61,6,0,0
2020-07-04,Rudraprayag,66,60,5,1,0
2020-07-04,Tehri Garhwal,421,416,3,2,0
2020-07-04,Total,3093,2502,522,42,27
2020-07-04,U.S. Nagar,306,223,80,3,0
2020-07-04,Uttarkashi,80,59,20,1,0
2020-07-05,Almora,193,165,25,2,1
2020-07-05,Bageshwar,93,74,18,1,0
2020-07-05,Chamoli,76,66,10,0,0
2020-07-05,Champawat,59,49,9,1,0
2020-07-05,Dehradun,754,588,122,25,19
2020-07-05,Haridwar,319,286,26,0,7
2020-07-05,Nainital,537,345,188,3,1
2020-07-05,Pauri Garhwal,145,130,12,3,0
2020-07-05,Pithoragarh,67,61,6,0,0
2020-07-05,Rudraprayag,66,60,5,1,0
2020-07-05,Tehri Garhwal,421,416,3,2,0
2020-07-05,Total,3124,2524,530,42,28
2020-07-05,U.S. Nagar,310,224,83,3,0
2020-07-05,Uttarkashi,84,60,23,1,0
2020-07-06,Almora,196,165,28,2,1
2020-07-06,Bageshwar,93,80,12,1,0
2020-07-06,Chamoli,76,71,5,0,0
2020-07-06,Champawat,59,51,7,1,0
2020-07-06,Dehradun,758,603,111,25,19
2020-07-06,Haridwar,324,293,24,0,7
2020-07-06,Nainital,541,358,179,3,1
2020-07-06,Pauri Garhwal,147,135,9,3,0
2020-07-06,Pithoragarh,67,63,4,0,0
2020-07-06,Rudraprayag,66,65,0,1,0
2020-07-06,Tehri Garhwal,420,418,0,2,0
2020-07-06,Total,3161,2586,505,42,28
2020-07-06,U.S. Nagar,330,224,103,3,0
2020-07-06,Uttarkashi,84,60,23,1,0
2020-07-07,Almora,198,175,20,2,1
2020-07-07,Bageshwar,93,82,10,1,0
2020-07-07,Chamoli,76,72,4,0,0
2020-07-07,Champawat,61,51,9,1,0
2020-07-07,Dehradun,776,608,123,26,19
2020-07-07,Haridwar,331,300,24,0,7
2020-07-07,Nainital,546,361,181,3,1
2020-07-07,Pauri Garhwal,150,136,11,3,0
2020-07-07,Pithoragarh,70,63,7,0,0
2020-07-07,Rudraprayag,66,65,0,1,0
2020-07-07,Tehri Garhwal,421,418,1,2,0
2020-07-07,Total,3230,2621,538,43,28
2020-07-07,U.S. Nagar,355,227,125,3,0
2020-07-07,Uttarkashi,87,63,23,1,0
2020-07-08,Almora,198,177,18,2,1
2020-07-08,Bageshwar,93,82,10,1,0
2020-07-08,Chamoli,76,73,3,0,0
2020-07-08,Champawat,61,53,7,1,0
2020-07-08,Dehradun,785,621,118,27,19
2020-07-08,Haridwar,337,300,30,0,7
2020-07-08,Nainital,548,364,179,4,1
2020-07-08,Pauri Garhwal,154,142,8,4,0
2020-07-08,Pithoragarh,70,65,5,0,0
2020-07-08,Rudraprayag,66,65,0,1,0
2020-07-08,Tehri Garhwal,421,418,1,2,0
2020-07-08,Total,3258,2650,534,46,28
2020-07-08,U.S. Nagar,358,227,128,3,0
2020-07-08,Uttarkashi,91,63,27,1,0
2020-07-09,Almora,198,179,16,2,1
2020-07-09,Bageshwar,93,85,7,1,0
2020-07-09,Chamoli,76,73,3,0,0
2020-07-09,Champawat,63,53,9,1,0
2020-07-09,Dehradun,805,627,132,27,19
2020-07-09,Haridwar,337,301,28,0,8
2020-07-09,Nainital,560,373,182,4,1
2020-07-09,Pauri Garhwal,159,142,13,4,0
2020-07-09,Pithoragarh,70,65,5,0,0
2020-07-09,Rudraprayag,66,65,0,1,0
2020-07-09,Tehri Garhwal,426,418,6,2,0
2020-07-09,Total,3305,2672,558,46,29
2020-07-09,U.S. Nagar,361,227,131,3,0
2020-07-09,Uttarkashi,91,64,26,1,0
2020-07-10,Almora,198,179,16,2,1
2020-07-10,Bageshwar,93,92,0,1,0
2020-07-10,Chamoli,76,73,3,0,0
2020-07-10,Champawat,65,53,11,1,0
2020-07-10,Dehradun,816,648,122,27,19
2020-07-10,Haridwar,344,301,35,0,8
2020-07-10,Nainital,564,373,186,4,1
2020-07-10,Pauri Garhwal,160,143,13,4,0
2020-07-10,Pithoragarh,70,65,5,0,0
2020-07-10,Rudraprayag,66,65,0,1,0
2020-07-10,Tehri Garhwal,427,418,7,2,0
2020-07-10,Total,3373,2706,592,46,29
2020-07-10,U.S. Nagar,402,232,167,3,0
2020-07-10,Uttarkashi,92,64,27,1,0
2020-07-11,Almora,201,179,19,2,1
2020-07-11,Bageshwar,93,92,0,1,0
2020-07-11,Chamoli,77,76,1,0,0
2020-07-11,Champawat,65,53,11,1,0
2020-07-11,Dehradun,836,654,135,27,20
2020-07-11,Haridwar,347,301,38,0,8
2020-07-11,Nainital,564,375,184,4,1
2020-07-11,Pauri Garhwal,160,143,13,4,0
2020-07-11,Pithoragarh,70,65,5,0,0
2020-07-11,Rudraprayag,67,65,1,1,0
2020-07-11,Tehri Garhwal,429,419,8,2,0
2020-07-11,Total,3417,2718,623,46,30
2020-07-11,U.S. Nagar,416,232,181,3,0
2020-07-11,Uttarkashi,92,64,27,1,0
2020-07-12,Almora,201,179,19,2,1
2020-07-12,Bageshwar,95,92,2,1,0
2020-07-12,Chamoli,77,76,1,0,0
2020-07-12,Champawat,71,53,17,1,0
2020-07-12,Dehradun,871,654,170,27,20
2020-07-12,Haridwar,365,301,56,0,8
2020-07-12,Nainital,577,435,136,5,1
2020-07-12,Pauri Garhwal,164,143,17,4,0
2020-07-12,Pithoragarh,70,65,5,0,0
2020-07-12,Rudraprayag,67,65,1,1,0
2020-07-12,Tehri Garhwal,431,419,10,2,0
