date,district_name,sessions_24h,sessions_total,citizen_24h,citizen_60_plus_24h,citizen_60_plus_dose1_total,citizen_45_to_59_24h,citizen_45_to_59_dose1_total,citizen_45_plus_dose1_total,citizen_45_plus_dose2_total,citizen_18_to_44_dose1_total,citizen_18_to_44_dose2_total,HCW_24h,HCW_dose1_total,HCW_dose2_total,FLW_24h,FLW_dose1_total,FLW_dose2_total
2021-01-29,Nainital,15.0,15.0,,,,,,,,,,842,2719,,,,
2021-01-29,Pauri Garhwal,10.0,10.0,,,,,,,,,,709,2457,,,,
2021-01-29,Pithoragarh,3.0,3.0,,,,,,,,,,111,1105,,,,
2021-01-29,Rudraprayag,2.0,2.0,,,,,,,,,,154,1286,,,,
2021-01-29,Tehri Garhwal,8.0,8.0,,,,,,,,,,632,1879,,,,
2021-01-29,Total,109.0,109.0,,,,,,,,,,6301,25818,,,,
2021-01-29,US Nagar,12.0,12.0,,,,,,,,,,566,2506,,,,
2021-01-29,Uttarkashi,3.0,3.0,,,,,,,,,,265,1396,,,,
2021-01-30,Bageshwar,0.0,0.0,,,,,,,,,,0,1100,,,,
2021-01-30,Chamoli,0.0,0.0,,,,,,,,,,0,1557,,,,
2021-01-30,Champawat,0.0,0.0,,,,,,,,,,0,1389,,,,
2021-01-30,Dehradun,18.0,18.0,,,,,,,,,,1265,5883,,,,
2021-01-30,Haridwar,6.0,6.0,,,,,,,,,,355,2984,,,,
2021-01-30,Nainital,13.0,13.0,,,,,,,,,,932,3651,,,,
2021-01-30,Pauri Garhwal,2.0,2.0,,,,,,,,,,137,2594,,,,
2021-01-30,Pithoragarh,0.0,0.0,,,,,,,,,,0,1105,,,,
2021-01-30,Rudraprayag,0.0,0.0,,,,,,,,,,0,1286,,,,
2021-01-30,Tehri Garhwal,0.0,0.0,,,,,,,,,,0,1879,,,,
2021-01-30,Total,43.0,43.0,,,,,,,,,,2973,28791,,,,
2021-01-30,US Nagar,4.0,4.0,,,,,,,,,,284,2790,,,,
2021-01-30,Uttarkashi,0.0,0.0,,,,,,,,,,0,1396,,,,
2021-01-31,Bageshwar,0.0,0.0,,,,,,,,,,0,1100,,,,
2021-01-31,Chamoli,0.0,0.0,,,,,,,,,,0,1557,,,,
2021-01-31,Champawat,0.0,0.0,,,,,,,,,,0,1389,,,,
2021-01-31,Dehradun,18.0,18.0,,,,,,,,,,760,6643,,,,
2021-01-31,Haridwar,10.0,10.0,,,,,,,,,,444,3428,,,,
2021-01-31,Nainital,9.0,9.0,,,,,,,,,,552,4203,,,,
2021-01-31,Pauri Garhwal,0.0,0.0,,,,,,,,,,0,2594,,,,
2021-01-31,Pithoragarh,0.0,0.0,,,,,,,,,,0,1105,,,,
2021-01-31,Rudraprayag,0.0,0.0,,,,,,,,,,0,1286,,,,
2021-01-31,Tehri Garhwal,0.0,0.0,,,,,,,,,,0,1879,,,,
2021-01-31,Total,50.0,50.0,,,,,,,,,,2437,31228,,,,
2021-01-31,US Nagar,13.0,13.0,,,,,,,,,,681,3471,,,,
2021-01-31,Uttarkashi,0.0,0.0,,,,,,,,,,0,1396,,,,
2021-02-01,Bageshwar,1.0,1.0,,,,,,,,,,108,1208,,,,
2021-02-01,Chamoli,0.0,0.0,,,,,,,,,,0,1557,,,,
2021-02-01,Champawat,0.0,0.0,,,,,,,,,,0,1389,,,,
2021-02-01,Dehradun,29.0,29.0,,,,,,,,,,2051,8694,,,,
2021-02-01,Haridwar,31.0,31.0,,,,,,,,,,1350,4778,,,,
2021-02-01,Nainital,7.0,7.0,,,,,,,,,,412,4615,,,,
2021-02-01,Pauri Garhwal,1.0,1.0,,,,,,,,,,55,2649,,,,
2021-02-01,Pithoragarh,3.0,3.0,,,,,,,,,,58,1163,,,,
2021-02-01,Rudraprayag,2.0,2.0,,,,,,,,,,100,1386,,,,
2021-02-01,Tehri Garhwal,5.0,5.0,,,,,,,,,,369,2248,,,,
2021-02-01,Total,104.0,104.0,,,,,,,,,,6077,37305,,,,
2021-02-01,US Nagar,12.0,12.0,,,,,,,,,,811,4282,,,,
2021-02-01,Uttarkashi,3.0,3.0,,,,,,,,,,180,1576,,,,
2021-02-02,Bageshwar,2.0,2.0,,,,,,,,,,122,1330,,,,
2021-02-02,Chamoli,3.0,3.0,,,,,,,,,,277,1834,,,,
2021-02-02,Champawat,5.0,5.0,,,,,,,,,,320,1709,,,,
2021-02-02,Dehradun,30.0,30.0,,,,,,,,,,1737,10431,,,,
2021-02-02,Haridwar,23.0,23.0,,,,,,,,,,978,5756,,,,
2021-02-02,Nainital,10.0,10.0,,,,,,,,,,674,5289,,,,
2021-02-02,Pauri Garhwal,1.0,1.0,,,,,,,,,,70,2719,,,,
2021-02-02,Pithoragarh,1.0,1.0,,,,,,,,,,31,1194,,,,
2021-02-02,Rudraprayag,0.0,0.0,,,,,,,,,,0,1386,,,,
2021-02-02,Tehri Garhwal,4.0,4.0,,,,,,,,,,258,2506,,,,
2021-02-02,Total,105.0,105.0,,,,,,,,,,5925,43230,,,,
2021-02-02,US Nagar,11.0,11.0,,,,,,,,,,489,4771,,,,
2021-02-02,Uttarkashi,3.0,3.0,,,,,,,,,,303,1879,,,,
2021-02-03,Bageshwar,3.0,3.0,,,,,,,,,,268,1598,,,,
2021-02-03,Chamoli,7.0,7.0,,,,,,,,,,717,2551,,,,
2021-02-03,Champawat,5.0,5.0,,,,,,,,,,148,1857,,,,
2021-02-03,Dehradun,50.0,50.0,,,,,,,,,,2428,12859,,,,
2021-02-03,Haridwar,19.0,19.0,,,,,,,,,,1327,7083,,,,
2021-02-03,Nainital,14.0,14.0,,,,,,,,,,1065,6354,,,,
2021-02-03,Pauri Garhwal,8.0,8.0,,,,,,,,,,567,3286,,,,
2021-02-03,Pithoragarh,9.0,9.0,,,,,,,,,,650,1844,,,,
2021-02-03,Rudraprayag,0.0,0.0,,,,,,,,,,0,1386,,,,
2021-02-03,Tehri Garhwal,9.0,9.0,,,,,,,,,,1191,3697,,,,
2021-02-03,Total,160.0,160.0,,,,,,,,,,10723,53953,,,,
2021-02-03,US Nagar,11.0,11.0,,,,,,,,,,642,5413,,,,
2021-02-03,Uttarkashi,6.0,6.0,,,,,,,,,,420,2299,,,,
2021-02-04,Bageshwar,3.0,3.0,,,,,,,,,,296,1894,,,,
2021-02-04,Chamoli,9.0,9.0,,,,,,,,,,573,3124,,,,
2021-02-04,Champawat,2.0,2.0,,,,,,,,,,65,1922,,,,
2021-02-04,Dehradun,40.0,40.0,,,,,,,,,,2076,14935,,,,
2021-02-04,Haridwar,27.0,27.0,,,,,,,,,,1073,8156,,,,
2021-02-04,Nainital,11.0,11.0,,,,,,,,,,720,7074,,,,
2021-02-04,Pauri Garhwal,16.0,16.0,,,,,,,,,,1083,4369,,,,
2021-02-04,Pithoragarh,10.0,10.0,,,,,,,,,,644,2488,,,,
2021-02-04,Rudraprayag,6.0,6.0,,,,,,,,,,368,1754,,,,
2021-02-04,Tehri Garhwal,8.0,8.0,,,,,,,,,,773,4470,,,,
2021-02-04,Total,168.0,168.0,,,,,,,,,,8705,62658,,,,
2021-02-04,US Nagar,10.0,10.0,,,,,,,,,,338,5751,,,,
2021-02-04,Uttarkashi,8.0,8.0,,,,,,,,,,280,2579,,,,
2021-02-05,Bageshwar,3.0,3.0,,,,,,,,,,146,2040,,,,
2021-02-05,Chamoli,2.0,2.0,,,,,,,,,,175,3299,,,,
2021-02-05,Champawat,3.0,3.0,,,,,,,,,,41,1963,,,,
2021-02-05,Dehradun,47.0,47.0,,,,,,,,,,2596,17531,,,,
2021-02-05,Haridwar,18.0,18.0,,,,,,,,,,1766,9922,,,,
2021-02-05,Nainital,7.0,7.0,,,,,,,,,,663,7737,,,,
2021-02-05,Pauri Garhwal,8.0,8.0,,,,,,,,,,388,4757,,,,
2021-02-05,Pithoragarh,10.0,10.0,,,,,,,,,,395,2883,,,,
2021-02-05,Rudraprayag,1.0,1.0,,,,,,,,,,17,1771,,,,
2021-02-05,Tehri Garhwal,8.0,8.0,,,,,,,,,,380,4850,,,,
2021-02-05,Total,134.0,134.0,,,,,,,,,,7434,70092,,,,
2021-02-05,US Nagar,8.0,8.0,,,,,,,,,,309,6060,,,,
2021-02-05,Uttarkashi,7.0,7.0,,,,,,,,,,148,2727,,,,
2021-02-06,Bageshwar,2.0,2.0,,,,,,,,,,134,2174,,,,
2021-02-06,Chamoli,0.0,0.0,,,,,,,,,,0,3299,,,,
2021-02-06,Champawat,1.0,1.0,,,,,,,,,,20,1983,,,,
2021-02-06,Dehradun,39.0,39.0,,,,,,,,,,1080,18611,,,,
2021-02-06,Haridwar,20.0,20.0,,,,,,,,,,651,10573,,,,
2021-02-06,Nainital,8.0,8.0,,,,,,,,,,507,8244,,,,
2021-02-06,Pauri Garhwal,1.0,1.0,,,,,,,,,,20,4777,,,,
2021-02-06,Pithoragarh,9.0,9.0,,,,,,,,,,374,3257,,,,
2021-02-06,Rudraprayag,3.0,3.0,,,,,,,,,,40,1811,,,,
2021-02-06,Tehri Garhwal,2.0,2.0,,,,,,,,,,69,4919,,,,
2021-02-06,Total,107.0,107.0,,,,,,,,,,3470,73562,,,,
2021-02-06,US Nagar,8.0,8.0,,,,,,,,,,385,6445,,,,
2021-02-06,Uttarkashi,5.0,5.0,,,,,,,,,,100,2827,,,,
2021-02-07,Bageshwar,1.0,1.0,,,,,,,,,,20,2194,,,,
2021-02-07,Chamoli,8.0,8.0,,,,,,,,,,183,3482,,,,
2021-02-07,Champawat,0.0,0.0,,,,,,,,,,0,1983,,,,
2021-02-07,Dehradun,1.0,1.0,,,,,,,,,,52,18663,,,,
2021-02-07,Haridwar,6.0,6.0,,,,,,,,,,35,10608,,,,
2021-02-07,Nainital,0.0,0.0,,,,,,,,,,0,8244,,,,
2021-02-07,Pauri Garhwal,15.0,15.0,,,,,,,,,,196,4973,,,,
2021-02-07,Pithoragarh,10.0,10.0,,,,,,,,,,108,3365,,,,
2021-02-07,Rudraprayag,0.0,0.0,,,,,,,,,,0,1811,,,,
2021-02-07,Tehri Garhwal,3.0,3.0,,,,,,,,,,46,4965,,,,
2021-02-07,Total,66.0,66.0,,,,,,,,,,845,74407,,,,
2021-02-07,US Nagar,8.0,8.0,,,,,,,,,,45,6490,,,,
2021-02-07,Uttarkashi,4.0,4.0,,,,,,,,,,55,2882,,,,
2021-02-08,Almora,14.0,14.0,,,,,,,,,,16,4763,,471.0,471.0,
2021-02-08,Bageshwar,3.0,3.0,,,,,,,,,,3,2197,,272.0,272.0,
2021-02-08,Chamoli,3.0,3.0,,,,,,,,,,8,3490,,204.0,204.0,
2021-02-08,Champawat,7.0,7.0,,,,,,,,,,10,1993,,547.0,547.0,
2021-02-08,Dehradun,19.0,19.0,,,,,,,,,,327,18990,,433.0,433.0,
2021-02-08,Haridwar,21.0,21.0,,,,,,,,,,4,10612,,647.0,647.0,
2021-02-08,Nainital,5.0,5.0,,,,,,,,,,1,8245,,153.0,153.0,
2021-02-08,Pauri Garhwal,3.0,3.0,,,,,,,,,,1,4974,,157.0,157.0,
2021-02-08,Pithoragarh,10.0,10.0,,,,,,,,,,8,3373,,426.0,426.0,
2021-02-08,Rudraprayag,1.0,1.0,,,,,,,,,,1,1812,,79.0,79.0,
2021-02-08,Tehri Garhwal,0.0,0.0,,,,,,,,,,0,4965,,0.0,0.0,
2021-02-08,Total,100.0,100.0,,,,,,,,,,429,74836,,4247.0,4247.0,
2021-02-08,US Nagar,11.0,11.0,,,,,,,,,,47,6537,,625.0,625.0,
2021-02-08,Uttarkashi,3.0,3.0,,,,,,,,,,3,2885,,233.0,233.0,
2021-02-09,Almora,13.0,13.0,,,,,,,,,,13,4776,,376.0,847.0,
2021-02-09,Bageshwar,3.0,3.0,,,,,,,,,,60,2257,,249.0,521.0,
2021-02-09,Chamoli,4.0,4.0,,,,,,,,,,0,3490,,375.0,579.0,
2021-02-09,Champawat,7.0,7.0,,,,,,,,,,0,1993,,648.0,1195.0,
2021-02-09,Dehradun,14.0,14.0,,,,,,,,,,81,19071,,602.0,1035.0,
2021-02-09,Haridwar,23.0,23.0,,,,,,,,,,0,10612,,1222.0,1869.0,
2021-02-09,Nainital,7.0,7.0,,,,,,,,,,42,8287,,467.0,620.0,
2021-02-09,Pauri Garhwal,3.0,3.0,,,,,,,,,,27,5001,,135.0,292.0,
2021-02-09,Pithoragarh,10.0,10.0,,,,,,,,,,22,3395,,537.0,963.0,
2021-02-09,Rudraprayag,1.0,1.0,,,,,,,,,,1,1813,,80.0,159.0,
2021-02-09,Tehri Garhwal,2.0,2.0,,,,,,,,,,12,4977,,112.0,112.0,
2021-02-09,Total,102.0,102.0,,,,,,,,,,365,75201,,5711.0,9958.0,
2021-02-09,US Nagar,12.0,12.0,,,,,,,,,,107,6644,,766.0,1391.0,
2021-02-09,Uttarkashi,3.0,3.0,,,,,,,,,,0,2885,,142.0,375.0,
2021-02-10,Almora,14.0,14.0,,,,,,,,,,30,4806,,338.0,1185.0,
2021-02-10,Bageshwar,5.0,5.0,,,,,,,,,,0,2257,,412.0,933.0,
2021-02-10,Chamoli,3.0,3.0,,,,,,,,,,0,3490,,248.0,827.0,
2021-02-10,Champawat,7.0,7.0,,,,,,,,,,8,2001,,161.0,1356.0,
2021-02-10,Dehradun,18.0,18.0,,,,,,,,,,46,19117,,613.0,1648.0,
2021-02-10,Haridwar,29.0,29.0,,,,,,,,,,0,10612,,909.0,2778.0,
2021-02-10,Nainital,16.0,16.0,,,,,,,,,,53,8340,,844.0,1464.0,
2021-02-10,Pauri Garhwal,4.0,4.0,,,,,,,,,,15,5016,,210.0,502.0,
2021-02-10,Pithoragarh,1.0,1.0,,,,,,,,,,2,3397,,77.0,1040.0,
2021-02-10,Rudraprayag,1.0,1.0,,,,,,,,,,0,1813,,58.0,217.0,
2021-02-10,Tehri Garhwal,2.0,2.0,,,,,,,,,,41,5018,,62.0,174.0,
2021-02-10,Total,117.0,117.0,,,,,,,,,,525,75726,,4599.0,14557.0,
2021-02-10,US Nagar,12.0,12.0,,,,,,,,,,330,6974,,385.0,1776.0,
2021-02-10,Uttarkashi,5.0,5.0,,,,,,,,,,0,2885,,282.0,657.0,
2021-02-11,Almora,14.0,14.0,,,,,,,,,,59,4865,,425.0,1610.0,
2021-02-11,Bageshwar,5.0,5.0,,,,,,,,,,0,2257,,330.0,1263.0,
2021-02-11,Chamoli,4.0,4.0,,,,,,,,,,0,3490,,109.0,936.0,
2021-02-11,Champawat,3.0,3.0,,,,,,,,,,30,2031,,277.0,1633.0,
2021-02-11,Dehradun,22.0,22.0,,,,,,,,,,0,19117,,834.0,2482.0,
2021-02-11,Haridwar,25.0,25.0,,,,,,,,,,0,10612,,916.0,3694.0,
2021-02-11,Nainital,15.0,15.0,,,,,,,,,,0,8340,,1014.0,2478.0,
2021-02-11,Pauri Garhwal,4.0,4.0,,,,,,,,,,46,5062,,414.0,916.0,
2021-02-11,Pithoragarh,10.0,10.0,,,,,,,,,,24,3421,,557.0,1597.0,
2021-02-11,Rudraprayag,4.0,4.0,,,,,,,,,,0,1813,,188.0,405.0,
2021-02-11,Tehri Garhwal,10.0,10.0,,,,,,,,,,140,5158,,440.0,614.0,
2021-02-11,Total,137.0,137.0,,,,,,,,,,346,76072,,6789.0,21346.0,
2021-02-11,US Nagar,12.0,12.0,,,,,,,,,,0,6974,,748.0,2524.0,
2021-02-11,Uttarkashi,9.0,9.0,,,,,,,,,,47,2932,,537.0,1194.0,
2021-02-12,Almora,14.0,14.0,,,,,,,,,,13,4878,,238.0,1848.0,
2021-02-12,Bageshwar,1.0,1.0,,,,,,,,,,1,2258,,67.0,1330.0,
2021-02-12,Chamoli,4.0,4.0,,,,,,,,,,0,3490,,148.0,1084.0,
2021-02-12,Champawat,4.0,4.0,,,,,,,,,,0,2031,,241.0,1874.0,
2021-02-12,Dehradun,16.0,16.0,,,,,,,,,,230,19347,,694.0,3176.0,
2021-02-12,Haridwar,27.0,27.0,,,,,,,,,,26,10638,,1535.0,5229.0,
2021-02-12,Nainital,11.0,11.0,,,,,,,,,,0,8340,,720.0,3198.0,
2021-02-12,Pauri Garhwal,15.0,15.0,,,,,,,,,,73,5135,,262.0,1178.0,
2021-02-12,Pithoragarh,9.0,9.0,,,,,,,,,,0,3421,,504.0,2101.0,
2021-02-12,Rudraprayag,3.0,3.0,,,,,,,,,,0,1813,,117.0,522.0,
2021-02-12,Tehri Garhwal,11.0,11.0,,,,,,,,,,0,5158,,582.0,1196.0,
2021-02-12,Total,137.0,137.0,,,,,,,,,,463,76535,,5971.0,27317.0,
2021-02-12,US Nagar,12.0,12.0,,,,,,,,,,120,7094,,497.0,3021.0,
2021-02-12,Uttarkashi,10.0,10.0,,,,,,,,,,0,2932,,366.0,1560.0,
2021-02-13,Almora,12.0,12.0,,,,,,,,,,0,4878,,84.0,1932.0,
2021-02-13,Bageshwar,0.0,0.0,,,,,,,,,,0,2258,,0.0,1330.0,
2021-02-13,Chamoli,4.0,4.0,,,,,,,,,,0,3490,,294.0,1378.0,
2021-02-13,Champawat,0.0,0.0,,,,,,,,,,0,2031,,0.0,1874.0,
2021-02-13,Dehradun,15.0,15.0,,,,,,,,,,0,19347,,786.0,3962.0,
2021-02-13,Haridwar,20.0,20.0,,,,,,,,,,346,10984,,1454.0,6683.0,
2021-02-13,Nainital,9.0,9.0,,,,,,,,,,23,8363,,471.0,3669.0,
2021-02-13,Pauri Garhwal,11.0,11.0,,,,,,,,,,0,5135,,140.0,1318.0,
2021-02-13,Pithoragarh,8.0,8.0,,,,,,,,,,0,3421,,386.0,2487.0,
2021-02-13,Rudraprayag,4.0,4.0,,,,,,,,,,10,1823,,72.0,594.0,
2021-02-13,Tehri Garhwal,4.0,4.0,,,,,,,,,,0,5158,,229.0,1425.0,
2021-02-13,Total,108.0,108.0,,,,,,,,,,379,76914,,4543.0,31860.0,
2021-02-13,US Nagar,15.0,15.0,,,,,,,,,,0,7094,,348.0,3369.0,
2021-02-13,Uttarkashi,6.0,6.0,,,,,,,,,,0,2932,,279.0,1839.0,
2021-02-14,Almora,0.0,0.0,,,,,,,,,,0,4758,,0.0,2141.0,
2021-02-14,Bageshwar,0.0,0.0,,,,,,,,,,0,2197,,0.0,1409.0,
2021-02-14,Chamoli,0.0,0.0,,,,,,,,,,0,3538,,0.0,1731.0,
2021-02-14,Champawat,0.0,0.0,,,,,,,,,,0,1995,,0.0,2075.0,
2021-02-14,Dehradun,10.0,10.0,,,,,,,,,,0,20344,,468.0,4618.0,
2021-02-14,Haridwar,15.0,15.0,,,,,,,,,,30,11201,,489.0,8296.0,
2021-02-14,Nainital,7.0,7.0,,,,,,,,,,17,8285,,210.0,4041.0,
2021-02-14,Pauri Garhwal,0.0,0.0,,,,,,,,,,0,5125,,0.0,1402.0,
2021-02-14,Pithoragarh,0.0,0.0,,,,,,,,,,0,3487,,0.0,2920.0,
2021-02-14,Rudraprayag,0.0,0.0,,,,,,,,,,0,1856,,0.0,614.0,
2021-02-14,Tehri Garhwal,1.0,1.0,,,,,,,,,,0,5132,,78.0,1662.0,
2021-02-14,Total,44.0,44.0,,,,,,,,,,47,77648,,1423.0,38000.0,
2021-02-14,US Nagar,10.0,10.0,,,,,,,,,,0,6779,,163.0,4896.0,
2021-02-14,Uttarkashi,1.0,1.0,,,,,,,,,,0,2951,,15.0,2195.0,
2021-02-15,Almora,13.0,,,,,,,,,,,12,4770,5.0,129.0,2270.0,
2021-02-15,Bageshwar,2.0,,,,,,,,,,,40,2237,0.0,21.0,1430.0,
2021-02-15,Chamoli,11.0,,,,,,,,,,,87,3561,64.0,347.0,2078.0,
2021-02-15,Champawat,6.0,,,,,,,,,,,10,2005,3.0,541.0,2617.0,
2021-02-15,Dehradun,16.0,,,,,,,,,,,391,20506,229.0,1064.0,5687.0,
2021-02-15,Haridwar,24.0,,,,,,,,,,,383,11218,366.0,1017.0,9317.0,
