date,district_name,hospital_name,cases_new,deaths_new,discharged_new,cases_total,deaths_total,discharged_total,migrated_total
2021-05-28,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,3,1,0,
2021-05-28,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-27,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-27,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-27,Dehradun,AIIMS Rishikesh,,,,99,7,4,
2021-05-27,Dehradun,Max Hospital,,,,7,0,3,
2021-05-27,Dehradun,Doon Medical College,,,,9,0,0,
2021-05-27,Dehradun,Sri Mahant Indresh Hospital,,,,10,2,0,
2021-05-27,Dehradun,HIHT Joly Grant,,,,20,3,6,
2021-05-27,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-27,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-27,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,2,1,0,
2021-05-27,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-26,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-26,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-26,Dehradun,AIIMS Rishikesh,,,,96,5,3,
2021-05-26,Dehradun,Max Hospital,,,,7,0,0,
2021-05-26,Dehradun,Doon Medical College,,,,9,0,0,
2021-05-26,Dehradun,Sri Mahant Indresh Hospital,,,,7,2,0,
2021-05-26,Dehradun,HIHT Joly Grant,,,,19,3,6,
2021-05-26,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-26,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-26,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,2,1,0,
2021-05-26,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-25,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-25,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-25,Dehradun,AIIMS Rishikesh,,,,83,5,3,
2021-05-25,Dehradun,Max Hospital,,,,7,0,0,
2021-05-25,Dehradun,Doon Medical College,,,,8,0,0,
2021-05-25,Dehradun,Sri Mahant Indresh Hospital,,,,7,2,0,
2021-05-25,Dehradun,HIHT Joly Grant,,,,19,2,6,
2021-05-25,Dehradun,Aarogyadham Hospital,,,,1,0,0,
2021-05-25,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-25,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,2,1,0,
2021-05-25,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-23,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-23,Dehradun,City Heart,,,,1,0,0,
2021-05-23,Dehradun,AIIMS Rishikesh,,,,64,5,3,
2021-05-23,Dehradun,Max,,,,7,0,0,
2021-05-23,Dehradun,Doon Medical College,,,,3,0,0,
2021-05-23,Dehradun,Sri Mahant Indresh Hospital,,,,4,0,0,
2021-05-23,Dehradun,HIHT Joly Grant,,,,17,2,2,
2021-05-23,Dehradun,Aarogyadham Hospital,,,,1,0,0,
2021-05-23,Nainital,Krishna Hospital Research Haldwani,,,,1,0,0,
2021-05-23,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,2,1,0,
2021-07-31,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-31,Dehradun,AIIMS Rishikesh,0.0,0.0,9.0,382,90,170,36.0
2021-07-31,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-31,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-31,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-31,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-31,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-31,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-31,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-31,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-31,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-31,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-31,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-31,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-31,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-30,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-30,Dehradun,AIIMS Rishikesh,0.0,0.0,5.0,382,90,161,36.0
2021-07-30,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-30,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-30,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-30,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-30,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-30,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-30,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-30,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-30,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-30,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-30,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-30,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-30,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-29,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-29,Dehradun,AIIMS Rishikesh,0.0,0.0,4.0,382,90,156,36.0
2021-07-29,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-29,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-29,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-29,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-29,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-29,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-29,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-29,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-29,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-29,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-29,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-29,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-29,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-28,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-28,Dehradun,AIIMS Rishikesh,4.0,0.0,4.0,382,90,152,36.0
2021-07-28,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-28,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-28,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-28,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-28,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-28,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-28,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-28,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-28,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-28,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-28,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-28,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-28,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-27,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-27,Dehradun,AIIMS Rishikesh,0.0,0.0,4.0,378,90,148,36.0
2021-07-27,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-27,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-27,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-27,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-27,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-27,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-27,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-27,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-27,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-27,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-27,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-27,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-27,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-26,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-26,Dehradun,AIIMS Rishikesh,0.0,1.0,3.0,378,90,144,36.0
2021-07-26,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-26,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-26,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-26,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-26,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-26,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-26,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-26,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-26,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-26,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-26,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-26,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-26,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-25,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-25,Dehradun,AIIMS Rishikesh,2.0,2.0,6.0,378,89,141,36.0
2021-07-25,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-25,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-25,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-25,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-25,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-25,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-25,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-25,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-25,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-25,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-25,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-25,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-25,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-23,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-23,Dehradun,AIIMS Rishikesh,1.0,0.0,2.0,376,87,132,35.0
2021-07-23,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-23,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-23,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-23,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-23,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-23,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-23,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-23,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-23,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-23,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-23,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-23,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-23,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-22,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-22,Dehradun,AIIMS Rishikesh,0.0,1.0,17.0,375,87,130,34.0
2021-07-22,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-22,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-22,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-22,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-22,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-22,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-22,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-22,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-22,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-22,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-22,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-22,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-22,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-21,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-21,Dehradun,AIIMS Rishikesh,0.0,1.0,3.0,375,86,113,32.0
2021-07-21,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-21,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-21,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-21,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-21,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-21,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-21,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-21,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-21,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-21,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-21,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-21,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-21,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-20,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-20,Dehradun,AIIMS Rishikesh,2.0,2.0,3.0,375,85,110,30.0
2021-07-20,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,10,0.0
2021-07-20,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,9,9.0
2021-07-20,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,15,0.0
2021-07-20,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,22,5.0
2021-07-20,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-20,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-20,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-20,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-20,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-20,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-20,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-20,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-20,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-19,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-19,Dehradun,AIIMS Rishikesh,0.0,2.0,5.0,373,83,107,30.0
2021-07-19,Dehradun,Max Hospital,0.0,0.0,1.0,16,3,10,0.0
2021-07-19,Dehradun,Doon Medical College,1.0,0.0,1.0,24,1,9,9.0
2021-07-19,Dehradun,Sri Mahant Indresh Hospital,1.0,0.0,0.0,33,3,15,0.0
2021-07-19,Dehradun,HIHT Joly Grant,1.0,0.0,7.0,51,17,22,5.0
2021-07-19,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-19,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-19,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-19,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-19,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-19,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-19,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-19,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-19,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-18,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-18,Dehradun,AIIMS Rishikesh,1.0,1.0,4.0,373,81,102,29.0
2021-07-18,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,9,0.0
2021-07-18,Dehradun,Doon Medical College,0.0,0.0,0.0,23,1,8,9.0
2021-07-18,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,32,3,15,0.0
2021-07-18,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,50,17,15,2.0
2021-07-18,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-18,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-18,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-18,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-18,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-18,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-18,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-18,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-18,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-07-17,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-07-17,Dehradun,AIIMS Rishikesh,4.0,1.0,1.0,372,80,98,29.0
2021-07-17,Dehradun,Max Hospital,0.0,0.0,0.0,16,3,9,0.0
2021-07-17,Dehradun,Doon Medical College,0.0,0.0,0.0,23,1,8,9.0
2021-07-17,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,32,3,15,0.0
2021-07-17,Dehradun,HIHT Joly Grant,2.0,3.0,0.0,50,17,15,2.0
2021-07-17,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-17,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-07-17,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-07-17,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,0,0.0
2021-07-17,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,1,0.0
2021-07-17,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,2,1.0
2021-07-17,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,0.0
2021-07-17,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-07-17,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,0,0.0
2021-06-13,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-13,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-13,Dehradun,AIIMS Rishikesh,,,,248,44,10,
2021-06-13,Dehradun,Max Hospital,,,,14,1,7,
2021-06-13,Dehradun,Doon Medical College,,,,20,1,5,
2021-06-13,Dehradun,Sri Mahant Indresh Hospital,,,,27,3,10,
2021-06-13,Dehradun,HIHT Joly Grant,,,,35,9,7,
2021-06-13,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-13,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-13,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-13,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-13,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-13,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,29,4,0,
2021-06-13,Uttarkashi,District Hospital,,,,2,0,0,
